ISO2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GM,,,,,,,,,,0.15,0.15,0.15,1.05,1.05,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21
GE,,,,,,,,,,,,,,,,,20.0,20.0,20.0,21.0,21.0,21.0,29.0
DE,6095.0,8754.0,12001.0,14381.0,16419.0,18248.0,20474.0,22116.0,22794.0,25697.0,26823.0,28524.0,30711.0,32969.0,37620.0,41297.0,45303.0,50174.0,52328.0,53187.0,54414.0,56046.0,58165.0
GH,,,,,,,,,,,,,,,,,,,,,,,
GR,226.0,270.0,287.0,371.0,470.0,491.0,749.0,846.0,1022.0,1171.0,1298.0,1640.0,1753.0,1809.0,1978.0,2091.0,2370.0,2624.0,2877.5,3589.0,4119.25,4649.13,4879.13
GL,,,,,,,,,,,,,,,,,,,,,,,
GD,,,,,,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GP,6.42,9.72,11.92,17.86,17.86,17.86,19.79,22.82,24.19,24.19,25.84,25.84,25.84,25.84,25.84,26.82,27.34,27.34,43.34,48.44,42.11,52.01,52.01
GU,,,,,,,,,,,,,,,,,0.28,0.28,0.28,0.28,0.28,0.28,0.28
GT,,,,,,,,,,,,,,,,75.9,75.9,75.9,107.4,107.4,107.4,107.4,107.4
GN,,,,,,,,,,,,,,,,,,,,,,,
GW,,,,,,,,,,,,,,,,,,,,,,,
GY,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
HT,,,,,,,,,,,,,,,,,,,,,,,
HN,,,,,,,,,,,,102.0,102.0,102.0,152.0,152.0,175.0,225.0,225.0,235.0,235.0,235.0,235.0
HU,,1.0,1.0,3.0,3.0,17.0,33.0,61.0,134.0,203.0,293.0,331.0,325.0,329.0,329.0,329.0,329.0,329.0,329.0,323.0,323.0,324.0,324.0
IS,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,2.43,2.4,2.4,1.8,1.8,1.8
