ISO2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CR,,,,,,,,,,,,0.1,1.36,2.18,4.39,8.15,12.81,18.27,31.17,46.86,55.15,72.1,72.1
HR,,,,,,,,,,0.3,0.3,0.3,4.0,19.0,33.0,47.8,55.8,60.0,67.7,84.8,108.5,138.3,182.3
CU,,,,,,,,,,,,,0.6,11.0,22.0,23.8,37.0,65.0,127.25,152.3,209.75,238.0,250.0
CW,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.12,3.12,7.72,10.12,11.12,11.12,11.92,11.92,13.22,13.22,13.22
CY,,,,,1.0,1.0,1.0,1.0,2.0,4.0,7.0,10.0,17.0,35.0,64.0,76.0,84.0,110.05,118.48,151.26,229.13,314.52,431.0
CZ,0.1,0.1,0.2,0.3,0.4,0.59,0.84,3.96,39.5,464.6,1727.0,1913.0,2022.0,2063.5,2067.4,2074.9,2067.9,2075.44,2081.05,2110.67,2171.96,2246.09,2627.09
CI,,,,,,,,,,,,,,,,,,,,,,,
KP,,,,,,,,,,,,,,,,,,,,1.0,1.0,11.0,11.0
CD,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,7.0,17.0,402.0,571.0,607.0,782.11,850.95,906.35,998.0,1080.0,1304.29,1704.04,3122.04
DJ,,,,,,,,,,,,,,,,,,,,,,,
DM,0.08,0.08,0.09,0.09,0.1,0.1,0.12,0.18,0.2,0.21,0.22,0.22,0.23,0.23,0.23,0.23,0.63,0.63,0.32,0.32,0.32,0.32,0.32
DO,,,,,,,,,,,,0.01,2.93,6.86,13.3,22.1,69.8,93.4,180.0,306.5,381.0,590.9,733.4
EC,,,,,,,,,,,,,,3.5,24.46,23.59,23.58,23.58,23.58,24.46,24.46,24.46,24.46
EG,,,,,,,,,,,,,,,,,9.0,130.0,700.0,1597.0,1591.0,1612.0,1638.0
SV,,,,,,,,,,,,,,0.1,0.1,10.94,12.05,109.65,166.5,441.66,480.47,539.08,549.25
GQ,,,,,,,,,,,,,,,,,,,,,,,
ER,,,,,,,,,,,,,,,,,,,,,,,
EE,,,,,,,,,,0.1,0.1,0.2,0.38,1.5,3.34,6.5,10.0,15.0,31.9,120.6,207.67,394.77,534.77
SZ,,,,,,,,,,,,,,,,0.03,0.13,0.13,0.13,0.13,0.13,10.13,10.13
ET,,,,,,,,,,,,,,,,,,,,,,,
FK,,,,,,,,,,,,,,,,,,,,,,,
FO,,,,,,,,,,,,,,,,,,,,0.26,0.26,0.26,0.26
