,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
6109,transf_1169_0,1760,1761,69000,138000,PH,"LINESTRING (121.992 6.9407, 121.993 6.9417)","MULTIPOINT ((121.992 6.9407), (121.993 6.9417))",POINT (121.992 6.9407),POINT (121.993 6.9417),121.992,6.9407,121.993,6.9417
6110,transf_1170_0,1762,1763,69000,230000,PH,"LINESTRING (121.111 16.4724, 121.112 16.4734)","MULTIPOINT ((121.111 16.4724), (121.112 16.4734))",POINT (121.111 16.4724),POINT (121.112 16.4734),121.111,16.4724,121.112,16.4734
6111,transf_1171_0,1764,1765,60000,69000,PH,"LINESTRING (123.901 9.6798, 123.902 9.6808)","MULTIPOINT ((123.901 9.6798), (123.902 9.6808))",POINT (123.901 9.6798),POINT (123.902 9.6808),123.901,9.6798,123.902,9.6808
6112,transf_1171_1,1765,1766,69000,138000,PH,"LINESTRING (123.902 9.6808, 123.903 9.6818)","MULTIPOINT ((123.902 9.6808), (123.903 9.6818))",POINT (123.902 9.6808),POINT (123.903 9.6818),123.902,9.6808,123.903,9.6818
6113,transf_1171_2,1766,1767,138000,230000,PH,"LINESTRING (123.903 9.6818, 123.904 9.6828)","MULTIPOINT ((123.903 9.6818), (123.904 9.6828))",POINT (123.903 9.6818),POINT (123.904 9.6828),123.903,9.6818,123.904,9.6828
6114,transf_1172_0,1768,1769,60000,69000,PH,"LINESTRING (124.7782 10.1624, 124.7792 10.1634)","MULTIPOINT ((124.7782 10.1624), (124.7792 10.1634))",POINT (124.7782 10.1624),POINT (124.7792 10.1634),124.7782,10.1624,124.7792,10.1634
6115,transf_1172_1,1769,1770,69000,138000,PH,"LINESTRING (124.7792 10.1634, 124.7802 10.1644)","MULTIPOINT ((124.7792 10.1634), (124.7802 10.1644))",POINT (124.7792 10.1634),POINT (124.7802 10.1644),124.7792,10.1634,124.7802,10.1644
6116,transf_1173_0,1771,1772,69000,138000,PH,"LINESTRING (122.7573 11.4691, 122.7583 11.4701)","MULTIPOINT ((122.7573 11.4691), (122.7583 11.4701))",POINT (122.7573 11.4691),POINT (122.7583 11.4701),122.7573,11.4691,122.7583,11.4701
6117,transf_1174_0,1773,1774,69000,138000,PH,"LINESTRING (122.8699 11.0331, 122.8709 11.0341)","MULTIPOINT ((122.8699 11.0331), (122.8709 11.0341))",POINT (122.8699 11.0331),POINT (122.8709 11.0341),122.8699,11.0331,122.8709,11.0341
6118,transf_1174_1,1774,1775,138000,230000,PH,"LINESTRING (122.8709 11.0341, 122.8719 11.0351)","MULTIPOINT ((122.8709 11.0341), (122.8719 11.0351))",POINT (122.8709 11.0341),POINT (122.8719 11.0351),122.8709,11.0341,122.8719,11.0351
6119,transf_1176_0,1778,1779,69000,138000,PH,"LINESTRING (123.218 9.4605, 123.219 9.4615)","MULTIPOINT ((123.218 9.4605), (123.219 9.4615))",POINT (123.218 9.4605),POINT (123.219 9.4615),123.218,9.4605,123.219,9.4615
6120,transf_1177_0,1780,1781,69000,230000,PH,"LINESTRING (122.7845 14.191, 122.7855 14.192)","MULTIPOINT ((122.7845 14.191), (122.7855 14.192))",POINT (122.7845 14.191),POINT (122.7855 14.192),122.7845,14.191,122.7855,14.192
6121,transf_1178_0,1782,1783,69000,138000,PH,"LINESTRING (122.847 10.0197, 122.848 10.0207)","MULTIPOINT ((122.847 10.0197), (122.848 10.0207))",POINT (122.847 10.0197),POINT (122.848 10.0207),122.847,10.0197,122.848,10.0207
6122,transf_1179_0,1784,1785,69000,138000,PH,"LINESTRING (124.6915 6.6701, 124.6925 6.6711)","MULTIPOINT ((124.6915 6.6701), (124.6925 6.6711))",POINT (124.6915 6.6701),POINT (124.6925 6.6711),124.6915,6.6701,124.6925,6.6711
6123,transf_1179_1,1785,1786,138000,230000,PH,"LINESTRING (124.6925 6.6711, 124.6935 6.6721)","MULTIPOINT ((124.6925 6.6711), (124.6935 6.6721))",POINT (124.6925 6.6711),POINT (124.6935 6.6721),124.6925,6.6711,124.6935,6.6721
6124,transf_1180_0,1787,1788,69000,230000,PH,"LINESTRING (121.1042 15.812, 121.1052 15.813)","MULTIPOINT ((121.1042 15.812), (121.1052 15.813))",POINT (121.1042 15.812),POINT (121.1052 15.813),121.1042,15.812,121.1052,15.813
6125,transf_1181_0,1789,1790,115000,230000,PH,"LINESTRING (121.6064 14.0195, 121.6074 14.0205)","MULTIPOINT ((121.6064 14.0195), (121.6074 14.0205))",POINT (121.6064 14.0195),POINT (121.6074 14.0205),121.6064,14.0195,121.6074,14.0205
6126,transf_1181_1,1790,1791,230000,500000,PH,"LINESTRING (121.6074 14.0205, 121.6084 14.0215)","MULTIPOINT ((121.6074 14.0205), (121.6084 14.0215))",POINT (121.6074 14.0205),POINT (121.6084 14.0215),121.6074,14.0205,121.6084,14.0215
6127,transf_1182_0,1792,1793,69000,230000,PH,"LINESTRING (121.7702 17.6238, 121.7712 17.6248)","MULTIPOINT ((121.7702 17.6238), (121.7712 17.6248))",POINT (121.7702 17.6238),POINT (121.7712 17.6248),121.7702,17.6238,121.7712,17.6248
6128,transf_1183_0,1794,1795,69000,138000,PH,"LINESTRING (125.1473 6.2024, 125.1483 6.2034)","MULTIPOINT ((125.1473 6.2024), (125.1483 6.2034))",POINT (125.1473 6.2024),POINT (125.1483 6.2034),125.1473,6.2024,125.1483,6.2034
6129,transf_1184_0,1796,1797,69000,138000,PH,"LINESTRING (125.3352 8.973, 125.3362 8.974)","MULTIPOINT ((125.3352 8.973), (125.3362 8.974))",POINT (125.3352 8.973),POINT (125.3362 8.974),125.3352,8.973,125.3362,8.974
6130,transf_1186_0,1799,1800,69000,230000,PH,"LINESTRING (120.3789 16.7503, 120.3799 16.7513)","MULTIPOINT ((120.3789 16.7503), (120.3799 16.7513))",POINT (120.3789 16.7503),POINT (120.3799 16.7513),120.3789,16.7503,120.3799,16.7513
6131,transf_1186_1,1800,1801,230000,500000,PH,"LINESTRING (120.3799 16.7513, 120.3809 16.7523)","MULTIPOINT ((120.3799 16.7513), (120.3809 16.7523))",POINT (120.3799 16.7513),POINT (120.3809 16.7523),120.3799,16.7513,120.3809,16.7523
6132,transf_1187_0,1802,1803,69000,230000,PH,"LINESTRING (120.3271 16.5566, 120.3281 16.5576)","MULTIPOINT ((120.3271 16.5566), (120.3281 16.5576))",POINT (120.3271 16.5566),POINT (120.3281 16.5576),120.3271,16.5566,120.3281,16.5576
6133,transf_1188_0,1804,1805,69000,115000,PH,"LINESTRING (120.4595 17.3641, 120.4605 17.3651)","MULTIPOINT ((120.4595 17.3641), (120.4605 17.3651))",POINT (120.4595 17.3641),POINT (120.4605 17.3651),120.4595,17.3641,120.4605,17.3651
