,TR.11_1_AC,TR.12_1_AC,TR.13_1_AC,TR.14_1_AC,TR.15_1_AC,TR.16_1_AC,TR.17_1_AC,TR.1_1_AC,TR.20_1_AC,TR.21_1_AC,TR.22_1_AC,TR.25_1_AC,TR.28_1_AC,TR.2_1_AC,TR.33_1_AC,TR.37_1_AC,TR.39_1_AC,TR.3_1_AC,TR.41_1_AC,TR.44_1_AC,TR.47_1_AC,TR.48_1_AC,TR.4_1_AC,TR.52_1_AC,TR.53_1_AC,TR.56_1_AC,TR.58_1_AC,TR.5_1_AC,TR.62_1_AC,TR.63_1_AC,TR.64_1_AC,TR.68_1_AC,TR.6_1_AC,TR.79_1_AC,TR.8_1_AC
2013-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 06:00:00,0.0,0.0,0.0,0.78113258496,0.0,0.0,0.40841717270289185,0.1802781235,0.0,0.0,0.0,0.0,0.0,0.5667220993896855,0.6755655288150128,0.39367252973999994,0.0,0.0,0.0,0.0,0.491520727092994,0.64968998661,0.3640541256401182,0.0,0.0,0.0,0.054899550430917876,0.0,0.0,0.0,0.43567470639999994,0.70766795814,0.0,0.0,0.0
2013-01-01 07:00:00,0.33261603013132696,0.636562318362088,0.755877455238201,0.89467239537,0.049075438537,0.6398152532769317,0.5625882734436892,0.42944422499999996,0.59549213178,0.62652420624,0.5382531299953294,0.4847531028866046,0.5042384813674367,0.7904438460777987,0.8856206316229301,0.48315097012,0.3995096144,0.24400141196550662,0.5285711744203724,0.84876742944,0.951774776369326,0.7943517266999999,0.4399976295609208,0.574002126,0.690909299768402,0.5984988384737715,0.6574745800118784,0.7474745415827151,0.93224908525,0.6598383469795929,0.6906342218999999,0.9050816980500002,0.8360871964158575,0.588570193,0.1846840798
2013-01-01 08:00:00,0.6072366240116106,0.8195524013250665,0.8679126130690402,0.9284667444000001,0.4764607846700001,0.42725831636431294,0.6502534973266529,0.439751325,0.7751458382399999,0.81262800643,0.7022901429937471,0.8513642188529125,0.6814617966587233,0.7511801401704113,0.8796727490985514,0.5188035729799999,0.5624141408000001,0.7200211402175054,0.7704923768472538,0.90028257003,0.9556965545915053,0.82461101737,0.5996849284316896,0.3497605428000001,0.6820554597883997,0.8361870394180911,0.7586262263119942,0.8266176451586499,0.94392113055,0.7466650673641622,0.5806497353,0.87710073579,0.9028982738228106,0.6343509739000001,0.23684725295
2013-01-01 09:00:00,0.7179967347542774,0.8263848754321094,0.7888364351470419,0.87346667343,0.6657889170600001,0.4267503400756835,0.6509064987863478,0.25327176300000004,0.75232905786,0.81659189091,0.7515371524483756,0.8603901474509725,0.7138278031703841,0.7141991458494853,0.8130670098247942,0.5373900942200001,0.5201729296,0.7329161139657377,0.8545650989164146,0.67937609871,0.8863442869783242,0.7929933437300001,0.7194116160337324,0.54529723464,0.5908871735284209,0.8719959363079233,0.5549822176870103,0.6767583618048436,0.82338807867,0.600418094660091,0.4760724581,0.8249114779200001,0.8401142105166414,0.7735063616,0.20158746795
