,project_status,length,build_year,underground,p_nom,tags,x0,y0,x1,y1
Sumatra – Jawa (ID),in_planning,1174,2031,True,2600,Sumatra – Jawa (ID),105.253,-5.44,106.836,-6.62
Kalimantan – Jawa (ID),in_planning,1096,2040,True,5000,Kalimantan – Jawa (ID),112.681,-7.32,114.628,-3.425
Sumba – Sumbawa (ID),in_planning,120,2040,True,2000,Sumba – Sumbawa (ID),119.6571,-9.5726,118.959,-8.575
Sumbawa Internal (ID),in_planning,240,2040,True,2000,Sumbawa Internal (ID),118.959,-8.575,116.82,-8.764
Sumbawa – Lombok (ID),in_planning,60,2040,True,2000,Sumbawa – Lombok (ID),116.82,-8.764,116.291,-8.814
Lombok – Bali (ID),in_planning,120,2040,True,2000,Lombok – Bali (ID),116.291,-8.814,115.182,-8.583
Kalimantan – Sulawesi (ID),under_consideration,680,2040,True,1,Kalimantan – Sulawesi (ID),117.571,0.47,119.393,-1.156
Sumatera – Batam (ID),in_planning,556,2031,True,3000,Sumatera – Batam (ID),103.181,-0.273,104.021,1.114
