Parameter,Unit,Values,Description
natura_size,string,"{countries, cutout, global}","Select which regions to include in the natura raster. Either include all selected countries (counties), the entire cutout (cutout) or the entire globe (global)."
natura_resolution,m,,"Grid resolution of the natura output data in meters."
window_size,int,,"Size of the shifting rasterization window in bytes. The required RAM scales with window_size^2"
buffer_size,int,,"Buffer around the regions of interest to include every required value in the unit of area_crs, default: m. A buffer of around 100 km will be sufficient for most cases."
