Parameter,Unit,Values,Description
source,--,"{gegis, demcast}","Load dataset provider. ``gegis`` provides bundled GEGIS SSP2-2.6 scenario loads for 2011, 2013, and 2018 and requires ``prediction_year``. ``demcast`` provides hourly data for 2000–2024 and ignores ``prediction_year``. Comparison and download notes: [issue #1724](https://github.com/pypsa-meets-earth/pypsa-earth/issues/1724)."
weather_year,--,YYYY or derive_from_snapshots,Weather year of the load time series. An explicit integer derives the annual snapshot range and corresponding cutout. ``derive_from_snapshots`` preserves the configured snapshot range and infers the year from ``snapshots.start``. The resolved year must be supported by the selected ``source``.
prediction_year,--,"YYYY (past or future)","Future demand scenario year (GDP and population); used only when ``source`` is ``gegis``. Selects the path segment under ``data/ssp2-2.6/<prediction_year>/``."
scale,--,float or dict,"Multiplier for all load time series (e.g. ``2`` doubles demand), or per-country factors via a dict with optional ``DEFAULT`` key."
