Parameter,Unit,Values,Description
name,--,"One of {'gurobi', 'cplex', 'cbc', 'glpk', 'ipopt'}; potentially more possible","Solver to use for optimisation problems in the workflow; e.g. clustering and linear optimal power flow."
opts,--,"Parameter list for [Gurobi](https://www.gurobi.com/documentation/8.1/refman/parameters.html) and [CPLEX](https://www.ibm.com/docs/en/icos/20.1.0?topic=cplex-topical-list-parameters)","Solver specific parameter settings."
