Parameter,Unit,Values,Description
shipping_hydrogen_liquefaction,bool,"{true, false}",Whether to include liquefaction costs for hydrogen demand in shipping.
shipping_average_efficiency,float,"[0, 1]",The efficiency of hydrogen-powered ships in the conversion of hydrogen to meet shipping needs (fuel cell).
shipping_hydrogen_share,float/dict,"[0, 1] or {demand}_{planning_horizons}: [0, 1]",The share of ships powered by hydrogen in a given year.
airport_sizing_factor,float,,Size of large airports relative to medium-sized airports.
international_bunkers,bool,"{true, false}",Whether or not to count the emissions of international aviation and navigation
