name,country,fraction,y,x,source
Port of Porto Alegre,BR,0.0093711074728945,-30.0324999,-51.2303767,https://web3.antaq.gov.br/ea/sense/index.html
Port of Porto Velho,BR,0.0043927269454681,-8.7494525,-63.8735438,https://web3.antaq.gov.br/ea/sense/index.html
Port of Rio Grande,BR,0.0435724936001034,-32.0334252,-52.0991297,https://web3.antaq.gov.br/ea/sense/index.html
Port of Rio de Janeiro,BR,5.046512304651745e-07,-22.9110137,-43.2093727,https://web3.antaq.gov.br/ea/sense/index.html
Port of Rio de Janeiro -  Niterói,BR,0.0443664314789124,-22.8818386,-43.0631796,https://web3.antaq.gov.br/ea/sense/index.html
Port of Santana,BR,5.4426635205669074e-05,-0.0307068,-51.1789666,https://web3.antaq.gov.br/ea/sense/index.html
Port of Santarém,BR,0.0051919580625122,-2.438489,-54.699611,https://web3.antaq.gov.br/ea/sense/index.html
Port of Santos,BR,0.2394253913515994,-23.9335988,-46.3286399,https://web3.antaq.gov.br/ea/sense/index.html
Port of Suape - Recife,BR,0.0383006295334915,-8.3539067,-34.9567358,https://web3.antaq.gov.br/ea/sense/index.html
Port of São Francisco do Sul,BR,0.0590632603950572,-26.2495087,-48.6308087,https://web3.antaq.gov.br/ea/sense/index.html
Port of São João da Barra,BR,0.0238757149353839,-21.6348588,-41.0487079,https://web3.antaq.gov.br/ea/sense/index.html
Port of São Sebastião,BR,0.0281699958363062,-23.8027866,-45.4070527,https://web3.antaq.gov.br/ea/sense/index.html
Port of São Simão,BR,0.0001269977760157,-18.9939882,-50.5463828,https://web3.antaq.gov.br/ea/sense/index.html
Port of Tomé Açu,BR,3.39182973603332e-05,-2.4166306,-48.1522907,https://web3.antaq.gov.br/ea/sense/index.html
Port of Vila do Conde - Belém,BR,0.0175337135818246,-1.5666293,-48.7643669,https://web3.antaq.gov.br/ea/sense/index.html
Port of Vitória,BR,0.0514073081279169,-20.3200917,-40.3376682,https://web3.antaq.gov.br/ea/sense/index.html
Port of Vitória do Xingu,BR,1.7331328962634663e-05,-2.8833063,-52.0114889,https://web3.antaq.gov.br/ea/sense/index.html
Port of Óbidos,BR,0.0072151534781335,-1.901072,-55.520812,https://web3.antaq.gov.br/ea/sense/index.html
Port of Almeirim,BR,1.2622588902010179e-05,-1.5290377,-52.5788111,https://web3.antaq.gov.br/ea/sense/index.html
Port of Angra dos Reis,BR,0.03637386831330754,-23.0063966,-44.316326,https://web3.antaq.gov.br/ea/sense/index.html
Port of Aracajú,BR,0.0003690950283545405,-10.9162061,-37.0774655,https://web3.antaq.gov.br/ea/sense/index.html
Port of Aratu - Salvador,BR,0.03221878196268543,-12.7926188,-38.4903857,https://web3.antaq.gov.br/ea/sense/index.html
Port of Barra do Riacho,BR,0.004204979424887622,-19.8265461,-40.0636815,https://web3.antaq.gov.br/ea/sense/index.html
Port of Belém,BR,0.00019471910380768024,-1.45056,-48.4682453,https://web3.antaq.gov.br/ea/sense/index.html
Port of Cabedelo,BR,0.0005447469176602474,-6.97324,-34.8351609,https://web3.antaq.gov.br/ea/sense/index.html
Port of Coari,BR,0.00048259051661885097,-4.0885957,-63.1431166,https://web3.antaq.gov.br/ea/sense/index.html
Port of Corumbá,BR,0.0009875852540011261,-19.0016365,-57.6534316,https://web3.antaq.gov.br/ea/sense/index.html
Port of Humaitá,BR,0.000252328482569124,-7.5099404,-63.0248674,https://web3.antaq.gov.br/ea/sense/index.html
Port of Ilhéus,BR,0.0009014275257453446,-14.792599,-39.0453843,https://web3.antaq.gov.br/ea/sense/index.html
Port of Imbituba,BR,0.005963257281016102,-28.241827,-48.6643444,https://web3.antaq.gov.br/ea/sense/index.html
Port of Itaguaí,BR,0.04180099866130398,-22.8629597,-43.775322,https://web3.antaq.gov.br/ea/sense/index.html
Port of Itaituba,BR,0.005322469934152787,-4.2625218,-55.9878139,https://web3.antaq.gov.br/ea/sense/index.html
Port of Itaqui,BR,0.08229162614642252,-2.557055,-44.3523473,https://web3.antaq.gov.br/ea/sense/index.html
Port of Macapá,BR,0.0015611351406401735,0.0401529,-51.0569588,https://web3.antaq.gov.br/ea/sense/index.html
Port of Macau,BR,0.00032807433839271736,-5.1131698,-36.6350676,https://web3.antaq.gov.br/ea/sense/index.html
Port of Maceió,BR,0.0017005811714965408,-9.6476843,-35.7339264,https://web3.antaq.gov.br/ea/sense/index.html
Port of Manaus,BR,0.05192190806944503,-3.1316333,-59.9825041,https://web3.antaq.gov.br/ea/sense/index.html
Port of Mossoró,BR,0.00044810448662424443,-5.1904332,-37.3443872,https://web3.antaq.gov.br/ea/sense/index.html
Port of Natal,BR,0.003985359512211014,-5.805398,-35.2080905,https://web3.antaq.gov.br/ea/sense/index.html
Port of Paranaguá - Antonina,BR,0.06898925817672782,-25.427116849999997,-48.71130068256013,https://web3.antaq.gov.br/ea/sense/index.html
Port of Pecém - Fortaleza,BR,0.028001684604785325,-3.60441685,-38.89048344497465,https://web3.antaq.gov.br/ea/sense/index.html
Port of Porto Alegre,BR,0.009371107472894597,-30.0324999,-51.2303767,https://web3.antaq.gov.br/ea/sense/index.html
Port of Porto Velho,BR,0.004392726945468196,-8.7494525,-63.8735438,https://web3.antaq.gov.br/ea/sense/index.html
Port of Rio Grande,BR,0.04357249360010344,-32.0334252,-52.0991297,https://web3.antaq.gov.br/ea/sense/index.html
Port of Rio de Janeiro -  Niterói,BR,0.04436643147891241,-22.8818386,-43.0631796,https://web3.antaq.gov.br/ea/sense/index.html
Port of Santarém,BR,0.0051919580625122705,-2.438489,-54.699611,https://web3.antaq.gov.br/ea/sense/index.html
Port of Santos,BR,0.23942539135159943,-23.9335988,-46.3286399,https://web3.antaq.gov.br/ea/sense/index.html
Port of Suape - Recife,BR,0.038300629533491545,-8.3539067,-34.9567358,https://web3.antaq.gov.br/ea/sense/index.html
Port of São Francisco do Sul,BR,0.05906326039505725,-26.2495087,-48.6308087,https://web3.antaq.gov.br/ea/sense/index.html
Port of São João da Barra,BR,0.023875714935383933,-21.6348588,-41.0487079,https://web3.antaq.gov.br/ea/sense/index.html
Port of São Sebastião,BR,0.02816999583630621,-23.8027866,-45.4070527,https://web3.antaq.gov.br/ea/sense/index.html
Port of São Simão,BR,0.00012699777601579056,-18.9939882,-50.5463828,https://web3.antaq.gov.br/ea/sense/index.html
Port of Vila do Conde - Belém,BR,0.017533713581824678,-1.5666293,-48.7643669,https://web3.antaq.gov.br/ea/sense/index.html
Port of Vitória,BR,0.05140730812791696,-20.3200917,-40.3376682,https://web3.antaq.gov.br/ea/sense/index.html
Port of Óbidos,BR,0.007215153478133584,-1.901072,-55.520812,https://web3.antaq.gov.br/ea/sense/index.html
