Report generated on: 01-13-2026 23:55:39
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.33-12-FLK-BKWH.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-FRO-BKWH.A","        Faroe Islands","0.049","0.049","0.049","0.049","0.049","0.049","0.049","0.049","0.062","0.071","0.074","0.074","0.083","0.073","0.075","0.075","0.069564","0.075066","0.076501","0.069453","0.0753","0.0752","0.0955","0.0848","0.0934","0.098","0.0999","0.1034","0.0949","0.0915","0.0668","0.092","0.099","0.091","0.121","0.132","0.105","0.11","0.107","0.102","0.11","0.11","0.131","0.131"
"INTL.33-12-FJI-BKWH.A","        Fiji","0","0","0","0.049","0.284","0.29","0.329","0.346","0.327","0.327","0.381","0.381","0.386","0.386","0.406","0.425","0.426","0.43","0.417922","0.44985","0.414","0.463","0.45","0.344","0.367","0.339","0.341","0.508","0.495","0.46","0.41","0.451","0.52","0.522","0.397","0.402","0.491","0.486","0.561","0.56","0.559","0.548","0.599",".602066631"
"INTL.33-12-FIN-BKWH.A","        Finland","10.115","13.518","12.958","13.445","13.115","12.211","12.266","13.658","13.229","12.9","10.75","13.065","14.956","13.341","11.669","12.796","11.742","12.11958","14.9","12.652","14.513","13.073","10.668","9.495","14.919","13.646","11.379","14.035","16.941","12.559","12.743","12.278","16.667","12.672","13.24","16.584","15.6341","14.6095","13.137","12.2455","15.6693","15.6231","13.4627875","15.2"
"INTL.33-12-CSK-BKWH.A","        Former Czechoslovakia","4.8","4.2","3.7","3.9","3.2","4.3","4","4.853","4.355","4.229","3.919","3.119","3.602","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.33-12-SCG-BKWH.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","11.23","10.395","11.016","12.071","14.266","12.636","12.763","13.243","11.88","12.326","11.633","9.752","11.01","11.912","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.33-12-SUN-BKWH.A","        Former U.S.S.R.","184.025","184.993","175.46","180.186","203.155","205.046","213.477","217.466","228.512","220.998","230.67","232.65","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.33-12-YUG-BKWH.A","        Former Yugoslavia","27.868","25.044","23.295","21.623","25.645","24.363","27.474","25.98","25.612","23.256","19.601","18.929","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.33-12-FRA-BKWH.A","        France","68.253","70.358","68.6","67.515","64.01","60.248","60.953","68.623","73.952","45.744","52.796","56.277","68.313","64.3","78.057","72.196","64.43","63.151","61.479","71.832","66.466","73.888","59.992","58.567","59.276","50.965","55.741","57.029","63.017","56.428","61.945","45.184","59.099","71.042","62.993","54.876","60.094","49.389","64.485","56.9139","62.5945","59.625","44.61","55.589776735"
"INTL.33-12-GUF-BKWH.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.53","0.549","0.571","0.593","0.616","0.639","0.663","0.689","0.708","0.737","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie"
"INTL.33-12-PYF-BKWH.A","        French Polynesia","0","0","0","0.016","0.024","0.032","0.035","0.035","0.058","0.064","0.069","0.074","0.09","0.094","0.096","0.125","0.133","0.133","0.151","0.087","0.116","0.105","0.131","0.154","0.178","0.177","0.198","0.22","0.209","0.208","0.273","0.223","0.197","0.152","0.167","0.167","0.184","0.1764","0.1649","0.16","0.161","0.144","0.192","0.192"
"INTL.33-12-GAB-BKWH.A","        Gabon","0.257","0.408","0.482","0.541","0.604","0.66","0.665","0.668","0.669","0.693","0.698","0.7","0.708","0.703","0.739","0.783","0.762","0.801","0.804","0.823","0.795","0.869","0.914","0.891","0.884","0.804","0.936","0.793","0.885","0.935","0.898","0.832","0.899","0.927","0.786","0.909","0.821","0.929","1.3","1.31","1.42","1.368","1.523","1.523"
"INTL.33-12-GMB-BKWH.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-GEO-BKWH.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","6.439","6.536","6.704","5.151","5.94","5.987","6.308","6.378","5.801","5.487","6.699","6.461","5.989","6.174","5.262","6.75","7.09","7.338","9.273","7.811","7.151","8.188","8.252","8.369","9.236","9.118","9.849","8.932","8.2482","10.182","10.771","10.863"
"INTL.33-12-DEU-BKWH.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","14.742","17.223","17.699","19.731","21.562","21.737","17.18343","17.044","19.451","21.515","22.506","22.893","19.071","20.866","19.442","19.808","20.957","20.239","18.841","20.678","17.323","21.331","22.66","19.31","18.664","20.214","19.985","17.694","19.731","18.322","19.252","17.383","19.957637729"
"INTL.33-12-DDR-BKWH.A","        Germany, East","1.658","1.718","1.748","1.683","1.748","1.758","1.767","1.726","1.719","1.551","1.389","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.33-12-DEUW-BKWH.A","        Germany, West","17.125","17.889","17.694","16.713","16.434","15.354","16.526","18.36","18.128","16.482","15.769","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.33-12-GHA-BKWH.A","        Ghana","5.276","5.341","4.941","2.55","1.799","2.996","4.389","4.627","4.811","5.178","5.664","6.075","6.536","6.228","6.033","6.036","6.559","6.782","3.792","5.117","6.544","6.543","4.986","3.846","5.228","5.573","5.563","3.69","6.133","6.808","6.926","7.485","7.99","8.151","8.303","5.787","5.505","5.616","6.017","7.2516","7.293","7.525","8.192","9.187"
"INTL.33-12-GIB-BKWH.A","        Gibraltar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-GRC-BKWH.A","        Greece","3.396","3.398","3.551","2.331","2.852","2.792","3.222","2.768","2.354","1.888","1.751","3.068","2.181","2.26","2.573","3.494","4.305","3.84318","3.68","4.546","3.656","2.076","2.772","4.718","4.625","4.967","5.806","2.565","3.279","5.32","7.431","3.998","4.387","6.337","4.464","5.782","5.543","3.962","5.035","3.9798","3.3437","5.9092","4","4.719"
"INTL.33-12-GRL-BKWH.A","        Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.171","0.171","0.158","0.182","0.18","0.192","0.203","0.196","0.204","0.202","0.265","0.293","0.335","0.342","0.374","0.392","0.419","0.397","0.384","0.418","0.409","0.43","0.433","0.467","0.467"
"INTL.33-12-GRD-BKWH.A","        Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-GLP-BKWH.A","        Guadeloupe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie"
"INTL.33-12-GUM-BKWH.A","        Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-GTM-BKWH.A","        Guatemala","0.276","0.34","0.476","0.8","0.599","0.671","1.7","1.683","1.83","2.067","2.126","2.126","1.791","1.903","2.022","1.88001","1.85229","1.82457","2.06613","2.27106","2.4968","2.178","1.9305","2.647","2.539","2.91","3.27","3.001","3.638","2.913","3.811","4.132","4.463","4.648","4.84","3.872","3.992","5.8064","5.3114","4.4697","5.7788","6.662","7.044","5.653"
"INTL.33-12-GIN-BKWH.A","        Guinea","0.148","0.148","0.148","0.153","0.155","0.161","0.163","0.165","0.168","0.17","0.173","0.176","0.178","0.18","0.182","0.191","0.195","0.285","0.307","0.391","0.406","0.546","0.589","0.396","0.549","0.489","0.456","0.533","0.524","0.517","0.482","0.413","0.486","0.477","0.422","0.881","1.0838","1.2121","1.191","1.289","1.493","2.645","2.947","3"
"INTL.33-12-GNB-BKWH.A","        Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-GUY-BKWH.A","        Guyana","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0.004","0.004","0.004","0.004","0.004"
"INTL.33-12-HTI-BKWH.A","        Haiti","0.218","0.223","0.247","0.257","0.267","0.293","0.315","0.317","0.317","0.317","0.352","0.329","0.318","0.271","0.231","0.25","0.269","0.198","0.303","0.265","0.28","0.28","0.257","0.252","0.257","0.262","0.268","0.152","0.179","0.205","0.175","0.12","0.219","0.14","0.089","0.0822","0.0703","0.1257","0.195","0.174","0.144","0.134","0.185","0.185"
"INTL.33-12-HITZ-BKWH.A","        Hawaiian Trade Zone","0","0","0","0","0","0","0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.33-12-HND-BKWH.A","        Honduras","0.772","0.821","0.846","0.831","0.865","0.866","1.272","1.131","1.739","1.825","2.066","2.098","2.17","2.241","1.8","1.656","2.019","2.064","1.904","2.109","2.237","1.885","1.595","1.724","1.387","1.701","2.049","2.192","2.268","2.769","3.049","2.787","2.759","2.712","2.576","2.317","2.246","2.9706","3.1545","2.43","2.7005","3.765","3.882","3.882"
"INTL.33-12-HKG-BKWH.A","        Hong Kong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-HUN-BKWH.A","        Hungary","0.111","0.166","0.158","0.153","0.179","0.153","0.152","0.167","0.167","0.156","0.176","0.192","0.156","0.164","0.159","0.161","0.205","0.21384","0.15345","0.179","0.176","0.184","0.192","0.169","0.203","0.2","0.184","0.208","0.211","0.226","0.184","0.216","0.206","0.208","0.294","0.2267","0.2533","0.214","0.216","0.213","0.238","0.206","0.1736896","0.2175438"
"INTL.33-12-ISL-BKWH.A","        Iceland","3.053","3.085","3.407","3.588","3.738","3.667","3.846","3.918","4.169","4.217","4.162","4.162","4.267","4.421","4.47","4.635","4.724","5.15493","5.565","5.987","6.292","6.512","6.907","7.017","7.063","6.949","7.22","8.31","12.303","12.156","12.51","12.382","12.214","12.747","12.554","13.541","13.0916","13.8919","13.6794","13.3291","12.9196","13.5777","13.9401712","14.104043"
"INTL.33-12-IND-BKWH.A","        India","46.54","49.56","48.31","49.87","53.405","50.508","53.309","46.993","57.291","61.511","70.939","72.047","69.187","69.773","81.9","71.87","68.241","73.914","82.173","79.901","73.717","72.96","73.579","79.994","89.607","106.831","119.168","113.502","115.635","112.005","113.42","130.6428","113.8385","134.9766","129.3884","121.4867","122.5212","126.2352","135.1637","156.1172","150.6501","165.3685","173.4297","147.8753435"
"INTL.33-12-IDN-BKWH.A","        Indonesia","2.234","2.907","2.708","2.941","3.197","3.817","5.199","4.531","5.689","6.913","6.666","7.107","9.009","8.035","7.364","8.139","8.76","5.668","10.506","10.144","9.916","11.539","9.834","9.008","9.576","10.618","9.527","11.173","11.413","11.27","17.281","12.419","12.799","16.923","15.162","13.741","18.677","18.632","21.636","21.161","24.325","24.697","27.295","24.59"
"INTL.33-12-IRN-BKWH.A","        Iran","5.561","6.164","6.38","6.138","6.268","6.27","6.136","6.336","6.386","6.633","6.022","6.985","9.435","9.725","7.371","7.202","7.326","6.857","6.961","4.906","3.625","5.026","8.004","10.987","10.521","15.939","18.083","17.807","4.953","7.161","9.431","11.937","12.323","14.436","13.723","13.949","16.257","14.9","15.6074","31.087","22.076","12.267","12.619","12.645681918"
"INTL.33-12-IRQ-BKWH.A","        Iraq","0.683","0.683","0.604","0.594","0.604","0.604","0.594","0.604","0.703","0.594","0.604","0.307","0.693","0.594","0.554","0.564","0.564","0.575","0.587","0.599","0.611","0.618","0.517","0.433","0.493","6","6.096","5.736","3.485","3.227","4.76664","3.396691","4.39215","4.756787","2.930797","2.546137","3.371234","2.176083","1.817702","4.963264","4.161628","3.345781","2.650656","1.382999"
"INTL.33-12-IRL-BKWH.A","        Ireland","0.833","0.855","0.792","0.776","0.68","0.824","0.91","0.673","0.862","0.684","0.69","0.738","0.809","0.757","0.911","0.706","0.715","0.67122","0.907","0.838","0.838","0.59","0.903","0.592","0.624","0.625","0.717","0.66","0.959","0.893","0.593","0.699","0.795","0.593","0.701","0.798","0.674","0.685","0.687","0.8781","0.9327","0.7501","0.6954","0.900004369"
"INTL.33-12-ISR-BKWH.A","        Israel","0","0","0","0","0","0","0","0.01","0.01","0.003","0.003","0.006","0.029","0.03","0.03","0.025","0.024","0.025","0.025","0.033","0.031","0.01","0.021","0.031","0.028","0.028","0.015","0.014","0.016","0.024","0.031","0.029","0.033","0.028","0.013","0.024","0.0004","0.0004","0.0002","0.0002","0.02","0.02","0.02","0.0002"
"INTL.33-12-ITA-BKWH.A","        Italy","44.997","42.782","41.216","40.96","41.923","40.616","40.626","39.05","40.205","33.647","31.31","41.817","41.778","41.011","44.212","37.404","41.617","41.18697","40.808","44.911","43.763","46.343","39.125","33.303","41.915","35.706","36.624","32.488","41.207","48.647","50.506","45.3648","41.4562","52.2463","57.9596","45.0816","42.0077","35.837","48.2991","45.3182","47.5518","44.739","28.264","38.425399082"
"INTL.33-12-JAM-BKWH.A","        Jamaica","0.119","0.124","0.134","0.148","0.081","0.076","0.115","0.119","0.099","0.126","0.109","0.119","0.108","0.089","0.11","0.095","0.101","0.109","0.113","0.115","0.114","0.059","0.093","0.116","0.133","0.15","0.164","0.158","0.156","0.139","0.15","0.15","0.149","0.115","0.135","0.128","0.118","0.152","0.1792","0.1552","0.1356","0.138","0.119","0.119"
"INTL.33-12-JPN-BKWH.A","        Japan","87.784","87.077","80.798","83.439","72.684","82.111","80.015","74.033","89.926","90.833","88.412","96.517","81.72","94.634","66.591","81.297","79.71381","88.901","91.588","85.552","86.38","83.324","81.554","93.661","93.122","75.705","86.649","73.269","75.684","76.127","83.432","84.551","76.177","79.036","83.162","86.751","79.138","83.417","80.634","79.8197","78.8074","79.1367","71.8056","72.082868182"
"INTL.33-12-JOR-BKWH.A","        Jordan","0","0","0","0","0","0","0.003","0.019","0.027","0.017","0.018","0.007","0.015","0.022","0.014","0.018","0.022","0.017","0.013","0.014","0.039","0.043","0.052","0.041","0.052","0.056","0.05","0.06","0.061","0.058","0.06","0.054","0.06","0.054","0.057","0.052","0.042","0.038","0.0227","0.0184","0.0183","0.019","0.019","0.019"
"INTL.33-12-KAZ-BKWH.A","        Kazakhstan","--","--","--","--","--","--","--","--","--","--","--","--","6.797","7.553","9.087","8.248","7.258","6.434","6.08","6.071","7.456","8","8.801","8.539","7.976","7.777","7.69","8.089","7.385","6.81","7.942","7.804","7.561","7.654","8.18","9.176","11.505","11.098","10.3954","9.9937","9.6603","9.208","9.201","9.357"
"INTL.33-12-KEN-BKWH.A","        Kenya","1.049","1.367","1.382","1.463","1.475","1.663","1.718","1.794","2.299","2.443","2.51163","2.742","2.768","2.96307","3.037","3.131","3.32","3.226","3.241","2.411","1.312","2.379","3.088","3.227","2.84","2.996","3.245","3.453","2.821","2.148","3.393","3.416","4.256","3.906","3.277","3.749","3.308","3.174","3.9864","3.2053","4.2327","3.675","3.04","2.667"
"INTL.33-12-KIR-BKWH.A","        Kiribati","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-XKS-BKWH.A","        Kosovo","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.075","0.119","0.154","0.104","0.095","0.142","0.149","0.139","0.243","0.177","0.2703","0.2079","0.2628","0.297","0.266","0.393"
"INTL.33-12-KWT-BKWH.A","        Kuwait","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-KGZ-BKWH.A","        Kyrgyzstan","--","--","--","--","--","--","--","--","--","--","--","--","9.195","8.994","11.607","11.007","12.132","10.825","9.844","12.021","13.546","12.306","10.679","13.381","13.953","12.66","12.347","12.609","10.023","10.115","10.997","13.998","14.037","12.996","13.165","10.989","11.379","14.061","14.1748","13.7056","13.979","12.957","11.903","11.764498041"
"INTL.33-12-LAO-BKWH.A","        Laos","0.92","1.089","1.138","1.019","0.94","0.857","0.819","0.531","0.487","0.661","0.817","0.876","0.858","0.867","0.853","1.042","1.194","1.164","1.802","2.324","3.277","3.297","3.212","2.832","2.998","3.51","3.6","3.37","3.72","3.37","8.365","12.839","12.926","15.35","15.117","13.9","17.526","20.102","22.328","19.738","28.513","32.896","38.736","40"
"INTL.33-12-LVA-BKWH.A","        Latvia","--","--","--","--","--","--","--","--","--","--","--","--","2.498","2.846","3.272","2.908","1.841","2.922","2.99","2.729","2.791","2.805","2.438","2.243","3.078","3.293","2.671","2.706","3.078","3.422","3.488","2.8568","3.677","2.838","1.953","1.841","2.5228","4.3555","2.4171","2.0959","2.584","2.6884","2.731329","3.7734564"
"INTL.33-12-LBN-BKWH.A","        Lebanon","0.841","0.841","0.643","0.554","0.579","0.579","0.554","0.604","0.594","0.495","0.297","0.495","0.545","0.713","0.809","0.71","0.79","0.892","0.777","0.329","0.445","0.33","0.671","1.349","1.109","1.036","0.688","0.579","0.369","0.616","0.831","0.797","0.997","1.256","0.191","0.474","0.378","0.4109","0.3445","0.965","1.0546","0.612","0.695","0.7"
"INTL.33-12-LSO-BKWH.A","        Lesotho","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.195","0.288","0.285","0.314","0.325","0.297","0.459","0.525","0.554","0.584","0.648","0.694","0.49","0.486","0.515","0.52","0.5322","0.522","0.5387","0.516","0.392","0.426","0.531","0.48","0.48"
"INTL.33-12-LBR-BKWH.A","        Liberia","0.331","0.314","0.328","0.32","0.223","0.259","0.315","0.316","0.321","0.311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.128","0.128","0.128","0.128","0.128","0.128"
"INTL.33-12-LBY-BKWH.A","        Libya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-LTU-BKWH.A","        Lithuania","--","--","--","--","--","--","--","--","--","--","--","--","0.308","0.389","0.447","0.369","0.323","0.291","0.413","0.409","0.336","0.322","0.35","0.323","0.417","0.4462","0.393","0.417","0.398","0.42","0.535","0.475","0.419","0.516","0.395","0.346","0.45","0.597","0.427","0.3425","0.3006","0.3837","0.438","0.433949054"
"INTL.33-12-LUX-BKWH.A","        Luxembourg","0.086","0.095","0.084","0.083","0.088","0.071","0.084","0.101","0.097","0.072","0.07","0.083","0.069","0.066","0.117","0.087","0.059","0.082","0.114","0.084","0.119","0.117","0.098","0.078","0.103","0.093","0.11","0.116","0.131","0.105","0.104","0.061","0.095","0.114","0.104","0.095","0.111","0.082","0.089","0.1059","0.0916","0.1068","0.0877","0.093934399"
"INTL.33-12-MAC-BKWH.A","        Macau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-MDG-BKWH.A","        Madagascar","0.146","0.152","0.226","0.245","0.252","0.255","0.266","0.286","0.3","0.314","0.338","0.332","0.342","0.344","0.347","0.369","0.421","0.45","0.5","0.515","0.54","0.528","0.535","0.604","0.634","0.641","0.631","0.712","0.692","0.734","0.704","0.6831","0.7475","0.8009","0.8752","0.9266","0.8811","0.7811","0.9583","0.8899","0.818","0.767","0.822","0.822"
"INTL.33-12-MWI-BKWH.A","        Malawi","0.388","0.379","0.405","0.443","0.464","0.47","0.506","0.558","0.563","0.566","0.697","0.743","0.768","0.771","0.811","0.832","0.846","0.866","0.995","0.962","1.023","1.045","1.093","1.139","1.259","1.307","1.339","1.367","1.521","1.488","1.735","1.79","1.86","1.8613","1.9667","1.9556","1.9437","1.823","1.425","1.675","1.676","1.694","1.694","1.694"
"INTL.33-12-MYS-BKWH.A","        Malaysia","1.398","1.578","1.29","1.684","3.397","3.776","4.032","4.861","5.607","5.183","3.948","4.363","4.316","4.823","6.458","6.156","5.132","3.831","4.803","7.445","7.34","6.371","5.248","5.693","5.769","5.139","6.378","6.425","7.386","6.889","6.407","7.547","8.965","11.681","13.405","15.369","20.153","26.449","26.032","26.167","27.295","31.101","32.7492","31.5"
"INTL.33-12-MDV-BKWH.A","        Maldives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-MLI-BKWH.A","        Mali","0.083","0.082","0.105","0.122","0.133","0.133","0.158","0.16","0.166","0.168","0.181","0.182","0.208","0.218","0.22","0.223","0.21","0.227","0.23","0.23","0.233","0.234","0.236","0.234","0.248","0.447","0.479","0.471","0.572","0.672","1.0969","1.1454","1.2395","1.1138","1.382","1.1237","1.483","1.483","1.3632","1.365","1.444","1.331","1.64","1.64"
"INTL.33-12-MLT-BKWH.A","        Malta","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-MTQ-BKWH.A","        Martinique","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie"
"INTL.33-12-MRT-BKWH.A","        Mauritania","0.025","0.03","0.038","0.039","0.036","0.031","0.018","0.025","0.025","0.025","0.025","0.025","0.026","0.026","0.028","0.028","0.028","0.03","0.028","0.03","0.032","0.034","0.034","0.041","0.044","0.049","0.051","0.054","0.06","0.11","0.116","0.13","0.135","0.17","0.18","0.19","0.13","0.174","0.19","0.2","0.21","0.21","0.209952799","0.209952799"
"INTL.33-12-MUS-BKWH.A","        Mauritius","0.082","0.059","0.093","0.035","0.065","0.114","0.109","0.139","0.099","0.147","0.084","0.074","0.112","0.103","0.075","0.134","0.102","0.092","0.104","0.03","0.095","0.07","0.085","0.117","0.121","0.113","0.0759","0.083","0.107","0.121","0.101","0.055","0.073","0.094","0.091","0.121","0.099","0.089","0.1238","0.099","0.116","0.107","0.128","0.094"
"INTL.33-12-MEX-BKWH.A","        Mexico","16.734","24.362","22.686","20.52","23.358","25.968","19.817","18.243","20.974","24.398","23.243","21.635","25.908","25.973","19.848","27.253","31.128","26.16669","24.379","32.454","32.802","28.217","24.701","19.681","24.954","27.382","30.09","27.003","38.786","26.446","36.79","35.9276","31.587","27.722","38.549","30.614","29.744","31.7386","32.2977","23.537","26.615","32.869","33.834","19.3581227"
"INTL.33-12-FSM-BKWH.A","        Micronesia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA"
"INTL.33-12-MDA-BKWH.A","        Moldova","--","--","--","--","--","--","--","--","--","--","--","--","0.255","0.371","0.275","0.321","0.362","0.378","0.387","0.363","0.392","0.359","0.348","0.358","0.35","0.359","0.365","0.354","0.385","0.354","0.403","0.348","0.266","0.311","0.317","0.265","0.228","0.282","0.2732","0.298","0.276","0.316","0.29","0.317"
"INTL.33-12-MNG-BKWH.A","        Mongolia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.02","0.035","0.053","0.051","0.0594","0.0653","0.0584","0.085","0.0836","0.0781","0.0853","0.0832","0.078","0.064","0.064"
"INTL.33-12-MNE-BKWH.A","        Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","1.75","1.284","1.539","2.071","2.75","1.204","1.477","2.504","1.752","1.491","1.843","1.024","2.113","1.634","1.448","2.01","1.435","2.221"
"INTL.33-12-MSR-BKWH.A","        Montserrat","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-MAR-BKWH.A","        Morocco","1.487","1.031","0.576","0.476","0.362","0.465","0.625","0.825","0.926","1.145","1.184","1.234","0.954","0.439","0.831","0.605","1.937","2.062","1.759","0.817","0.711","0.862","0.842","1.441","1.592","1.426","1.601","1.331","1.373","2.952","3.631","2.139","1.816","2.99","2.033","2.281","1.662","1.565","1.998","1.654","1.29","1.2127","0.679","0.516"
"INTL.33-12-MOZ-BKWH.A","        Mozambique","13.409","3.315","2.959","5.01","0.552","0.149","0.038","0.024","0.049","0.05","0.281","0.32","0.322","0.341","0.362","0.375","0.445","0.967","1.487","7.606","9.555","11.723","12.547","10.761","11.551","13.131","14.57","15.902","14.963","16.781","16.647","16.481","14.86","14.658","16.184","17.093","15.605","14.058","13.899","14.9296","15.7033","15.468","16.173","16.173"
"INTL.33-12-NAM-BKWH.A","        Namibia","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","1.12","0.845","0.604","0.982","1.157","1.396","1.211","1.423","1.419","1.367","1.656","1.512","1.542","1.395","1.409","1.247","1.404","1.607","1.272","1.485","1.502","1.359","1.593","1.144","0.954","1.505","0.968","0.781","1.323"
"INTL.33-12-NRU-BKWH.A","        Nauru","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-NPL-BKWH.A","        Nepal","0.176","0.208","0.206","0.314","0.335","0.332","0.432","0.543","0.557","0.536","0.877","0.901","0.83","0.865","0.924","1.147","1.169","1.051","1.12","1.397","1.616","1.831","2.098","2.263","2.378","2.492","2.708","2.755","2.775","3.071","3.173","3.455","3.498","3.472","3.772","3.434","4.152","4.488","4.754","6.061","6.092","9.534","10.588","10.588"
