,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
4316,Tochigi Prefecture Kanuma Solar Xxi,Solar,PV,PP,JP,2,,,,,,2023,2023,2042,36.5868,139.7857,{nan},{'GEM': {'G100001040137'}},2105
4317,Tochigi Prefecture Mashiko Solar,Solar,PV,PP,JP,11.1,,,,,,2015,2015,2037,36.4558,140.074,"{nan, nan, nan, nan}","{'GEM': {'G100001040023', 'G100001040037', 'G100001039801', 'G100001040129'}}",120
4318,Tochigi Prefecture Mashiko Solar,Solar,PV,PP,JP,20.4,,,,,,2015,2015,2039,36.5114,140.1189,"{nan, nan}","{'GEM': {'G100001040011', 'G100001039868'}}",120
4319,Tochigi Prefecture Mashiko Solar,Solar,PV,PP,JP,2,,,,,,2016,2016,2035,36.4629,140.0967,{nan},{'GEM': {'G100001039931'}},120
4320,Tochigi Prefecture Mashiko Solar,Solar,PV,PP,JP,2.5,,,,,,2014,2014,2039,36.4868,140.14595,"{nan, nan}","{'GEM': {'G100001039761', 'G100001040096'}}",120
4321,Tochigi Prefecture Mibu Solar,Solar,PV,PP,JP,4,,,,,,2014,2014,2041,36.4781,139.7754,"{nan, nan, nan}","{'GEM': {'G100001040071', 'G100001040130', 'G100001039707'}}",2097
4322,Tochigi Prefecture Mibu Solar,Solar,PV,PP,JP,4,,,,,,2014,2014,2034,36.4392,139.7805,"{nan, nan}","{'GEM': {'G100001039806', 'G100001039805'}}",2097
4323,Tochigi Prefecture Mibu Solar,Solar,PV,PP,JP,13,,,,,,2016,2016,2037,36.416,139.8189,"{nan, nan}","{'GEM': {'G100001039986', 'G100001039884'}}",1232
4324,Tochigi Prefecture Mibu Solar,Solar,PV,PP,JP,2.8,,,,,,2016,2016,2037,36.49315,139.80995,"{nan, nan}","{'GEM': {'G100001039999', 'G100001039918'}}",2097
4325,Tochigi Prefecture Moka Solar,Solar,PV,PP,JP,4.4,,,,,,2015,2015,2035,36.4376,140.028033333333,"{nan, nan, nan}","{'GEM': {'G100001039869', 'G100001039777', 'G100001039901'}}",2143
