,cooling space,cooling water
0,0.891535713,1.0
1,0.798235095,1.0
2,0.722202491,1.0
3,0.657787709,1.0
4,0.615076019,1.0
5,0.582014616,1.0
6,0.564530139,1.0
7,0.593167757,1.0
8,0.680261835,1.0
9,0.772875711,1.0
10,0.858327123,1.0
11,0.976353468,1.0
12,1.1146086,1.0
13,1.243364558,1.0
14,1.353110899,1.0
15,1.437291256,1.0
16,1.481545646,1.0
17,1.469218901,1.0
18,1.420482088,1.0
19,1.348767925,1.0
20,1.268066451,1.0
21,1.178519869,1.0
22,1.089695339,1.0
23,0.99142508,1.0
