country,y,x,location,technology,capacity,unit,quality,ID,tech
CN,27.224477,120.328828,Ningde,Electric arc,1725.0,kt/yr,exact,SCN00282,Electric arc
CN,26.961516,119.654272,Ningde,Electric arc,500.0,kt/yr,exact,SCN00385,Electric arc
CN,25.244396,118.029905,Quanzhou,Integrated steelworks,2550.0,kt/yr,exact,SCN00010,Integrated steelworks
CN,26.261109,117.614709,Sanming,Integrated steelworks,6800.0,kt/yr,exact,SCN00009,Integrated steelworks
CN,24.635769,117.603677,Zhangzhou,Integrated steelworks,4620.0,kt/yr,exact,SCN00011,Integrated steelworks
CN,24.635769,117.603677,Zhangzhou,Electric arc,788.0,kt/yr,exact,SCN00011-1,Electric arc
CN,24.472439,117.94885,Zhangzhou,Electric arc,720.0,kt/yr,exact,SCN00017,Electric arc
CN,39.812121,98.295555,Jiayuguan,Integrated steelworks,6500.0,kt/yr,exact,SCN00018,Integrated steelworks
CN,36.033646,104.035535,Lanzhou,Integrated steelworks,4000.0,kt/yr,exact,SCN00019,Integrated steelworks
CN,36.488866,103.922,Lanzhou,Integrated steelworks,1060.0,kt/yr,exact,SCN00312,Integrated steelworks
CN,23.126822,113.505817,Guangzhou,Electric arc,3219.9999999999995,kt/yr,exact,SCN00025,Electric arc
CN,23.693659,114.743048,Heyuan,Electric arc,1200.0,kt/yr,exact,SCN00026,Electric arc
CN,24.49796,114.93888,Heyuan,Electric arc,1400.0,kt/yr,exact,SCN00027,Electric arc
CN,23.454666,116.498483,Jieyang,Integrated steelworks,1200.0,kt/yr,exact,SCN00330,Integrated steelworks
CN,24.708232,113.635898,Shaoguan,Integrated steelworks,8000.0,kt/yr,exact,SCN00020,Integrated steelworks
CN,21.697069,111.848841,Yangjiang,Electric arc,2000.0,kt/yr,exact,SCN00023,Electric arc
CN,22.084904,111.642187,Yangjiang,Integrated steelworks,2400.0,kt/yr,exact,SCN00024,Integrated steelworks
CN,24.262452,113.728198,Yingde,Integrated steelworks,2000.0,kt/yr,exact,SCN00403,Integrated steelworks
CN,22.888729,112.263081,Yunfu,Electric arc,1200.0,kt/yr,exact,SCN00287,Electric arc
CN,22.888729,112.263081,Yunfu,Electric arc,1200.0,kt/yr,exact,SCN00287-1,Electric arc
CN,21.056035,110.48657,Zhanjiang,Integrated steelworks,12528.0,kt/yr,exact,SCN00021,Integrated steelworks
CN,21.96092,113.198718,Zhuhai,Integrated steelworks,3050.0,kt/yr,exact,SCN00022,Integrated steelworks
CN,21.519924,109.506427,Beihai,Integrated steelworks,3400.0,kt/yr,exact,SCN00029,Integrated steelworks
CN,21.687637,108.412344,Fangchenggang,Integrated steelworks,6000.0,kt/yr,exact,SCN00030,Integrated steelworks
CN,21.580723,108.400896,Fangchenggang,Integrated steelworks,9200.0,kt/yr,exact,SCN00269,Integrated steelworks
CN,23.088182,109.634638,Guigang,Integrated steelworks,2600.0,kt/yr,exact,SCN00031,Integrated steelworks
CN,23.089502,109.63938,Guigang,Electric arc,1200.0,kt/yr,exact,SCN00331,Electric arc
CN,24.673567,110.78959,Guilin,Electric arc,1200.0,kt/yr,exact,SCN00335,Electric arc
CN,23.978962,111.735523,Hezhou,Electric arc,2000.0,kt/yr,exact,SCN00336,Electric arc
CN,23.978567,111.735529,Hezhou,Electric arc,1000.0,kt/yr,exact,SCN00363,Electric arc
CN,23.987136,111.914197,Hezhou,Electric arc,1725.0,kt/yr,exact,SCN00364,Electric arc
CN,23.987007,111.739775,Hezhou,Electric arc,780.0,kt/yr,exact,SCN00365,Electric arc
CN,23.979937,111.745037,Hezhou,Electric arc,1150.0,kt/yr,exact,SCN00366,Electric arc
CN,24.385304,109.37963,Liuzhou,Integrated steelworks,12500.0,kt/yr,exact,SCN00028,Integrated steelworks
CN,22.326361,106.94616,Longzhou,Integrated steelworks,550.0,kt/yr,exact,SCN00362,Integrated steelworks
CN,22.712996,109.33725,Nanning,Electric arc,1300.0,kt/yr,exact,SCN00367,Electric arc
CN,23.524465,111.2402,Wuzhou,Electric arc,1800.0,kt/yr,exact,SCN00333,Electric arc
CN,23.520307,111.229981,Wuzhou,Electric arc,1000.0,kt/yr,exact,SCN00334,Electric arc
CN,23.518229,111.235509,Wuzhou,Integrated steelworks,600.0,kt/yr,exact,SCN00337,Integrated steelworks
CN,21.67261,109.741866,Yulin,Integrated steelworks,1200.0,kt/yr,exact,SCN00342,Integrated steelworks
CN,21.67261,109.741866,Yulin,Integrated steelworks,1460.0,kt/yr,exact,SCN00342-1,Integrated steelworks
CN,26.873592,106.73215,Guiyang,Electric arc,500.0,kt/yr,exact,SCN00035,Electric arc
CN,26.595229,104.877413,Liupanshui,Integrated steelworks,3500.0,kt/yr,exact,SCN00032,Integrated steelworks
CN,26.509525,107.570458,Qiandongnan,Electric arc,520.0,kt/yr,exact,SCN00332,Electric arc
CN,25.150857,105.041722,Xingyi,Electric arc,500.0,kt/yr,exact,SCN00328,Electric arc
CN,27.591691,106.814024,Zunyi,Electric arc,3334.9999999999995,kt/yr,exact,SCN00033,Electric arc
CN,27.615147,106.949926,Zunyi,Electric arc,2069.9999999999995,kt/yr,exact,SCN00034,Electric arc
CN,27.591697,106.815453,Zunyi,Electric arc,1660.0,kt/yr,exact,SCN00327,Electric arc
CN,27.614947,106.949752,Zunyi,Electric arc,1100.0,kt/yr,exact,SCN00372,Electric arc
CN,38.311738,117.457779,Cangzhou,Electric arc,1000.0,kt/yr,exact,SCN00354,Electric arc
CN,40.947707,117.719747,Chengde,Integrated steelworks,8000.0,kt/yr,exact,SCN00042,Integrated steelworks
CN,40.515035,117.596071,Chengde,Integrated steelworks,3250.0,kt/yr,exact,SCN00060,Integrated steelworks
CN,40.515035,117.596071,Chengde,Integrated steelworks,1130.0,kt/yr,exact,SCN00060-1,Integrated steelworks
CN,40.515035,117.596071,Chengde,Integrated steelworks,1150.0,kt/yr,exact,SCN00060-2,Integrated steelworks
CN,36.621504,114.128189,Handan,Integrated steelworks,2500.0,kt/yr,exact,SCN00036,Integrated steelworks
CN,36.733675,113.925994,Handan,Integrated steelworks,7000.0,kt/yr,exact,SCN00050,Integrated steelworks
CN,36.731752,114.098377,Handan,Integrated steelworks,6800.0,kt/yr,exact,SCN00051,Integrated steelworks
CN,36.721376,113.910271,Handan,Integrated steelworks,3000.0,kt/yr,exact,SCN00066,Integrated steelworks
CN,36.664097,114.115263,Handan,Electric arc,750.0,kt/yr,exact,SCN00067-1,Electric arc
CN,36.786851,114.376132,Handan,Integrated steelworks,1200.0,kt/yr,exact,SCN00068,Integrated steelworks
CN,36.718952,114.111677,Handan,Integrated steelworks,3000.0,kt/yr,exact,SCN00069,Integrated steelworks
