,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
5629,transf_895_0,1258,1259,110000,220000,VN,"LINESTRING (107.7134 10.6896, 107.7144 10.6906)","MULTIPOINT ((107.7134 10.6896), (107.7144 10.6906))",POINT (107.7134 10.6896),POINT (107.7144 10.6906),107.7134,10.6896,107.7144,10.6906
5630,transf_896_0,1260,1261,110000,220000,VN,"LINESTRING (105.5459 10.2479, 105.5469 10.2489)","MULTIPOINT ((105.5459 10.2479), (105.5469 10.2489))",POINT (105.5459 10.2479),POINT (105.5469 10.2489),105.5459,10.2479,105.5469,10.2489
5631,transf_897_0,1262,1263,110000,220000,VN,"LINESTRING (105.7147 9.3159, 105.7157 9.3169)","MULTIPOINT ((105.7147 9.3159), (105.7157 9.3169))",POINT (105.7147 9.3159),POINT (105.7157 9.3169),105.7147,9.3159,105.7157,9.3169
5632,transf_898_0,1264,1265,110000,220000,VN,"LINESTRING (105.9497 9.5852, 105.9507 9.5862)","MULTIPOINT ((105.9497 9.5852), (105.9507 9.5862))",POINT (105.9497 9.5852),POINT (105.9507 9.5862),105.9497,9.5852,105.9507,9.5862
5633,transf_899_0,1266,1267,110000,220000,VN,"LINESTRING (109.0399 11.6922, 109.0409 11.6932)","MULTIPOINT ((109.0399 11.6922), (109.0409 11.6932))",POINT (109.0399 11.6922),POINT (109.0409 11.6932),109.0399,11.6922,109.0409,11.6932
5634,transf_900_0,1268,1269,110000,220000,VN,"LINESTRING (109.2032 13.086, 109.2042 13.087)","MULTIPOINT ((109.2032 13.086), (109.2042 13.087))",POINT (109.2032 13.086),POINT (109.2042 13.087),109.2032,13.086,109.2042,13.087
5635,transf_901_0,1270,1271,110000,220000,VN,"LINESTRING (109.1125 13.8092, 109.1135 13.8102)","MULTIPOINT ((109.1125 13.8092), (109.1135 13.8102))",POINT (109.1125 13.8092),POINT (109.1135 13.8102),109.1125,13.8092,109.1135,13.8102
5636,transf_903_0,1273,1274,110000,220000,VN,"LINESTRING (108.7333 15.3291, 108.7343 15.3301)","MULTIPOINT ((108.7333 15.3291), (108.7343 15.3301))",POINT (108.7333 15.3291),POINT (108.7343 15.3301),108.7333,15.3291,108.7343,15.3301
5637,transf_903_1,1274,1275,220000,500000,VN,"LINESTRING (108.7343 15.3301, 108.7353 15.3311)","MULTIPOINT ((108.7343 15.3301), (108.7353 15.3311))",POINT (108.7343 15.3301),POINT (108.7353 15.3311),108.7343,15.3301,108.7353,15.3311
5638,transf_904_0,1276,1277,110000,220000,VN,"LINESTRING (105.3455 18.8652, 105.3465 18.8662)","MULTIPOINT ((105.3455 18.8652), (105.3465 18.8662))",POINT (105.3455 18.8652),POINT (105.3465 18.8662),105.3455,18.8652,105.3465,18.8662
5639,transf_905_0,1278,1279,110000,220000,VN,"LINESTRING (106.162 20.4398, 106.163 20.4408)","MULTIPOINT ((106.162 20.4398), (106.163 20.4408))",POINT (106.162 20.4398),POINT (106.163 20.4408),106.162,20.4398,106.163,20.4408
5640,transf_906_0,1280,1281,110000,220000,VN,"LINESTRING (105.9457 21.2507, 105.9467 21.2517)","MULTIPOINT ((105.9457 21.2507), (105.9467 21.2517))",POINT (105.9457 21.2507),POINT (105.9467 21.2517),105.9457,21.2507,105.9467,21.2517
5641,transf_906_1,1281,1282,220000,500000,VN,"LINESTRING (105.9467 21.2517, 105.9477 21.2527)","MULTIPOINT ((105.9467 21.2517), (105.9477 21.2527))",POINT (105.9467 21.2517),POINT (105.9477 21.2527),105.9467,21.2517,105.9477,21.2527
5642,transf_907_0,1283,1284,110000,220000,VN,"LINESTRING (105.6579 21.2863, 105.6589 21.2873)","MULTIPOINT ((105.6579 21.2863), (105.6589 21.2873))",POINT (105.6579 21.2863),POINT (105.6589 21.2873),105.6579,21.2863,105.6589,21.2873
5643,transf_908_0,1285,1286,110000,220000,VN,"LINESTRING (106.3058 21.1125, 106.3068 21.1135)","MULTIPOINT ((106.3058 21.1125), (106.3068 21.1135))",POINT (106.3058 21.1125),POINT (106.3068 21.1135),106.3058,21.1125,106.3068,21.1135
5644,transf_909_0,1287,1288,110000,220000,VN,"LINESTRING (106.5181 20.9982, 106.5191 20.9992)","MULTIPOINT ((106.5181 20.9982), (106.5191 20.9992))",POINT (106.5181 20.9982),POINT (106.5191 20.9992),106.5181,20.9982,106.5191,20.9992
5645,transf_910_0,1289,1290,110000,220000,VN,"LINESTRING (106.6312 21.0568, 106.6322 21.0578)","MULTIPOINT ((106.6312 21.0568), (106.6322 21.0578))",POINT (106.6312 21.0568),POINT (106.6322 21.0578),106.6312,21.0568,106.6322,21.0578
5646,transf_911_0,1291,1292,110000,220000,VN,"LINESTRING (106.7659 21.0414, 106.7669 21.0424)","MULTIPOINT ((106.7659 21.0414), (106.7669 21.0424))",POINT (106.7659 21.0414),POINT (106.7669 21.0424),106.7659,21.0414,106.7669,21.0424
5647,transf_912_0,1293,1294,110000,220000,VN,"LINESTRING (105.3266 20.8178, 105.3276 20.8188)","MULTIPOINT ((105.3266 20.8178), (105.3276 20.8188))",POINT (105.3266 20.8178),POINT (105.3276 20.8188),105.3266,20.8178,105.3276,20.8188
5648,transf_912_1,1294,1295,220000,500000,VN,"LINESTRING (105.3276 20.8188, 105.3286 20.8198)","MULTIPOINT ((105.3276 20.8188), (105.3286 20.8198))",POINT (105.3276 20.8188),POINT (105.3286 20.8198),105.3276,20.8188,105.3286,20.8198
5649,transf_913_0,1296,1297,110000,220000,VN,"LINESTRING (105.466 21.1316, 105.467 21.1326)","MULTIPOINT ((105.466 21.1316), (105.467 21.1326))",POINT (105.466 21.1316),POINT (105.467 21.1326),105.466,21.1316,105.467,21.1326
5650,transf_914_0,1298,1299,110000,220000,VN,"LINESTRING (105.8101 21.0576, 105.8111 21.0586)","MULTIPOINT ((105.8101 21.0576), (105.8111 21.0586))",POINT (105.8101 21.0576),POINT (105.8111 21.0586),105.8101,21.0576,105.8111,21.0586
5651,transf_914_1,1299,1300,220000,500000,VN,"LINESTRING (105.8111 21.0586, 105.8121 21.0596)","MULTIPOINT ((105.8111 21.0586), (105.8121 21.0596))",POINT (105.8111 21.0586),POINT (105.8121 21.0596),105.8111,21.0586,105.8121,21.0596
5652,transf_915_0,1301,1302,110000,220000,VN,"LINESTRING (106.7437 20.9372, 106.7447 20.9382)","MULTIPOINT ((106.7437 20.9372), (106.7447 20.9382))",POINT (106.7437 20.9372),POINT (106.7447 20.9382),106.7437,20.9372,106.7447,20.9382
5653,transf_916_0,1303,1304,110000,220000,VN,"LINESTRING (106.3051 18.0088, 106.3061 18.0098)","MULTIPOINT ((106.3051 18.0088), (106.3061 18.0098))",POINT (106.3051 18.0088),POINT (106.3061 18.0098),106.3051,18.0088,106.3061,18.0098
5654,transf_916_1,1304,1305,220000,500000,VN,"LINESTRING (106.3061 18.0098, 106.3071 18.0108)","MULTIPOINT ((106.3061 18.0098), (106.3071 18.0108))",POINT (106.3061 18.0098),POINT (106.3071 18.0108),106.3061,18.0098,106.3071,18.0108
5655,transf_920_0,1309,1310,110000,220000,VN,"LINESTRING (103.9832 21.4724, 103.9842 21.4734)","MULTIPOINT ((103.9832 21.4724), (103.9842 21.4734))",POINT (103.9832 21.4724),POINT (103.9842 21.4734),103.9832,21.4724,103.9842,21.4734
5656,transf_920_1,1310,1311,220000,500000,VN,"LINESTRING (103.9842 21.4734, 103.9852 21.4744)","MULTIPOINT ((103.9842 21.4734), (103.9852 21.4744))",POINT (103.9842 21.4734),POINT (103.9852 21.4744),103.9842,21.4734,103.9852,21.4744
5657,transf_921_0,1312,1313,110000,220000,VN,"LINESTRING (107.3541 21.0085, 107.3551 21.0095)","MULTIPOINT ((107.3541 21.0085), (107.3551 21.0095))",POINT (107.3541 21.0085),POINT (107.3551 21.0095),107.3541,21.0085,107.3551,21.0095
5658,transf_923_0,1315,1316,110000,220000,VN,"LINESTRING (105.9289 21.0821, 105.9299 21.0831)","MULTIPOINT ((105.9289 21.0821), (105.9299 21.0831))",POINT (105.9289 21.0821),POINT (105.9299 21.0831),105.9289,21.0821,105.9299,21.0831
5659,transf_923_1,1316,1317,220000,500000,VN,"LINESTRING (105.9299 21.0831, 105.9309 21.0841)","MULTIPOINT ((105.9299 21.0831), (105.9309 21.0841))",POINT (105.9299 21.0831),POINT (105.9309 21.0841),105.9299,21.0831,105.9309,21.0841
5660,transf_924_0,1318,1319,66000,110000,VN,"LINESTRING (106.479 11.0283, 106.48 11.0293)","MULTIPOINT ((106.479 11.0283), (106.48 11.0293))",POINT (106.479 11.0283),POINT (106.48 11.0293),106.479,11.0283,106.48,11.0293
5661,transf_924_1,1319,1320,110000,220000,VN,"LINESTRING (106.48 11.0293, 106.481 11.0303)","MULTIPOINT ((106.48 11.0293), (106.481 11.0303))",POINT (106.48 11.0293),POINT (106.481 11.0303),106.48,11.0293,106.481,11.0303
5662,transf_925_0,1321,1322,110000,220000,VN,"LINESTRING (106.5596 20.4881, 106.5606 20.4891)","MULTIPOINT ((106.5596 20.4881), (106.5606 20.4891))",POINT (106.5596 20.4881),POINT (106.5606 20.4891),106.5596,20.4881,106.5606,20.4891
5663,transf_926_0,1323,1324,110000,220000,VN,"LINESTRING (106.2994 20.2544, 106.3004 20.2554)","MULTIPOINT ((106.2994 20.2544), (106.3004 20.2554))",POINT (106.2994 20.2544),POINT (106.3004 20.2554),106.2994,20.2544,106.3004,20.2554
5664,transf_927_0,1325,1326,110000,220000,VN,"LINESTRING (105.6814 10.4408, 105.6824 10.4418)","MULTIPOINT ((105.6814 10.4408), (105.6824 10.4418))",POINT (105.6814 10.4408),POINT (105.6824 10.4418),105.6814,10.4408,105.6824,10.4418
5665,transf_928_0,1327,1328,110000,220000,VN,"LINESTRING (106.1869 11.497, 106.1879 11.498)","MULTIPOINT ((106.1869 11.497), (106.1879 11.498))",POINT (106.1869 11.497),POINT (106.1879 11.498),106.1869,11.497,106.1879,11.498
5666,transf_929_0,1329,1330,110000,220000,VN,"LINESTRING (108.7982 11.6725, 108.7992 11.6735)","MULTIPOINT ((108.7982 11.6725), (108.7992 11.6735))",POINT (108.7982 11.6725),POINT (108.7992 11.6735),108.7982,11.6725,108.7992,11.6735
5667,transf_930_0,1331,1332,220000,500000,VN,"LINESTRING (106.5011 9.6046, 106.5021 9.6056)","MULTIPOINT ((106.5011 9.6046), (106.5021 9.6056))",POINT (106.5011 9.6046),POINT (106.5021 9.6056),106.5011,9.6046,106.5021,9.6056
5668,transf_933_0,1335,1336,110000,220000,VN,"LINESTRING (105.6461 18.6905, 105.6471 18.6915)","MULTIPOINT ((105.6461 18.6905), (105.6471 18.6915))",POINT (105.6461 18.6905),POINT (105.6471 18.6915),105.6461,18.6905,105.6471,18.6915
5669,transf_934_0,1337,1338,110000,220000,VN,"LINESTRING (106.4726 17.9515, 106.4736 17.9525)","MULTIPOINT ((106.4726 17.9515), (106.4736 17.9525))",POINT (106.4726 17.9515),POINT (106.4736 17.9525),106.4726,17.9515,106.4736,17.9525
5670,transf_934_1,1338,1339,220000,500000,VN,"LINESTRING (106.4736 17.9525, 106.4746 17.9535)","MULTIPOINT ((106.4736 17.9525), (106.4746 17.9535))",POINT (106.4736 17.9525),POINT (106.4746 17.9535),106.4736,17.9525,106.4746,17.9535
5671,transf_936_0,1341,1342,110000,220000,VN,"LINESTRING (104.6672 10.2831, 104.6682 10.2841)","MULTIPOINT ((104.6672 10.2831), (104.6682 10.2841))",POINT (104.6672 10.2831),POINT (104.6682 10.2841),104.6672,10.2831,104.6682,10.2841
5672,transf_939_0,1345,1346,110000,220000,VN,"LINESTRING (105.759 21.1912, 105.76 21.1922)","MULTIPOINT ((105.759 21.1912), (105.76 21.1922))",POINT (105.759 21.1912),POINT (105.76 21.1922),105.759,21.1912,105.76,21.1922
5673,transf_940_0,1347,1348,110000,220000,VN,"LINESTRING (106.0569 20.7834, 106.0579 20.7844)","MULTIPOINT ((106.0569 20.7834), (106.0579 20.7844))",POINT (106.0569 20.7834),POINT (106.0579 20.7844),106.0569,20.7834,106.0579,20.7844
5674,transf_941_0,1349,1350,110000,220000,VN,"LINESTRING (105.3463 21.3871, 105.3473 21.3881)","MULTIPOINT ((105.3463 21.3871), (105.3473 21.3881))",POINT (105.3463 21.3871),POINT (105.3473 21.3881),105.3463,21.3871,105.3473,21.3881
5675,transf_941_1,1350,1351,220000,500000,VN,"LINESTRING (105.3473 21.3881, 105.3483 21.3891)","MULTIPOINT ((105.3473 21.3881), (105.3483 21.3891))",POINT (105.3473 21.3881),POINT (105.3483 21.3891),105.3473,21.3881,105.3483,21.3891
5676,transf_943_0,1353,1354,110000,220000,VN,"LINESTRING (105.1835 21.5257, 105.1845 21.5267)","MULTIPOINT ((105.1835 21.5257), (105.1845 21.5267))",POINT (105.1835 21.5257),POINT (105.1845 21.5267),105.1835,21.5257,105.1845,21.5267
5677,transf_945_0,1356,1357,110000,220000,VN,"LINESTRING (105.6394 20.9718, 105.6404 20.9728)","MULTIPOINT ((105.6394 20.9718), (105.6404 20.9728))",POINT (105.6394 20.9718),POINT (105.6404 20.9728),105.6394,20.9718,105.6404,20.9728
5678,transf_945_1,1357,1358,220000,500000,VN,"LINESTRING (105.6404 20.9728, 105.6414 20.9738)","MULTIPOINT ((105.6404 20.9728), (105.6414 20.9738))",POINT (105.6404 20.9728),POINT (105.6414 20.9738),105.6404,20.9728,105.6414,20.9738
5679,transf_948_0,1361,1362,110000,220000,VN,"LINESTRING (105.6528 19.2986, 105.6538 19.2996)","MULTIPOINT ((105.6528 19.2986), (105.6538 19.2996))",POINT (105.6528 19.2986),POINT (105.6538 19.2996),105.6528,19.2986,105.6538,19.2996
5680,transf_948_1,1362,1363,220000,500000,VN,"LINESTRING (105.6538 19.2996, 105.6548 19.3006)","MULTIPOINT ((105.6538 19.2996), (105.6548 19.3006))",POINT (105.6538 19.2996),POINT (105.6548 19.3006),105.6538,19.2996,105.6548,19.3006
