,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
2348,2348,1655,150000,False,substation,False,transmission,0.0,121.2386,-2.156,ID,POINT (121.2386 -2.156),True
2349,2349,1656,150000,False,substation,False,transmission,0.0,120.9352,-1.9449,ID,POINT (120.9352 -1.9449),True
2350,2350,1657,150000,False,substation,False,transmission,0.0,116.8864,3.561,ID,POINT (116.8864 3.561),True
2351,2351,1658,150000,False,substation,False,transmission,0.0,117.28,2.8937,ID,POINT (117.28 2.8937),True
2352,2352,1659,150000,False,substation,False,transmission,0.0,117.219,2.9684,ID,POINT (117.219 2.9684),True
2353,2353,1660,150000,False,substation,False,transmission,0.0,116.9986,3.4788,ID,POINT (116.9986 3.4788),True
2354,2354,1661,150000,False,substation,False,transmission,0.0,116.9283,3.5283,ID,POINT (116.9283 3.5283),True
2355,2355,1662,150000,False,substation,False,transmission,0.0,117.6404,2.0142,ID,POINT (117.6404 2.0142),True
2356,2356,1663,150000,False,substation,False,transmission,0.0,117.7371,1.9643,ID,POINT (117.7371 1.9643),True
2357,2357,1664,150000,False,substation,False,transmission,0.0,117.9346,1.7191,ID,POINT (117.9346 1.7191),True
2358,2358,1665,150000,False,substation,False,transmission,0.0,117.7958,1.8825,ID,POINT (117.7958 1.8825),True
2359,2359,1666,150000,False,substation,False,transmission,0.0,117.1774,3.168,ID,POINT (117.1774 3.168),True
2360,2360,1667,150000,False,substation,False,transmission,0.0,103.0926,-1.1574,ID,POINT (103.0926 -1.1574),True
2361,2361,1668,150000,False,substation,False,transmission,0.0,116.8114,-8.9838,ID,POINT (116.8114 -8.9838),True
2362,2362,1669,150000,False,substation,False,transmission,0.0,116.7413,-8.904,ID,POINT (116.7413 -8.904),True
2363,2363,1670,150000,False,substation,False,transmission,0.0,115.4977,-8.2045,ID,POINT (115.4977 -8.2045),True
2364,2364,1671,150000,False,substation,False,transmission,0.0,121.6163,-4.1845,ID,POINT (121.6163 -4.1845),True
2365,2365,1672,150000,False,substation,False,transmission,0.0,106.3953,-6.325,ID,POINT (106.3953 -6.325),True
2366,2366,1673,150000,False,substation,False,transmission,0.0,117.2822,-0.6438,ID,POINT (117.2822 -0.6438),True
2367,2367,1674,150000,False,substation,False,transmission,0.0,117.8098,0.7969,ID,POINT (117.8098 0.7969),True
2368,2368,1675,150000,False,substation,False,transmission,0.0,116.0701,-2.6965,ID,POINT (116.0701 -2.6965),True
2369,2369,1676,150000,False,substation,False,transmission,0.0,116.7217,-0.9946,ID,POINT (116.7217 -0.9946),True
2370,2370,1677,220000,False,substation,False,transmission,0.0,107.466,13.93,KH,POINT (107.466 13.93),True
2371,2371,1678,115000,False,substation,False,transmission,0.0,103.1116,11.9551,KH,POINT (103.1116 11.9551),True
2372,2372,1679,230000,False,substation,False,transmission,0.0,104.1214,10.6884,KH,POINT (104.1214 10.6884),True
2373,2373,1680,230000,False,substation,False,transmission,0.0,103.0917,11.8166,KH,POINT (103.0917 11.8166),True
2374,2374,1681,115000,False,substation,False,transmission,0.0,104.21,11.2773,KH,POINT (104.21 11.2773),True
