,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.location,tags.generator:solar:tracking,other_tags,geometry,Country
18725,11096443244,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.48594579999995 15.138536499999947),TH
18726,11096443245,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.48473459999995 15.136069099999947),TH
18727,11096443246,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.47684739999995 15.135054199999947),TH
18728,11096443247,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.47649409999995 15.132872299999947),TH
18729,11096443248,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.47751779999996 15.130978899999947),TH
18730,11096443249,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.47949269999995 15.128831899999946),TH
18731,11096443250,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.48114359999995 15.127035399999947),TH
18732,11096443251,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.484397 15.130568899999947),TH
18733,11096443252,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.48633269999996 15.128868299999947),TH
18734,11096443253,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Gamesa"", ""tags.manufacturer:type"": ""G114-2.0"", ""tags.rotor:diameter"": ""114"", ""tags.height:hub"": ""125"" }",POINT (101.48600489999997 15.126614099999948),TH
