country,number cars,average fuel efficiency
AL,1302499.987085448,0.7961097757021997
AT,4513000.0,0.7539379043953159
BA,1742819.720016512,0.7961097757021997
BE,5407000.0,0.6478651818211225
BG,2923657.0,0.7890387850264401
CH,4136000.0,0.7961097757021997
CZ,4582000.0,0.7387535192740904
DE,42928000.0,0.7552996085254098
DK,2199500.0,0.7266414210641985
EE,574000.0,0.856345365809167
ES,22277000.0,0.7464642087952883
FI,2978729.0,0.6582251063846402
FR,31550000.0,0.6434376755673564
GB,28467000.0,0.7552259913160309
GR,5180433.0,0.7646126413238824
HR,1518000.0,0.6959412326573443
HU,2967810.0,0.8040965122403337
IE,1962460.0,0.745011534970623
IT,37743940.0,0.6644897478298634
LT,1204958.0,0.7137245330854497
LU,345600.0,2.0274831849452393
LV,612320.0,0.8626918224934985
ME,292646.0392691121,0.7961097757021997
MK,928813.5061725819,0.7961097757021997
NL,7735547.0,0.6962154496300998
NO,2286691.128381262,0.7961097757021997
PL,18125000.0,0.7989571517921507
PT,4712200.0,0.665774889926279
RO,4335000.0,0.8115701112415002
RS,3246119.912508151,0.7961097757021997
SE,4400550.0,0.8724941426526628
SI,1117500.0,0.8197574851599163
SK,1749300.0,0.6847989603292881
MA,22277000.0,0.7464642087952883
