name,total,urban,rural,ct,fraction
2136,252.30667974722135,0.0,250.98758661935676,21,0.013800774830637874
2138,500.35493031384,427.4655469873078,88.86734076155388,21,0.027368620345600888
2139,376.1697145851283,59.191466394104424,327.608592467209,21,0.020575886196496328
2140,344.74758945630083,41.63056972987872,307.74366000592374,21,0.018857145836401475
2141,226.63068593099368,3.2491088760384708,238.15290375329695,21,0.01239633873102442
2143,111.18822419111335,117.93247534978178,5.160347995882186,21,0.0060818193454782584
2144,301.1249587897267,118.34765428095253,214.353332093405,21,0.016471057192404333
2146,425.393589685723,468.4708436938282,0.0,21,0.023268354018732933
2148,40.46107360558814,0.0,27.423639350746186,21,0.002213156491917003
2149,308.0528905279944,163.88296527671778,145.95817821345878,21,0.016850004059992825
2152,509.39985166828814,528.740038555845,32.25516649360542,21,0.027863363184350252
2153,295.7737989443394,316.4158816334208,9.30929263719141,21,0.016178357244139272
2155,97.6887184683691,12.641496842370346,94.93961737718337,21,0.005343417813694982
2157,392.53415135654086,359.88273660537436,40.831403064957776,21,0.021470994908397018
2159,444.32304445330624,278.93960866151076,176.27130044282663,21,0.02430376514290884
2161,548.899736660575,279.62944205613144,279.1283640308916,21,0.030023944185062528
2163,185.05115602221943,0.0,193.40322378124102,21,0.010122004454937597
2164,38.9735060153743,0.0,39.304555372822264,21,0.002131788906332413
2167,315.94896554077616,138.31898995060817,128.58392566258107,21,0.017281906827713453
2170,685.9363819566106,235.37372758153336,520.024023484587,21,0.03751963112910748
2172,539.4114890473877,520.5957980388309,29.569872280695606,21,0.029504952103766365
2173,129.95347390293608,103.40542556030468,12.066442556282004,21,0.007108248713789146
2175,835.7093347553849,903.6483451939743,11.63257753529651,21,0.04571197387392299
2177,339.597812684118,330.8656795750315,4.309146141075485,21,0.01857546122253335
2179,473.57501335294415,174.79757041252518,317.7042435920985,21,0.025903801402516313
2181,306.2632796468108,73.53219672313213,263.7546923946105,21,0.01675211518590349
2183,126.52296822482272,104.33072145438257,26.03815454028764,21,0.00692060549932372
2184,99.46351924543323,107.09702518252837,2.4386140641513303,21,0.005440496598600885
2186,217.37716669557284,200.52651472959104,22.4374279233477,21,0.011890185919347122
2187,296.914782458351,103.31992218680054,223.66145385183756,21,0.016240767230977986
2188,934.4260249570344,1002.2969701723534,14.226060418945337,21,0.05111162010946347
2189,715.3808704370965,785.1094160104121,1.4149075246494927,21,0.03913019790415131
2190,198.63847435808566,110.76308178255431,72.0225677903938,21,0.010865209197251013
2192,561.9836663974588,537.7092983832523,81.6227444648393,21,0.0307396143701703
2193,163.47155312458855,154.03612410952465,8.67297766968925,21,0.008941634435312446
2195,136.1230998080961,39.4669986569892,101.58014307135277,21,0.007445717456161281
2198,201.2433769834277,0.0,202.17590186501945,21,0.011007693235422732
2200,613.055890844624,348.5774852507582,283.8036060891432,22,0.04887961960793693
2205,415.3751816972696,160.22869568808596,233.89643722912098,22,0.03311831951890667
2210,261.05643244058706,155.3248833508599,106.93781484381401,22,0.020814316124294494
2212,340.1822892303398,373.9387636487178,0.0,22,0.027123107604475283
2213,334.45086043822096,210.41465237396795,157.93343183966522,22,0.026666134491007968
2214,240.68553665274177,229.22947766082592,7.875955422071217,22,0.019190122226066114
2215,269.2072089338956,0.0,276.972068935564,22,0.021464186487587696
2217,359.650258738553,212.91472277514288,181.33207100757866,22,0.028675310198580283
2218,500.95482252776594,32.0302403888605,495.25556519790086,22,0.039941678290021904
2221,482.58191934988525,284.698656535002,222.1993191460305,22,0.03847678653734503
2222,287.7733411450989,275.97615211550095,16.376496800842595,22,0.022944484603350013
2223,344.28129823274895,248.1925436614498,67.87005690088186,22,0.0274499260949252
2224,85.62241113389759,72.16224986134303,14.938116698364798,22,0.006826768894387826
2226,120.28608181092551,88.17646492795896,34.18591285393498,22,0.009590541434887476
2227,53.41274149466757,3.233060719738534,51.101654940968274,22,0.004258656552307908
2228,25.358975778327892,0.0,25.796705052103643,22,0.002021898995185919
2229,89.23743164516908,0.002564280661793835,91.55195095478769,22,0.007114998450786665
2231,20.062401365696207,15.188482599181402,5.220222199933003,22,0.0015995972990748475
2233,89.98917075000554,78.44861746125966,12.2997286542663,22,0.007174935435387193
2237,41.442999996967416,42.05518054556326,0.0,22,0.0033042959141500313
2238,17.669532985504905,2.026644804869222,15.947887558738003,22,0.0014088112745992182
2240,88.77968610896296,86.9609775095075,3.351162743748125,22,0.007078501896359693
2241,137.88647211394306,137.90736868132197,0.18750346270656176,22,0.010993839887459982
2242,47.32805295308512,15.57876290515482,11.95603707001174,22,0.0037735176509663634
2246,57.741018938156515,28.02131754067987,18.464606684533706,22,0.004603754867412384
2247,66.45013996379001,0.0,40.88539295396913,22,0.005298142653599308
2251,235.53852230547514,217.9158786967348,14.90237205660958,22,0.018779745118255645
