name,total,urban,rural,ct,fraction
MA 0,9250.0,4625.0,4625.0,MA,0.25
MA 1,9250.0,4625.0,4625.0,MA,0.25
MA 2,9250.0,4625.0,4625.0,MA,0.25
MA 3,9250.0,4625.0,4625.0,MA,0.25
