name,total residential space,electricity residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,electricity residential,derived heat residential,thermal uses residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,derived heat services,thermal uses services,total agriculture electricity,total agriculture heat,total agriculture machinery,total agriculture,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,district heat share,total international navigation
MA 0,20.0930777266665,3.454755860047199,9.889394122715954,2.160381075368463,4.940191349373816,2.292295317761809,46.68364348763875,20.046215196434815,0.0,35.36674667921109,11.09676797975346,2.596006121960398,3.4474166188197706,1.8479852810402333,4.4500448348486135,3.3595531967149377,31.417848283676015,20.324565204340377,0.0,21.334767772570302,0.8550318271711511,3.835619423672058,2.2905976029650685,6.981248853808277,82.99664037182603,0.000423423968798075,1.3936267041972867,48.623214482920524,0.000423423968798075,2.9019982979578445,0.0,5.741966254888838,0.0,24.335834631861555,2.648123998150036,1.1287479770272948,1.851524692036667,1.0001349523982355,0.7965993061133692,0.12861302462905944,16.45953813976855,0.2690729631281914,6.133888885882636,10.325649253885915,0.10025693641235638,0.16881602671583498,6.234145822294992,10.49446528060175,2.404376105822471,0.0,24.79798611111111
MA 1,20.0930777266665,3.454755860047199,9.889394122715954,2.160381075368463,4.940191349373816,2.292295317761809,46.68364348763875,20.046215196434815,0.0,35.36674667921109,11.09676797975346,2.596006121960398,3.4474166188197706,1.8479852810402333,4.4500448348486135,3.3595531967149377,31.417848283676015,20.324565204340377,0.0,21.334767772570302,0.8550318271711511,3.835619423672058,2.2905976029650685,6.981248853808277,82.99664037182603,0.000423423968798075,1.3936267041972867,48.623214482920524,0.000423423968798075,2.9019982979578445,0.0,5.741966254888838,0.0,24.335834631861555,2.648123998150036,1.1287479770272948,1.851524692036667,1.0001349523982355,0.7965993061133692,0.12861302462905944,16.45953813976855,0.2690729631281914,6.133888885882636,10.325649253885915,0.10025693641235638,0.16881602671583498,6.234145822294992,10.49446528060175,2.404376105822471,0.0,24.79798611111111
MA 2,20.0930777266665,3.454755860047199,9.889394122715954,2.160381075368463,4.940191349373816,2.292295317761809,46.68364348763875,20.046215196434815,0.0,35.36674667921109,11.09676797975346,2.596006121960398,3.4474166188197706,1.8479852810402333,4.4500448348486135,3.3595531967149377,31.417848283676015,20.324565204340377,0.0,21.334767772570302,0.8550318271711511,3.835619423672058,2.2905976029650685,6.981248853808277,82.99664037182603,0.000423423968798075,1.3936267041972867,48.623214482920524,0.000423423968798075,2.9019982979578445,0.0,5.741966254888838,0.0,24.335834631861555,2.648123998150036,1.1287479770272948,1.851524692036667,1.0001349523982355,0.7965993061133692,0.12861302462905944,16.45953813976855,0.2690729631281914,6.133888885882636,10.325649253885915,0.10025693641235638,0.16881602671583498,6.234145822294992,10.49446528060175,2.404376105822471,0.0,24.79798611111111
MA 3,20.0930777266665,3.454755860047199,9.889394122715954,2.160381075368463,4.940191349373816,2.292295317761809,46.68364348763875,20.046215196434815,0.0,35.36674667921109,11.09676797975346,2.596006121960398,3.4474166188197706,1.8479852810402333,4.4500448348486135,3.3595531967149377,31.417848283676015,20.324565204340377,0.0,21.334767772570302,0.8550318271711511,3.835619423672058,2.2905976029650685,6.981248853808277,82.99664037182603,0.000423423968798075,1.3936267041972867,48.623214482920524,0.000423423968798075,2.9019982979578445,0.0,5.741966254888838,0.0,24.335834631861555,2.648123998150036,1.1287479770272948,1.851524692036667,1.0001349523982355,0.7965993061133692,0.12861302462905944,16.45953813976855,0.2690729631281914,6.133888885882636,10.325649253885915,0.10025693641235638,0.16881602671583498,6.234145822294992,10.49446528060175,2.404376105822471,0.0,24.79798611111111
