snapshot,MA 0,MA 1,MA 2,MA 3
2013-01-01 00:00:00,266.8204438703768,555.4706975442356,740.1385753664835,205.4623611427063
2013-01-01 01:00:00,214.15021302605692,445.5799309162515,595.2664398293357,164.66185078876646
2013-01-01 02:00:00,205.50422563170582,426.1857286747593,571.244334352136,157.42999557482418
2013-01-01 03:00:00,240.06871729185815,500.3852437886254,671.1409978106725,184.34851136974774
2013-01-01 04:00:00,389.0854388467917,809.3850859344896,1088.6021754030082,297.8709441575748
2013-01-01 05:00:00,965.9792171969576,2011.3399209655033,2705.545929071644,740.8189587097423
2013-01-01 06:00:00,1935.699105890486,4027.0228614205616,5419.389113098003,1481.8913834536645
2013-01-01 07:00:00,2559.1210343539983,5341.401184272591,7171.744054909037,1967.4400694483616
2013-01-01 08:00:00,2329.783687161023,4873.771006479275,6544.099076950795,1791.5647688908732
2013-01-01 09:00:00,2004.1249123810703,4218.046759786355,5632.04208082076,1551.7578989144383
2013-01-01 10:00:00,1781.651865010767,3795.7035169959227,5012.909798198943,1398.4576684318233
2013-01-01 11:00:00,1745.413342968442,3761.426243697135,4939.133050895501,1387.3248377518846
2013-01-01 12:00:00,1800.3881498843743,3890.4028816893147,5093.937096553231,1435.397614897477
2013-01-01 13:00:00,1911.8514689512667,4137.390849231599,5401.8283540268085,1527.9272831119072
2013-01-01 14:00:00,2030.454177449331,4364.805019881242,5668.95504171276,1616.8865954427567
2013-01-01 15:00:00,2236.0333623564784,4814.855671157811,6262.277950589284,1784.9314715651874
2013-01-01 16:00:00,2509.330685110396,5412.670657027413,7042.331217204064,2007.1137211990774
2013-01-01 17:00:00,2429.9603338940483,5284.972330676728,6886.307221695859,1960.3934808180413
2013-01-01 18:00:00,2043.3231175607182,4426.033094843918,5808.914841492418,1637.5214939449963
2013-01-01 19:00:00,1450.0660363166826,3121.004034718255,4099.326268824695,1155.1823662187876
2013-01-01 20:00:00,1026.1542280959868,2183.719889923547,2887.841401274813,807.2994545397645
2013-01-01 21:00:00,773.445458587049,1651.7905579951646,2182.033816707845,611.4682242847567
2013-01-01 22:00:00,627.5932655250099,1328.9507238552749,1764.7009738714864,491.214894377412
2013-01-01 23:00:00,412.70312734084007,872.3702102891186,1160.1234967612324,322.28190035527507
2013-01-02 00:00:00,272.1706941336341,577.7118674603312,767.6519969319482,213.23158470147925
2013-01-02 01:00:00,210.85153444315733,447.18024981179553,594.75405845249,164.82833117832885
2013-01-02 02:00:00,198.72588700002805,420.5709104095872,560.5587448758771,154.67195362675773
2013-01-02 03:00:00,230.94880827207507,487.4898536319409,652.3377025952972,178.75684485751688
2013-01-02 04:00:00,372.4713810734653,783.5132168722007,1050.758277922816,286.92416718135365
2013-01-02 05:00:00,934.4778286577769,1965.25081082077,2633.5025648374417,719.3296484322603
2013-01-02 06:00:00,1891.3833280701917,3973.774245371598,5328.427088439212,1453.8383136108139
2013-01-02 07:00:00,2527.0855957276876,5303.006679455568,7107.658505347255,1939.7457224695004
2013-01-02 08:00:00,2332.7695208892997,4881.908121993677,6546.701264065758,1785.4567047093487
2013-01-02 09:00:00,2022.3993392129748,4261.116185836421,5681.066297424325,1560.988908746445
2013-01-02 10:00:00,1800.6965129173986,3865.595431313978,5074.559970798582,1423.5885866463095
2013-01-02 11:00:00,1792.7551346376185,3861.9978083019314,5053.137786840471,1425.1921838130959
2013-01-02 12:00:00,1866.83848033229,4021.246305787128,5254.784622345103,1486.5935705482661
2013-01-02 13:00:00,2002.5174021143926,4298.164085495548,5606.416277015001,1591.0559386830394
2013-01-02 14:00:00,2122.2027204591523,4522.697132717533,5883.5846698202,1676.9430283562963
2013-01-02 15:00:00,2315.453556976227,4931.670600818384,6419.352364489724,1827.7157388709097
2013-01-02 16:00:00,2575.152603246115,5494.716309191936,7139.3407579971345,2038.9127778258423
2013-01-02 17:00:00,2498.9009113606344,5417.3086908169225,7037.132925316961,2012.1665485531823
2013-01-02 18:00:00,2099.973945348561,4583.144385454478,5980.347696274765,1698.249896417468
2013-01-02 19:00:00,1521.5289766210312,3320.342855320607,4335.062382984397,1230.2863134257507
2013-01-02 20:00:00,1096.8779245444691,2366.563182404582,3110.886239063453,875.1206628665105
2013-01-02 21:00:00,839.7939354711987,1807.244647971264,2377.4858551979833,668.7047914732943
2013-01-02 22:00:00,681.9159880088893,1463.8913043357845,1927.629791544048,541.3301810528013
2013-01-02 23:00:00,456.09029877868596,977.9273708970653,1289.0241764985456,361.40706626826807
2013-01-03 00:00:00,298.49621079830143,638.8099396271946,843.3064517794434,235.68110310985395
2013-01-03 01:00:00,225.78010989696304,483.8661294838464,637.8911252072095,178.45080867486647
2013-01-03 02:00:00,206.74312982675798,443.57661657159025,584.6976041279463,163.45771287900217
2013-01-03 03:00:00,235.02553688288305,505.0673718806324,666.4496443396754,185.67939407484886
2013-01-03 04:00:00,371.5340299319274,797.3506365008773,1053.3538766468173,292.84577053326757
2013-01-03 05:00:00,911.6975200883775,1955.8768356655705,2583.0525909690273,718.1398808172233
2013-01-03 06:00:00,1837.3312238981018,3924.7803562412846,5199.335911943249,1439.2421109354743
2013-01-03 07:00:00,2462.98819525654,5267.4612326801835,6969.862407064281,1932.6410187630802
2013-01-03 08:00:00,2289.371724832237,4880.572009836029,6460.039119876961,1793.518363931173
2013-01-03 09:00:00,2014.1880384182123,4321.989101566969,5688.632263148558,1593.8646061765057
2013-01-03 10:00:00,1830.0214013668267,3973.7624265739705,5180.6998450262,1470.959491224548
2013-01-03 11:00:00,1842.1892616205364,4003.3313247537467,5217.295910856254,1484.5425292671462
