,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
144,Mpatamanga,Hydro,Reservoir,PP,MW,309,,,0,0,0,2036,2036,2136,-15.71,34.71,,,
145,Tedzani Falls 4,Hydro,,PP,MW,38.55,,,0,0,0,2049,2049,2149,-15.5598,34.7765,,,
146,Massingir,Hydro,Reservoir,PP,MZ,1000,,,0,0,0,2022,2022,2122,-23.86,32.13,,,
147,Mphanda Nkuwa,Hydro,Run-Of-River,PP,MZ,1500,,,0,0,0,2037,2037,2137,-15.98,33.43,,,
148,Moamba Major,Hydro,,PP,MZ,30,,,0,0,0,2029,2029,2129,-25.51,32.26,,,
149,Lurio,Hydro,,PP,MZ,120,,,0,0,0,2050,2050,2150,-13.478,40.2166,,,
150,HCB North Bank Peaking,Hydro,,PP,MZ,1245,,,0,0,0,2036,2036,2136,-15.5859,32.7047,,,
151,Tsate,Hydro,,PP,MZ,50,,,0,0,0,2038,2038,2138,-19.1557,33.145,,,
152,Baynes (Namibia),Hydro,Reservoir,PP,NA,300,,,0,0,0,2025,2025,2125,-17.188,12.6505,,,
153,Kruisvallei Hydro,Hydro,Run-Of-River,PP,ZA,42,,,0,0,0,2021,2021,2121,-28.4,28.35,,,
154,Stortemelk Hydro,Hydro,Run-Of-River,PP,ZA,42,,,0,0,0,2016,2016,2116,-28.41,28.38,,,
155,EA Power,Hydro,,PP,TZ,10,,,0,0,0,2000,2000,2100,-5.15583,38.4503,,,
156,Mapembasi,Hydro,Run-Of-River,PP,TZ,10,,,0,0,0,2021,2021,2121,-9.33,35.13,,,
157,Mwenga,Hydro,Reservoir,PP,TZ,4,,,0,0,0,2012,2012,2112,-8.61,35.68,,,
158,Kakono,Hydro,Run-Of-River,PP,TZ,87,,,0,0,0,2037,2037,2137,-1.05,30.91,,,
159,Kikonge,Hydro,Reservoir,PP,TZ,300,,,0,0,0,2033,2033,2133,-10.5,34.71,,,
160,Malagaresi,Hydro,Run-Of-River,PP,TZ,45,,,0,0,0,2048,2048,2148,-5.16,30.05,,,
161,Ruhudji,Hydro,Reservoir,PP,TZ,360,,,0,0,0,2047,2047,2147,-9.51,35.36,,,
162,Rumakali,Hydro,Reservoir,PP,TZ,520,,,0,0,0,2031,2031,2131,-9.16,34.11,,,
163,Songwe Bipungu,Hydro,Reservoir,PP,TZ,45,,,0,0,0,2047,2047,2147,-9.45,33.083,,,
164,Songwe Manolo,Hydro,Reservoir,PP,TZ,88.1,,,0,0,0,2047,2047,2147,-9.45,33.083,,,
165,Songwe Sofre,Hydro,Reservoir,PP,TZ,79.5,,,0,0,0,2047,2047,2147,-9.45,33.083,,,
166,Lusiwasi Upper,Hydro,Run-Of-River,PP,ZM,15,,,0,0,0,2021,2021,2121,-12.9884,30.8649,,,
167,Lusiwasi Extension,Hydro,Run-Of-River,PP,ZM,84,,,0,0,0,2048,2048,2148,-12.9884,30.8649,,,
168,Lusiwasi Lower,Hydro,Run-Of-River,PP,ZM,86,,,0,0,0,2047,2047,2147,-12.9884,30.8649,,,
169,Chishimba Falls,Hydro,Reservoir,PP,ZM,24,,,0,0,0,2020,2020,2120,-10.11,30.9,,,
