"Installed electricity capacity by country/area (MW) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Installed electricity capacity by country/area (MW)
"Algeria","Natural gas","On-grid","2020",23718.600
"Algeria","Natural gas","Off-grid","2020",..
"Algeria","Fossil fuels n.e.s.","On-grid","2020",..
"Algeria","Fossil fuels n.e.s.","Off-grid","2020",..
"Algeria","Nuclear","On-grid","2020",..
"Algeria","Nuclear","Off-grid","2020",..
"Algeria","Other non-renewable energy","On-grid","2020",..
"Algeria","Other non-renewable energy","Off-grid","2020",..
"American Samoa","Solar photovoltaic","On-grid","2020",3.306
"American Samoa","Solar photovoltaic","Off-grid","2020",1.854
"American Samoa","Solar thermal energy","On-grid","2020",..
"American Samoa","Solar thermal energy","Off-grid","2020",..
"American Samoa","Onshore wind energy","On-grid","2020",..
"American Samoa","Onshore wind energy","Off-grid","2020",..
"American Samoa","Offshore wind energy","On-grid","2020",..
"American Samoa","Offshore wind energy","Off-grid","2020",..
"American Samoa","Renewable hydropower","On-grid","2020",..
"American Samoa","Renewable hydropower","Off-grid","2020",..
"American Samoa","Mixed Hydro Plants","On-grid","2020",..
"American Samoa","Mixed Hydro Plants","Off-grid","2020",..
"American Samoa","Pumped storage","On-grid","2020",..
"American Samoa","Pumped storage","Off-grid","2020",..
"American Samoa","Marine energy","On-grid","2020",..
"American Samoa","Marine energy","Off-grid","2020",..
"American Samoa","Solid biofuels","On-grid","2020",..
"American Samoa","Solid biofuels","Off-grid","2020",..
"American Samoa","Renewable municipal waste","On-grid","2020",..
"American Samoa","Renewable municipal waste","Off-grid","2020",..
"American Samoa","Liquid biofuels","On-grid","2020",..
"American Samoa","Liquid biofuels","Off-grid","2020",..
"American Samoa","Biogas","On-grid","2020",..
"American Samoa","Biogas","Off-grid","2020",..
"American Samoa","Geothermal energy","On-grid","2020",..
"American Samoa","Geothermal energy","Off-grid","2020",..
"American Samoa","Coal and peat","On-grid","2020",..
"American Samoa","Coal and peat","Off-grid","2020",..
"American Samoa","Oil","On-grid","2020",38.750
"American Samoa","Oil","Off-grid","2020",..
"American Samoa","Natural gas","On-grid","2020",..
"American Samoa","Natural gas","Off-grid","2020",..
"American Samoa","Fossil fuels n.e.s.","On-grid","2020",..
"American Samoa","Fossil fuels n.e.s.","Off-grid","2020",0.960
"American Samoa","Nuclear","On-grid","2020",..
"American Samoa","Nuclear","Off-grid","2020",..
"American Samoa","Other non-renewable energy","On-grid","2020",..
"American Samoa","Other non-renewable energy","Off-grid","2020",..
"Andorra","Solar photovoltaic","On-grid","2020",2.927
"Andorra","Solar photovoltaic","Off-grid","2020",..
"Andorra","Solar thermal energy","On-grid","2020",..
"Andorra","Solar thermal energy","Off-grid","2020",..
"Andorra","Onshore wind energy","On-grid","2020",..
"Andorra","Onshore wind energy","Off-grid","2020",..
"Andorra","Offshore wind energy","On-grid","2020",..
"Andorra","Offshore wind energy","Off-grid","2020",..
"Andorra","Renewable hydropower","On-grid","2020",46.000
"Andorra","Renewable hydropower","Off-grid","2020",..
"Andorra","Mixed Hydro Plants","On-grid","2020",..
"Andorra","Mixed Hydro Plants","Off-grid","2020",..
"Andorra","Pumped storage","On-grid","2020",..
"Andorra","Pumped storage","Off-grid","2020",..
"Andorra","Marine energy","On-grid","2020",..
"Andorra","Marine energy","Off-grid","2020",..
"Andorra","Solid biofuels","On-grid","2020",..
"Andorra","Solid biofuels","Off-grid","2020",..
"Andorra","Renewable municipal waste","On-grid","2020",5.000
"Andorra","Renewable municipal waste","Off-grid","2020",..
"Andorra","Liquid biofuels","On-grid","2020",..
"Andorra","Liquid biofuels","Off-grid","2020",..
"Andorra","Biogas","On-grid","2020",..
"Andorra","Biogas","Off-grid","2020",..
"Andorra","Geothermal energy","On-grid","2020",..
"Andorra","Geothermal energy","Off-grid","2020",..
"Andorra","Coal and peat","On-grid","2020",..
"Andorra","Coal and peat","Off-grid","2020",..
"Andorra","Oil","On-grid","2020",..
"Andorra","Oil","Off-grid","2020",..
"Andorra","Natural gas","On-grid","2020",1.700
"Andorra","Natural gas","Off-grid","2020",..
"Andorra","Fossil fuels n.e.s.","On-grid","2020",..
"Andorra","Fossil fuels n.e.s.","Off-grid","2020",..
"Andorra","Nuclear","On-grid","2020",..
"Andorra","Nuclear","Off-grid","2020",..
"Andorra","Other non-renewable energy","On-grid","2020",..
"Andorra","Other non-renewable energy","Off-grid","2020",..
"Angola","Solar photovoltaic","On-grid","2020",..
"Angola","Solar photovoltaic","Off-grid","2020",13.377
"Angola","Solar thermal energy","On-grid","2020",..
"Angola","Solar thermal energy","Off-grid","2020",..
