"Installed electricity capacity by country/area (MW) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Installed electricity capacity by country/area (MW)
"Equatorial Guinea","Mixed Hydro Plants","On-grid","2020",..
"Equatorial Guinea","Mixed Hydro Plants","Off-grid","2020",..
"Equatorial Guinea","Pumped storage","On-grid","2020",..
"Equatorial Guinea","Pumped storage","Off-grid","2020",..
"Equatorial Guinea","Marine energy","On-grid","2020",..
"Equatorial Guinea","Marine energy","Off-grid","2020",..
"Equatorial Guinea","Solid biofuels","On-grid","2020",..
"Equatorial Guinea","Solid biofuels","Off-grid","2020",..
"Equatorial Guinea","Renewable municipal waste","On-grid","2020",..
"Equatorial Guinea","Renewable municipal waste","Off-grid","2020",..
"Equatorial Guinea","Liquid biofuels","On-grid","2020",..
"Equatorial Guinea","Liquid biofuels","Off-grid","2020",..
"Equatorial Guinea","Biogas","On-grid","2020",..
"Equatorial Guinea","Biogas","Off-grid","2020",..
"Equatorial Guinea","Geothermal energy","On-grid","2020",..
"Equatorial Guinea","Geothermal energy","Off-grid","2020",..
"Equatorial Guinea","Coal and peat","On-grid","2020",..
"Equatorial Guinea","Coal and peat","Off-grid","2020",..
"Equatorial Guinea","Oil","On-grid","2020",117.971
"Equatorial Guinea","Oil","Off-grid","2020",..
"Equatorial Guinea","Natural gas","On-grid","2020",156.000
"Equatorial Guinea","Natural gas","Off-grid","2020",..
"Equatorial Guinea","Fossil fuels n.e.s.","On-grid","2020",..
"Equatorial Guinea","Fossil fuels n.e.s.","Off-grid","2020",..
"Equatorial Guinea","Nuclear","On-grid","2020",..
"Equatorial Guinea","Nuclear","Off-grid","2020",..
"Equatorial Guinea","Other non-renewable energy","On-grid","2020",..
"Equatorial Guinea","Other non-renewable energy","Off-grid","2020",..
"Eritrea","Solar photovoltaic","On-grid","2020",..
"Eritrea","Solar photovoltaic","Off-grid","2020",22.209
"Eritrea","Solar thermal energy","On-grid","2020",..
"Eritrea","Solar thermal energy","Off-grid","2020",..
"Eritrea","Onshore wind energy","On-grid","2020",..
"Eritrea","Onshore wind energy","Off-grid","2020",0.825
"Eritrea","Offshore wind energy","On-grid","2020",..
"Eritrea","Offshore wind energy","Off-grid","2020",..
"Eritrea","Renewable hydropower","On-grid","2020",..
"Eritrea","Renewable hydropower","Off-grid","2020",..
"Eritrea","Mixed Hydro Plants","On-grid","2020",..
"Eritrea","Mixed Hydro Plants","Off-grid","2020",..
"Eritrea","Pumped storage","On-grid","2020",..
"Eritrea","Pumped storage","Off-grid","2020",..
"Eritrea","Marine energy","On-grid","2020",..
"Eritrea","Marine energy","Off-grid","2020",..
"Eritrea","Solid biofuels","On-grid","2020",..
"Eritrea","Solid biofuels","Off-grid","2020",..
"Eritrea","Renewable municipal waste","On-grid","2020",..
"Eritrea","Renewable municipal waste","Off-grid","2020",..
"Eritrea","Liquid biofuels","On-grid","2020",..
"Eritrea","Liquid biofuels","Off-grid","2020",..
"Eritrea","Biogas","On-grid","2020",..
"Eritrea","Biogas","Off-grid","2020",..
"Eritrea","Geothermal energy","On-grid","2020",..
"Eritrea","Geothermal energy","Off-grid","2020",..
"Eritrea","Coal and peat","On-grid","2020",..
"Eritrea","Coal and peat","Off-grid","2020",..
"Eritrea","Oil","On-grid","2020",205.000
"Eritrea","Oil","Off-grid","2020",..
"Eritrea","Natural gas","On-grid","2020",..
"Eritrea","Natural gas","Off-grid","2020",..
"Eritrea","Fossil fuels n.e.s.","On-grid","2020",..
"Eritrea","Fossil fuels n.e.s.","Off-grid","2020",..
"Eritrea","Nuclear","On-grid","2020",..
"Eritrea","Nuclear","Off-grid","2020",..
"Eritrea","Other non-renewable energy","On-grid","2020",..
"Eritrea","Other non-renewable energy","Off-grid","2020",..
"Estonia","Solar photovoltaic","On-grid","2020",207.670
"Estonia","Solar photovoltaic","Off-grid","2020",..
"Estonia","Solar thermal energy","On-grid","2020",..
"Estonia","Solar thermal energy","Off-grid","2020",..
"Estonia","Onshore wind energy","On-grid","2020",317.000
"Estonia","Onshore wind energy","Off-grid","2020",..
"Estonia","Offshore wind energy","On-grid","2020",..
"Estonia","Offshore wind energy","Off-grid","2020",..
"Estonia","Renewable hydropower","On-grid","2020",8.000
"Estonia","Renewable hydropower","Off-grid","2020",..
"Estonia","Mixed Hydro Plants","On-grid","2020",..
"Estonia","Mixed Hydro Plants","Off-grid","2020",..
"Estonia","Pumped storage","On-grid","2020",..
"Estonia","Pumped storage","Off-grid","2020",..
"Estonia","Marine energy","On-grid","2020",..
"Estonia","Marine energy","Off-grid","2020",..
"Estonia","Solid biofuels","On-grid","2020",200.000
"Estonia","Solid biofuels","Off-grid","2020",..
"Estonia","Renewable municipal waste","On-grid","2020",85.000
"Estonia","Renewable municipal waste","Off-grid","2020",..
"Estonia","Liquid biofuels","On-grid","2020",..
"Estonia","Liquid biofuels","Off-grid","2020",..
"Estonia","Biogas","On-grid","2020",11.000
"Estonia","Biogas","Off-grid","2020",..
"Estonia","Geothermal energy","On-grid","2020",..
"Estonia","Geothermal energy","Off-grid","2020",..
"Estonia","Coal and peat","On-grid","2020",..
"Estonia","Coal and peat","Off-grid","2020",..
"Estonia","Oil","On-grid","2020",..
"Estonia","Oil","Off-grid","2020",..
"Estonia","Natural gas","On-grid","2020",..
"Estonia","Natural gas","Off-grid","2020",..
"Estonia","Fossil fuels n.e.s.","On-grid","2020",1784.000
"Estonia","Fossil fuels n.e.s.","Off-grid","2020",..
"Estonia","Nuclear","On-grid","2020",..
"Estonia","Nuclear","Off-grid","2020",..
"Estonia","Other non-renewable energy","On-grid","2020",125.000
"Estonia","Other non-renewable energy","Off-grid","2020",..
"Eswatini","Solar photovoltaic","On-grid","2020",0.126
"Eswatini","Solar photovoltaic","Off-grid","2020",0.804
"Eswatini","Solar thermal energy","On-grid","2020",..
"Eswatini","Solar thermal energy","Off-grid","2020",..
"Eswatini","Onshore wind energy","On-grid","2020",..
"Eswatini","Onshore wind energy","Off-grid","2020",..
"Eswatini","Offshore wind energy","On-grid","2020",..
"Eswatini","Offshore wind energy","Off-grid","2020",..
"Eswatini","Renewable hydropower","On-grid","2020",60.400
"Eswatini","Renewable hydropower","Off-grid","2020",1.700
"Eswatini","Mixed Hydro Plants","On-grid","2020",..
"Eswatini","Mixed Hydro Plants","Off-grid","2020",..
"Eswatini","Pumped storage","On-grid","2020",..
"Eswatini","Pumped storage","Off-grid","2020",..
"Eswatini","Marine energy","On-grid","2020",..
"Eswatini","Marine energy","Off-grid","2020",..
"Eswatini","Solid biofuels","On-grid","2020",106.000
"Eswatini","Solid biofuels","Off-grid","2020",..
"Eswatini","Renewable municipal waste","On-grid","2020",..
"Eswatini","Renewable municipal waste","Off-grid","2020",..
"Eswatini","Liquid biofuels","On-grid","2020",..
"Eswatini","Liquid biofuels","Off-grid","2020",..
"Eswatini","Biogas","On-grid","2020",..
"Eswatini","Biogas","Off-grid","2020",..
"Eswatini","Geothermal energy","On-grid","2020",..
"Eswatini","Geothermal energy","Off-grid","2020",..
"Eswatini","Coal and peat","On-grid","2020",..
"Eswatini","Coal and peat","Off-grid","2020",..
"Eswatini","Oil","On-grid","2020",9.000
"Eswatini","Oil","Off-grid","2020",0.900
"Eswatini","Natural gas","On-grid","2020",..
"Eswatini","Natural gas","Off-grid","2020",..
"Eswatini","Fossil fuels n.e.s.","On-grid","2020",..
"Eswatini","Fossil fuels n.e.s.","Off-grid","2020",..
"Eswatini","Nuclear","On-grid","2020",..
"Eswatini","Nuclear","Off-grid","2020",..
"Eswatini","Other non-renewable energy","On-grid","2020",..
"Eswatini","Other non-renewable energy","Off-grid","2020",..
"Ethiopia","Solar photovoltaic","On-grid","2020",..
"Ethiopia","Solar photovoltaic","Off-grid","2020",20.184
"Ethiopia","Solar thermal energy","On-grid","2020",..
"Ethiopia","Solar thermal energy","Off-grid","2020",..
"Ethiopia","Onshore wind energy","On-grid","2020",324.000
"Ethiopia","Onshore wind energy","Off-grid","2020",0.006
"Ethiopia","Offshore wind energy","On-grid","2020",..
"Ethiopia","Offshore wind energy","Off-grid","2020",..
"Ethiopia","Renewable hydropower","On-grid","2020",4070.000
"Ethiopia","Renewable hydropower","Off-grid","2020",1.279
"Ethiopia","Mixed Hydro Plants","On-grid","2020",..
"Ethiopia","Mixed Hydro Plants","Off-grid","2020",..
"Ethiopia","Pumped storage","On-grid","2020",..
"Ethiopia","Pumped storage","Off-grid","2020",..
"Ethiopia","Marine energy","On-grid","2020",..
"Ethiopia","Marine energy","Off-grid","2020",..
"Ethiopia","Solid biofuels","On-grid","2020",265.000
"Ethiopia","Solid biofuels","Off-grid","2020",..
"Ethiopia","Renewable municipal waste","On-grid","2020",25.000
"Ethiopia","Renewable municipal waste","Off-grid","2020",..
"Ethiopia","Liquid biofuels","On-grid","2020",..
"Ethiopia","Liquid biofuels","Off-grid","2020",..
"Ethiopia","Biogas","On-grid","2020",..
"Ethiopia","Biogas","Off-grid","2020",..
"Ethiopia","Geothermal energy","On-grid","2020",7.300
"Ethiopia","Geothermal energy","Off-grid","2020",..
"Ethiopia","Coal and peat","On-grid","2020",..
"Ethiopia","Coal and peat","Off-grid","2020",..
"Ethiopia","Oil","On-grid","2020",104.000
"Ethiopia","Oil","Off-grid","2020",..
"Ethiopia","Natural gas","On-grid","2020",..
"Ethiopia","Natural gas","Off-grid","2020",..
"Ethiopia","Fossil fuels n.e.s.","On-grid","2020",..
"Ethiopia","Fossil fuels n.e.s.","Off-grid","2020",..
"Ethiopia","Nuclear","On-grid","2020",..
"Ethiopia","Nuclear","Off-grid","2020",..
"Ethiopia","Other non-renewable energy","On-grid","2020",..
"Ethiopia","Other non-renewable energy","Off-grid","2020",..
"Falkland Islands (Malvinas)","Solar photovoltaic","On-grid","2020",..
"Falkland Islands (Malvinas)","Solar photovoltaic","Off-grid","2020",0.070
"Falkland Islands (Malvinas)","Solar thermal energy","On-grid","2020",..
"Falkland Islands (Malvinas)","Solar thermal energy","Off-grid","2020",..
"Falkland Islands (Malvinas)","Onshore wind energy","On-grid","2020",1.980
"Falkland Islands (Malvinas)","Onshore wind energy","Off-grid","2020",0.340
"Falkland Islands (Malvinas)","Offshore wind energy","On-grid","2020",..
"Falkland Islands (Malvinas)","Offshore wind energy","Off-grid","2020",..
"Falkland Islands (Malvinas)","Renewable hydropower","On-grid","2020",..
"Falkland Islands (Malvinas)","Renewable hydropower","Off-grid","2020",..
"Falkland Islands (Malvinas)","Mixed Hydro Plants","On-grid","2020",..
"Falkland Islands (Malvinas)","Mixed Hydro Plants","Off-grid","2020",..
"Falkland Islands (Malvinas)","Pumped storage","On-grid","2020",..
"Falkland Islands (Malvinas)","Pumped storage","Off-grid","2020",..
"Falkland Islands (Malvinas)","Marine energy","On-grid","2020",..
"Falkland Islands (Malvinas)","Marine energy","Off-grid","2020",..
"Falkland Islands (Malvinas)","Solid biofuels","On-grid","2020",..
"Falkland Islands (Malvinas)","Solid biofuels","Off-grid","2020",..
"Falkland Islands (Malvinas)","Renewable municipal waste","On-grid","2020",..
"Falkland Islands (Malvinas)","Renewable municipal waste","Off-grid","2020",..
"Falkland Islands (Malvinas)","Liquid biofuels","On-grid","2020",..
"Falkland Islands (Malvinas)","Liquid biofuels","Off-grid","2020",..
"Falkland Islands (Malvinas)","Biogas","On-grid","2020",..
"Falkland Islands (Malvinas)","Biogas","Off-grid","2020",..
"Falkland Islands (Malvinas)","Geothermal energy","On-grid","2020",..
"Falkland Islands (Malvinas)","Geothermal energy","Off-grid","2020",..
"Falkland Islands (Malvinas)","Coal and peat","On-grid","2020",..
"Falkland Islands (Malvinas)","Coal and peat","Off-grid","2020",..
"Falkland Islands (Malvinas)","Oil","On-grid","2020",6.600
"Falkland Islands (Malvinas)","Oil","Off-grid","2020",1.000
"Falkland Islands (Malvinas)","Natural gas","On-grid","2020",..
"Falkland Islands (Malvinas)","Natural gas","Off-grid","2020",..
"Falkland Islands (Malvinas)","Fossil fuels n.e.s.","On-grid","2020",..
"Falkland Islands (Malvinas)","Fossil fuels n.e.s.","Off-grid","2020",..
"Falkland Islands (Malvinas)","Nuclear","On-grid","2020",..
"Falkland Islands (Malvinas)","Nuclear","Off-grid","2020",..
"Falkland Islands (Malvinas)","Other non-renewable energy","On-grid","2020",..
"Falkland Islands (Malvinas)","Other non-renewable energy","Off-grid","2020",..
"Faroe Islands","Solar photovoltaic","On-grid","2020",0.261
"Faroe Islands","Solar photovoltaic","Off-grid","2020",..
"Faroe Islands","Solar thermal energy","On-grid","2020",..
"Faroe Islands","Solar thermal energy","Off-grid","2020",..
"Faroe Islands","Onshore wind energy","On-grid","2020",19.050
"Faroe Islands","Onshore wind energy","Off-grid","2020",..
"Faroe Islands","Offshore wind energy","On-grid","2020",..
"Faroe Islands","Offshore wind energy","Off-grid","2020",..
"Faroe Islands","Renewable hydropower","On-grid","2020",39.700
"Faroe Islands","Renewable hydropower","Off-grid","2020",..
"Faroe Islands","Mixed Hydro Plants","On-grid","2020",..
"Faroe Islands","Mixed Hydro Plants","Off-grid","2020",..
"Faroe Islands","Pumped storage","On-grid","2020",..
"Faroe Islands","Pumped storage","Off-grid","2020",..
"Faroe Islands","Marine energy","On-grid","2020",0.100
"Faroe Islands","Marine energy","Off-grid","2020",..
"Faroe Islands","Solid biofuels","On-grid","2020",..
"Faroe Islands","Solid biofuels","Off-grid","2020",..
"Faroe Islands","Renewable municipal waste","On-grid","2020",..
"Faroe Islands","Renewable municipal waste","Off-grid","2020",..
"Faroe Islands","Liquid biofuels","On-grid","2020",..
"Faroe Islands","Liquid biofuels","Off-grid","2020",..
"Faroe Islands","Biogas","On-grid","2020",0.320
"Faroe Islands","Biogas","Off-grid","2020",..
"Faroe Islands","Geothermal energy","On-grid","2020",..
"Faroe Islands","Geothermal energy","Off-grid","2020",..
"Faroe Islands","Coal and peat","On-grid","2020",..
"Faroe Islands","Coal and peat","Off-grid","2020",..
"Faroe Islands","Oil","On-grid","2020",105.830
"Faroe Islands","Oil","Off-grid","2020",..
"Faroe Islands","Natural gas","On-grid","2020",..
"Faroe Islands","Natural gas","Off-grid","2020",..
"Faroe Islands","Fossil fuels n.e.s.","On-grid","2020",..
"Faroe Islands","Fossil fuels n.e.s.","Off-grid","2020",..
"Faroe Islands","Nuclear","On-grid","2020",..
"Faroe Islands","Nuclear","Off-grid","2020",..
"Faroe Islands","Other non-renewable energy","On-grid","2020",..
"Faroe Islands","Other non-renewable energy","Off-grid","2020",..
"Fiji","Solar photovoltaic","On-grid","2020",5.101
"Fiji","Solar photovoltaic","Off-grid","2020",4.568
"Fiji","Solar thermal energy","On-grid","2020",..
"Fiji","Solar thermal energy","Off-grid","2020",..
"Fiji","Onshore wind energy","On-grid","2020",10.175
"Fiji","Onshore wind energy","Off-grid","2020",..
"Fiji","Offshore wind energy","On-grid","2020",..
"Fiji","Offshore wind energy","Off-grid","2020",..
"Fiji","Renewable hydropower","On-grid","2020",138.300
"Fiji","Renewable hydropower","Off-grid","2020",0.130
"Fiji","Mixed Hydro Plants","On-grid","2020",..
"Fiji","Mixed Hydro Plants","Off-grid","2020",..
"Fiji","Pumped storage","On-grid","2020",..
"Fiji","Pumped storage","Off-grid","2020",..
"Fiji","Marine energy","On-grid","2020",..
"Fiji","Marine energy","Off-grid","2020",..
"Fiji","Solid biofuels","On-grid","2020",53.600
"Fiji","Solid biofuels","Off-grid","2020",..
"Fiji","Renewable municipal waste","On-grid","2020",..
"Fiji","Renewable municipal waste","Off-grid","2020",..
"Fiji","Liquid biofuels","On-grid","2020",..
"Fiji","Liquid biofuels","Off-grid","2020",0.024
"Fiji","Biogas","On-grid","2020",..
"Fiji","Biogas","Off-grid","2020",..
"Fiji","Geothermal energy","On-grid","2020",..
"Fiji","Geothermal energy","Off-grid","2020",..
"Fiji","Coal and peat","On-grid","2020",..
"Fiji","Coal and peat","Off-grid","2020",..
"Fiji","Oil","On-grid","2020",132.040
"Fiji","Oil","Off-grid","2020",39.594
"Fiji","Natural gas","On-grid","2020",..
"Fiji","Natural gas","Off-grid","2020",..
"Fiji","Fossil fuels n.e.s.","On-grid","2020",..
"Fiji","Fossil fuels n.e.s.","Off-grid","2020",..
"Fiji","Nuclear","On-grid","2020",..
"Fiji","Nuclear","Off-grid","2020",..
"Fiji","Other non-renewable energy","On-grid","2020",..
"Fiji","Other non-renewable energy","Off-grid","2020",..
"Finland","Solar photovoltaic","On-grid","2020",318.000
"Finland","Solar photovoltaic","Off-grid","2020",..
"Finland","Solar thermal energy","On-grid","2020",..
"Finland","Solar thermal energy","Off-grid","2020",..
"Finland","Onshore wind energy","On-grid","2020",2513.000
"Finland","Onshore wind energy","Off-grid","2020",..
"Finland","Offshore wind energy","On-grid","2020",73.000
"Finland","Offshore wind energy","Off-grid","2020",..
"Finland","Renewable hydropower","On-grid","2020",3164.000
"Finland","Renewable hydropower","Off-grid","2020",..
"Finland","Mixed Hydro Plants","On-grid","2020",..
"Finland","Mixed Hydro Plants","Off-grid","2020",..
"Finland","Pumped storage","On-grid","2020",..
"Finland","Pumped storage","Off-grid","2020",..
"Finland","Marine energy","On-grid","2020",..
"Finland","Marine energy","Off-grid","2020",..
"Finland","Solid biofuels","On-grid","2020",2442.000
"Finland","Solid biofuels","Off-grid","2020",..
"Finland","Renewable municipal waste","On-grid","2020",148.000
"Finland","Renewable municipal waste","Off-grid","2020",..
"Finland","Liquid biofuels","On-grid","2020",..
"Finland","Liquid biofuels","Off-grid","2020",..
"Finland","Biogas","On-grid","2020",116.000
"Finland","Biogas","Off-grid","2020",..
"Finland","Geothermal energy","On-grid","2020",..
"Finland","Geothermal energy","Off-grid","2020",..
"Finland","Coal and peat","On-grid","2020",..
"Finland","Coal and peat","Off-grid","2020",..
"Finland","Oil","On-grid","2020",..
"Finland","Oil","Off-grid","2020",..
"Finland","Natural gas","On-grid","2020",..
"Finland","Natural gas","Off-grid","2020",..
"Finland","Fossil fuels n.e.s.","On-grid","2020",5854.000
"Finland","Fossil fuels n.e.s.","Off-grid","2020",..
"Finland","Nuclear","On-grid","2020",2794.000
"Finland","Nuclear","Off-grid","2020",..
"Finland","Other non-renewable energy","On-grid","2020",148.000
"Finland","Other non-renewable energy","Off-grid","2020",..
"France","Solar photovoltaic","On-grid","2020",11812.204
"France","Solar photovoltaic","Off-grid","2020",210.021
"France","Solar thermal energy","On-grid","2020",9.000
"France","Solar thermal energy","Off-grid","2020",..
"France","Onshore wind energy","On-grid","2020",17482.001
"France","Onshore wind energy","Off-grid","2020",..
"France","Offshore wind energy","On-grid","2020",2.000
"France","Offshore wind energy","Off-grid","2020",..
"France","Renewable hydropower","On-grid","2020",18835.105
"France","Renewable hydropower","Off-grid","2020",..
"France","Mixed Hydro Plants","On-grid","2020",5149.595
"France","Mixed Hydro Plants","Off-grid","2020",..
"France","Pumped storage","On-grid","2020",1727.660
"France","Pumped storage","Off-grid","2020",..
"France","Marine energy","On-grid","2020",211.765
"France","Marine energy","Off-grid","2020",..
"France","Solid biofuels","On-grid","2020",846.514
"France","Solid biofuels","Off-grid","2020",..
"France","Renewable municipal waste","On-grid","2020",452.424
"France","Renewable municipal waste","Off-grid","2020",..
"France","Liquid biofuels","On-grid","2020",14.570
"France","Liquid biofuels","Off-grid","2020",..
"France","Biogas","On-grid","2020",532.546
"France","Biogas","Off-grid","2020",..
"France","Geothermal energy","On-grid","2020",16.150
"France","Geothermal energy","Off-grid","2020",..
"France","Coal and peat","On-grid","2020",..
"France","Coal and peat","Off-grid","2020",..
"France","Oil","On-grid","2020",..
"France","Oil","Off-grid","2020",..
"France","Natural gas","On-grid","2020",..
"France","Natural gas","Off-grid","2020",..
"France","Fossil fuels n.e.s.","On-grid","2020",17458.522
"France","Fossil fuels n.e.s.","Off-grid","2020",..
"France","Nuclear","On-grid","2020",61400.000
"France","Nuclear","Off-grid","2020",..
"France","Other non-renewable energy","On-grid","2020",486.146
"France","Other non-renewable energy","Off-grid","2020",..
"French Guiana","Solar photovoltaic","On-grid","2020",54.780
"French Guiana","Solar photovoltaic","Off-grid","2020",0.161
"French Guiana","Solar thermal energy","On-grid","2020",..
"French Guiana","Solar thermal energy","Off-grid","2020",..
"French Guiana","Onshore wind energy","On-grid","2020",..
"French Guiana","Onshore wind energy","Off-grid","2020",..
"French Guiana","Offshore wind energy","On-grid","2020",..
"French Guiana","Offshore wind energy","Off-grid","2020",..
"French Guiana","Renewable hydropower","On-grid","2020",118.100
"French Guiana","Renewable hydropower","Off-grid","2020",1.050
"French Guiana","Mixed Hydro Plants","On-grid","2020",..
"French Guiana","Mixed Hydro Plants","Off-grid","2020",..
"French Guiana","Pumped storage","On-grid","2020",..
"French Guiana","Pumped storage","Off-grid","2020",..
"French Guiana","Marine energy","On-grid","2020",..
"French Guiana","Marine energy","Off-grid","2020",..
"French Guiana","Solid biofuels","On-grid","2020",1.976
"French Guiana","Solid biofuels","Off-grid","2020",3.100
"French Guiana","Renewable municipal waste","On-grid","2020",..
"French Guiana","Renewable municipal waste","Off-grid","2020",..
"French Guiana","Liquid biofuels","On-grid","2020",..
"French Guiana","Liquid biofuels","Off-grid","2020",..
"French Guiana","Biogas","On-grid","2020",..
"French Guiana","Biogas","Off-grid","2020",..
"French Guiana","Geothermal energy","On-grid","2020",..
"French Guiana","Geothermal energy","Off-grid","2020",..
"French Guiana","Coal and peat","On-grid","2020",..
"French Guiana","Coal and peat","Off-grid","2020",..
"French Guiana","Oil","On-grid","2020",191.400
"French Guiana","Oil","Off-grid","2020",6.097
"French Guiana","Natural gas","On-grid","2020",..
"French Guiana","Natural gas","Off-grid","2020",..
"French Guiana","Fossil fuels n.e.s.","On-grid","2020",..
"French Guiana","Fossil fuels n.e.s.","Off-grid","2020",..
"French Guiana","Nuclear","On-grid","2020",..
"French Guiana","Nuclear","Off-grid","2020",..
"French Guiana","Other non-renewable energy","On-grid","2020",..
"French Guiana","Other non-renewable energy","Off-grid","2020",..
"French Polynesia","Solar photovoltaic","On-grid","2020",37.700
"French Polynesia","Solar photovoltaic","Off-grid","2020",3.300
"French Polynesia","Solar thermal energy","On-grid","2020",..
"French Polynesia","Solar thermal energy","Off-grid","2020",..
"French Polynesia","Onshore wind energy","On-grid","2020",..
"French Polynesia","Onshore wind energy","Off-grid","2020",0.248
"French Polynesia","Offshore wind energy","On-grid","2020",..
"French Polynesia","Offshore wind energy","Off-grid","2020",..
"French Polynesia","Renewable hydropower","On-grid","2020",47.630
"French Polynesia","Renewable hydropower","Off-grid","2020",..
"French Polynesia","Mixed Hydro Plants","On-grid","2020",..
"French Polynesia","Mixed Hydro Plants","Off-grid","2020",..
"French Polynesia","Pumped storage","On-grid","2020",..
"French Polynesia","Pumped storage","Off-grid","2020",..
"French Polynesia","Marine energy","On-grid","2020",..
"French Polynesia","Marine energy","Off-grid","2020",..
"French Polynesia","Solid biofuels","On-grid","2020",..
"French Polynesia","Solid biofuels","Off-grid","2020",..
"French Polynesia","Renewable municipal waste","On-grid","2020",..
"French Polynesia","Renewable municipal waste","Off-grid","2020",..
"French Polynesia","Liquid biofuels","On-grid","2020",..
"French Polynesia","Liquid biofuels","Off-grid","2020",..
"French Polynesia","Biogas","On-grid","2020",..
"French Polynesia","Biogas","Off-grid","2020",..
"French Polynesia","Geothermal energy","On-grid","2020",..
"French Polynesia","Geothermal energy","Off-grid","2020",..
"French Polynesia","Coal and peat","On-grid","2020",..
"French Polynesia","Coal and peat","Off-grid","2020",..
"French Polynesia","Oil","On-grid","2020",162.000
"French Polynesia","Oil","Off-grid","2020",..
"French Polynesia","Natural gas","On-grid","2020",..
"French Polynesia","Natural gas","Off-grid","2020",..
"French Polynesia","Fossil fuels n.e.s.","On-grid","2020",..
"French Polynesia","Fossil fuels n.e.s.","Off-grid","2020",48.380
"French Polynesia","Nuclear","On-grid","2020",..
"French Polynesia","Nuclear","Off-grid","2020",..
"French Polynesia","Other non-renewable energy","On-grid","2020",..
"French Polynesia","Other non-renewable energy","Off-grid","2020",..
"Gabon","Solar photovoltaic","On-grid","2020",..
"Gabon","Solar photovoltaic","Off-grid","2020",1.400
"Gabon","Solar thermal energy","On-grid","2020",..
"Gabon","Solar thermal energy","Off-grid","2020",..
"Gabon","Onshore wind energy","On-grid","2020",..
"Gabon","Onshore wind energy","Off-grid","2020",..
"Gabon","Offshore wind energy","On-grid","2020",..
"Gabon","Offshore wind energy","Off-grid","2020",..
"Gabon","Renewable hydropower","On-grid","2020",330.000
"Gabon","Renewable hydropower","Off-grid","2020",0.287
"Gabon","Mixed Hydro Plants","On-grid","2020",..
"Gabon","Mixed Hydro Plants","Off-grid","2020",..
"Gabon","Pumped storage","On-grid","2020",..
"Gabon","Pumped storage","Off-grid","2020",..
"Gabon","Marine energy","On-grid","2020",..
"Gabon","Marine energy","Off-grid","2020",..
"Gabon","Solid biofuels","On-grid","2020",..
"Gabon","Solid biofuels","Off-grid","2020",..
"Gabon","Renewable municipal waste","On-grid","2020",..
"Gabon","Renewable municipal waste","Off-grid","2020",..
"Gabon","Liquid biofuels","On-grid","2020",..
"Gabon","Liquid biofuels","Off-grid","2020",..
"Gabon","Biogas","On-grid","2020",..
"Gabon","Biogas","Off-grid","2020",1.200
"Gabon","Geothermal energy","On-grid","2020",..
"Gabon","Geothermal energy","Off-grid","2020",..
"Gabon","Coal and peat","On-grid","2020",..
"Gabon","Coal and peat","Off-grid","2020",..
"Gabon","Oil","On-grid","2020",87.140
"Gabon","Oil","Off-grid","2020",..
"Gabon","Natural gas","On-grid","2020",192.330
"Gabon","Natural gas","Off-grid","2020",..
"Gabon","Fossil fuels n.e.s.","On-grid","2020",..
"Gabon","Fossil fuels n.e.s.","Off-grid","2020",..
"Gabon","Nuclear","On-grid","2020",..
"Gabon","Nuclear","Off-grid","2020",..
"Gabon","Other non-renewable energy","On-grid","2020",..
"Gabon","Other non-renewable energy","Off-grid","2020",..
"Gambia","Solar photovoltaic","On-grid","2020",0.176
"Gambia","Solar photovoltaic","Off-grid","2020",2.002
"Gambia","Solar thermal energy","On-grid","2020",..
"Gambia","Solar thermal energy","Off-grid","2020",..
"Gambia","Onshore wind energy","On-grid","2020",1.214
"Gambia","Onshore wind energy","Off-grid","2020",..
"Gambia","Offshore wind energy","On-grid","2020",..
"Gambia","Offshore wind energy","Off-grid","2020",..
"Gambia","Renewable hydropower","On-grid","2020",..
"Gambia","Renewable hydropower","Off-grid","2020",..
"Gambia","Mixed Hydro Plants","On-grid","2020",..
"Gambia","Mixed Hydro Plants","Off-grid","2020",..
"Gambia","Pumped storage","On-grid","2020",..
"Gambia","Pumped storage","Off-grid","2020",..
"Gambia","Marine energy","On-grid","2020",..
"Gambia","Marine energy","Off-grid","2020",..
"Gambia","Solid biofuels","On-grid","2020",..
"Gambia","Solid biofuels","Off-grid","2020",..
"Gambia","Renewable municipal waste","On-grid","2020",..
"Gambia","Renewable municipal waste","Off-grid","2020",..
"Gambia","Liquid biofuels","On-grid","2020",..
"Gambia","Liquid biofuels","Off-grid","2020",..
"Gambia","Biogas","On-grid","2020",..
"Gambia","Biogas","Off-grid","2020",..
"Gambia","Geothermal energy","On-grid","2020",..
"Gambia","Geothermal energy","Off-grid","2020",..
"Gambia","Coal and peat","On-grid","2020",..
"Gambia","Coal and peat","Off-grid","2020",..
"Gambia","Oil","On-grid","2020",102.000
"Gambia","Oil","Off-grid","2020",..
"Gambia","Natural gas","On-grid","2020",..
"Gambia","Natural gas","Off-grid","2020",..
"Gambia","Fossil fuels n.e.s.","On-grid","2020",..
"Gambia","Fossil fuels n.e.s.","Off-grid","2020",..
"Gambia","Nuclear","On-grid","2020",..
"Gambia","Nuclear","Off-grid","2020",..
"Gambia","Other non-renewable energy","On-grid","2020",..
"Gambia","Other non-renewable energy","Off-grid","2020",..
