ANO;GRANDE REGIÃO;UF;MUNICÍPIO;CÓDIGO IBGE;PRODUTO;VENDAS
2020;REGIÃO SUDESTE;SP;ITATIBA;3523404;QUEROSENE DE AVIAÇÃO;31491
2020;REGIÃO SUDESTE;SP;JABORANDI;3524204;QUEROSENE DE AVIAÇÃO;210023
2020;REGIÃO SUDESTE;SP;ITU;3523909;QUEROSENE DE AVIAÇÃO;8365
2020;REGIÃO SUDESTE;SP;ITAPEVI;3522505;QUEROSENE DE AVIAÇÃO;90138
2020;REGIÃO SUDESTE;SP;INUBIA PAULISTA;3520806;QUEROSENE DE AVIAÇÃO;66902
2020;REGIÃO SUDESTE;SP;INDAIATUBA;3520509;QUEROSENE DE AVIAÇÃO;21368
2020;REGIÃO SUDESTE;SP;ITAI;3521804;QUEROSENE DE AVIAÇÃO;5000
2020;REGIÃO SUDESTE;SP;ITAPETININGA;3522307;QUEROSENE DE AVIAÇÃO;1413
2020;REGIÃO SUDESTE;SP;ITANHAEM;3522109;QUEROSENE DE AVIAÇÃO;145000
2020;REGIÃO SUDESTE;SP;FERNANDOPOLIS;3515509;QUEROSENE DE AVIAÇÃO;6904
2020;REGIÃO SUDESTE;SP;CAIEIRAS;3509007;QUEROSENE DE AVIAÇÃO;37687
2020;REGIÃO SUDESTE;SP;CACAPAVA;3508504;QUEROSENE DE AVIAÇÃO;14623
2020;REGIÃO SUDESTE;SP;CAJAMAR;3509205;QUEROSENE DE AVIAÇÃO;35944
2020;REGIÃO SUDESTE;SP;CAMPINAS;3509502;QUEROSENE DE AVIAÇÃO;347692045
2020;REGIÃO SUDESTE;SP;CAJOBI;3509304;QUEROSENE DE AVIAÇÃO;350
2020;REGIÃO SUDESTE;SP;BRODOWSKI;3507803;QUEROSENE DE AVIAÇÃO;965
2020;REGIÃO SUDESTE;SP;BOA ESPERANCA DO SUL;3506706;QUEROSENE DE AVIAÇÃO;44000
2020;REGIÃO SUDESTE;SP;BEBEDOURO;3506102;QUEROSENE DE AVIAÇÃO;5313
2020;REGIÃO SUDESTE;SP;BOITUVA;3507001;QUEROSENE DE AVIAÇÃO;565548
2020;REGIÃO SUDESTE;SP;BRAGANCA PAULISTA;3507605;QUEROSENE DE AVIAÇÃO;210000
2020;REGIÃO SUDESTE;SP;BOTUCATU;3507506;QUEROSENE DE AVIAÇÃO;53086
2020;REGIÃO SUDESTE;SP;DOURADO;3514304;QUEROSENE DE AVIAÇÃO;5300
2020;REGIÃO SUDESTE;SP;DIADEMA;3513801;QUEROSENE DE AVIAÇÃO;22031
2020;REGIÃO SUDESTE;SP;EMBU DAS ARTES;3515004;QUEROSENE DE AVIAÇÃO;40895
2020;REGIÃO SUDESTE;SP;ESTRELA D'OESTE;3515202;QUEROSENE DE AVIAÇÃO;127760
2020;REGIÃO SUDESTE;SP;ESPIRITO SANTO DO PINHAL;3515186;QUEROSENE DE AVIAÇÃO;5000
