airport_id,name,federal_state,fuel_consumption_l,fraction,country,y,x
SBMK,MONTES CLAROS,MG,2250005.0,0.0005256283162551197,BR,-16.70518095,-43.82008294490494
SBML,MARÍLIA,SP,486578.0,0.00011367049178414433,BR,-22.1968134,-49.92775661232895
SBMO,RIO LARGO,AL,52836557.0,0.012343257233929553,BR,-9.51084465,-35.7925282592017
SBMQ,MACAPÁ,AP,8006150.0,0.001870333241119876,BR,0.0505785,-51.07059996039651
SBMS,MOSSORÓ,RN,247621.0,5.7847253361396537e-05,BR,-5.20144145,-37.36396336093813
SBNF,NAVEGANTES,SC,20860501.0,0.004873264733575366,BR,-26.87842885,-48.649354164934465
SBNM,SANTO ÂNGELO,RS,170561.0,3.984510756588962e-05,BR,-28.28341965,-54.165611958794074
SBNT,PARNAMIRIM,RN,11358.0,2.653365844087302e-06,BR,-5.9114,-35.2477
SBPA,PORTO ALEGRE,RS,129605338.0,0.03027737075722751,BR,-29.995268449999998,-51.16639779619565
SBPB,PARNAÍBA,PI,86062.0,2.0105121612417803e-05,BR,-2.89181215,-41.72704584737777
SBPC,POÇOS DE CALDAS,MG,4537.0,1.0598979428265618e-06,BR,-21.842504849999997,-46.566647194940074
SBPF,PASSO FUNDO,RS,2826654.0,0.0006603404804237321,BR,-28.2435244,-52.32669864043906
SBPG,PONTA GROSSA,PR,121195.0,2.8312614322430056e-05,BR,-25.18419055,-50.144196346103016
SBPJ,PALMAS,TO,10857281.0,0.00253639184407977,BR,-10.2918921,-48.3591818921385
SBPK,PELOTAS,RS,172211.0,4.0230567474565805e-05,BR,-31.71980575,-52.32925064938313
SBPL,PETROLINA,PE,7342079.0,0.0017151982429292705,BR,-9.36148845,-40.57031761357052
SBPO,PATO BRANCO,PR,112555.0,2.6294206073362062e-05,BR,-26.2169937,-52.694225841764215
SBPS,PORTO SEGURO,BA,32235515.0,0.0075306052533512845,BR,-16.4389835,-39.08336724314525
SBPV,PORTO VELHO,RO,19464106.0,0.004547050012862716,BR,-8.70990265,-63.900493918125576
SBQV,VITÓRIA DA CONQUISTA,BA,1504768.0,0.0003515319611265682,BR,-14.86450825,-40.862788613186495
SBRB,RIO BRANCO,AC,13210298.0,0.003086085006463708,BR,-9.86366315,-67.88788220300299
SBRF,RECIFE,PE,211886545.0,0.049499253506309834,BR,-8.1256775,-34.92271835508188
SBRJ,RIO DE JANEIRO,RJ,125288640.0,0.029268938019735,BR,-22.91044995,-43.16419567816759
SBRP,RIBEIRÃO PRETO,SP,10410844.0,0.0024320987742314864,BR,-21.13330235,-47.77468310119474
SBSG,SÃO GONÇALO DO AMARANTE,RN,57968614.0,0.013542167671833158,BR,-5.77304275,-35.36213529732427
SBSJ,SÃO JOSÉ DOS CAMPOS,SP,376885.0,8.804488344328604e-05,BR,-23.2286857,-45.86031987273927
SBSL,SÃO LUÍS,MA,37778466.0,0.008825505487446155,BR,-2.58899115,-44.23940764493366
SBSM,SANTA MARIA,RS,180830.0,4.224406987025065e-05,BR,-29.71297955,-53.68895977371655
SBSN,SANTARÉM,PA,9393545.0,0.002194445453239748,BR,-2.42713895,-54.80445559036728
SBSO,SORRISO,MT,324624.0,7.583608326914918e-05,BR,-12.47872045,-55.67212787844481
SBSP,SÃO PAULO,SP,303700636.0,0.07094813298027738,BR,-23.6256872,-46.6612303
SBSR,SÃO JOSÉ DO RIO PRETO,SP,9063654.0,0.0021173789352196912,BR,-20.81731545,-49.408467700474546
SBSV,SALVADOR,BA,153846210.0,0.035940330943500826,BR,-12.91102045,-38.3349721784498
SBTB,ORIXIMINÁ,PA,174811.0,4.0837958845813114e-05,BR,-1.4891128,-56.39509566714774
SBTC,UNA,BA,662578.0,0.00015478621537627017,BR,-15.35574585,-38.998548167088046
SBTD,TOLEDO,PR,229704.0,5.366162597730495e-05,BR,-24.686413199999997,-53.697093609839946
SBTE,TERESINA,PI,25034484.0,0.005848357525088049,BR,-5.0598744,-42.823510202633514
SBTF,TEFÉ,AM,646783.0,0.00015109631279594272,BR,-3.3824045,-64.72460759140549
SBTG,TRÊS LAGOAS,MS,344312.0,8.043543762188652e-05,BR,-20.752112099999998,-51.6801087861806
SBTT,TABATINGA,AM,1654120.0,0.0003864223903875408,BR,-4.255893,-69.93548245403075
SBUA,SÃO GABRIEL DA CACHOEIRA,AM,215207.0,5.027495185846945e-05,BR,-0.1483109,-66.98557275279653
SBUF,PAULO AFONSO,BA,94981.0,2.218870762786195e-05,BR,-9.4005831,-38.25002608988869
SBUG,URUGUAIANA,RS,226267.0,5.285870130692918e-05,BR,-29.782747,-57.03777922067036
SBUL,UBERLÂNDIA,MG,13906676.0,0.0032487673096661934,BR,-18.882273650000002,-48.22479831961242
SBUY,COARI,AM,804599.0,0.0001879640345823912,BR,-4.884467450000001,-65.3564853947976
