name,bus0,bus1,carrier,s_nom,length,investment_cost,underwater_fraction
US0 116_AC|US0 124_AC,US0 116_AC,US0 124_AC,AC,4665.2,556.7028928,835640.9670000001,0.0
US0 117_AC|US0 118_AC,US0 117_AC,US0 118_AC,AC,1732.0,184.3338036,209317.2549,0.0
US0 118_AC|US0 119_AC,US0 118_AC,US0 119_AC,AC,2565.046,298.67741060000003,406001.0199,0.0
US0 118_AC|US0 120_AC,US0 118_AC,US0 120_AC,AC,1083.447,366.446718,672949.7033999999,0.0
US0 118_AC|US0 122_AC,US0 118_AC,US0 122_AC,AC,2581.853,298.7256908,497373.3534,0.0
US0 118_AC|US0 124_AC,US0 118_AC,US0 124_AC,AC,966.591,646.0051694,982567.0007999999,0.0
US0 119_AC|US0 120_AC,US0 119_AC,US0 120_AC,AC,6067.972,213.15708299999997,422452.8972,0.0
US0 119_AC|US0 124_AC,US0 119_AC,US0 124_AC,AC,1732.1,319.13212200000004,615254.0934,0.0
US0 120_AC|US0 122_AC,US0 120_AC,US0 122_AC,AC,4735.193,388.0762476,769950.5169,0.0
US0 120_AC|US0 124_AC,US0 120_AC,US0 124_AC,AC,5133.171,349.0014724,643406.2596,0.0
US0 120_AC|US0 126_AC,US0 120_AC,US0 126_AC,AC,893.231,243.38048819999997,520794.3738,0.0
US0 122_AC|US0 123_AC,US0 122_AC,US0 123_AC,AC,3071.021,108.9040378,212660.73930000002,0.0
US0 122_AC|US0 126_AC,US0 122_AC,US0 126_AC,AC,6345.834,541.9774318,1039840.4132999999,0.0
US0 123_AC|US0 126_AC,US0 123_AC,US0 126_AC,AC,470.118,522.0216158,1004718.8088,0.0
US0 3_AC|US0 123_AC,US0 3_AC,US0 123_AC,AC,450.743,693.8830344,1286581.2177,0.0
US0 124_AC|US0 125_AC,US0 124_AC,US0 125_AC,AC,1958.9,112.71817360000001,208779.49889999998,0.0
US0 124_AC|US0 126_AC,US0 124_AC,US0 126_AC,AC,2903.278,384.0207108,766811.9751,0.0
US0 124_AC|US0 129_AC,US0 124_AC,US0 129_AC,AC,2193.227,600.8792758,1305249.6657,0.0
US0 10_AC|US0 124_AC,US0 10_AC,US0 124_AC,AC,1732.1,208.02328839999998,350575.7562,0.0
US0 11_AC|US0 124_AC,US0 11_AC,US0 124_AC,AC,166.181,316.78248560000003,554687.0976,0.0
US0 21_AC|US0 124_AC,US0 21_AC,US0 124_AC,AC,2381.921,682.5210940000001,1381723.206,0.0
US0 10_AC|US0 125_AC,US0 10_AC,US0 125_AC,AC,2176.813,117.61056719999999,185086.34100000001,0.0
US0 11_AC|US0 125_AC,US0 11_AC,US0 125_AC,AC,1100.554,189.499785,363269.38080000004,0.0
US0 126_AC|US0 127_AC,US0 126_AC,US0 127_AC,AC,4081.772,234.6578654,480560.4096,0.0
US0 126_AC|US0 128_AC,US0 126_AC,US0 128_AC,AC,2860.0,449.6335026,860163.5016000001,0.0
US0 126_AC|US0 129_AC,US0 126_AC,US0 129_AC,AC,142.771,384.64835339999996,773984.5602,0.0
US0 3_AC|US0 126_AC,US0 3_AC,US0 126_AC,AC,6243.954,775.3639186,1381137.8121,0.0
US0 127_AC|US0 128_AC,US0 127_AC,US0 128_AC,AC,1206.883,346.5552756,647287.7583,0.0
US0 127_AC|US0 129_AC,US0 127_AC,US0 129_AC,AC,6113.505,160.0005828,338157.88529999997,0.0
US0 127_AC|US0 130_AC,US0 127_AC,US0 130_AC,AC,0.0,388.9452912,771030.789,0.0
US0 128_AC|US0 130_AC,US0 128_AC,US0 130_AC,AC,2437.28,404.1213674,744766.4145000001,0.0
US0 129_AC|US0 130_AC,US0 129_AC,US0 130_AC,AC,2777.937,220.9784754,461255.73179999995,0.0
US0 129_AC|US0 131_AC,US0 129_AC,US0 131_AC,AC,109.0,523.9367304,973015.3374,0.0
US0 21_AC|US0 129_AC,US0 21_AC,US0 129_AC,AC,1635.0,287.4442174,591272.2914,0.0
US0 130_AC|US0 131_AC,US0 130_AC,US0 131_AC,AC,6275.009,292.30442419999997,536995.6632000001,0.0
US0 2_AC|US0 131_AC,US0 2_AC,US0 131_AC,AC,6245.72,453.38326480000006,1135935.3195,0.0
US0 19_AC|US0 131_AC,US0 19_AC,US0 131_AC,AC,2598.0,794.7403722,2215707.5106,0.0
US0 21_AC|US0 131_AC,US0 21_AC,US0 131_AC,AC,4057.724,376.4085326,757648.1799,0.0
US0 27_AC|US0 131_AC,US0 27_AC,US0 131_AC,AC,4606.776,397.6518206,1157611.2651,0.0
US0 2_AC|US0 19_AC,US0 2_AC,US0 19_AC,AC,6405.261,346.78058319999997,1640454.8498999998,0.0
US0 3_AC|US0 4_AC,US0 3_AC,US0 4_AC,AC,9209.74,396.4448156,701759.5506,0.0
US0 5_AC|US0 6_AC,US0 5_AC,US0 6_AC,AC,3928.113,206.9289372,235369.9587,0.0
US0 5_AC|US0 7_AC,US0 5_AC,US0 7_AC,AC,1099.465,234.4486512,349165.20450000005,0.0
US0 5_AC|US0 14_AC,US0 5_AC,US0 14_AC,AC,4128.921,270.2725596,526536.924,0.0
US0 6_AC|US0 7_AC,US0 6_AC,US0 7_AC,AC,7004.404,158.5682702,247755.16079999998,0.0
US0 7_AC|US0 8_AC,US0 7_AC,US0 8_AC,AC,2088.735,206.1886408,292632.4488,0.0
US0 7_AC|US0 9_AC,US0 7_AC,US0 9_AC,AC,7721.856,464.0692824,566732.9919,0.0
US0 7_AC|US0 15_AC,US0 7_AC,US0 15_AC,AC,5146.0,236.50860640000002,486749.4744,0.0
US0 8_AC|US0 9_AC,US0 8_AC,US0 9_AC,AC,2154.969,258.4760974,285671.28839999996,0.0
US0 9_AC|US0 10_AC,US0 9_AC,US0 10_AC,AC,1327.0,47.0088214,56051.751899999996,0.0
US0 9_AC|US0 11_AC,US0 9_AC,US0 11_AC,AC,4474.643,169.3186614,266802.3996,0.0
US0 9_AC|US0 15_AC,US0 9_AC,US0 15_AC,AC,4047.0,515.2945746,822480.0284999999,0.0
US0 9_AC|US0 17_AC,US0 9_AC,US0 17_AC,AC,1806.71,341.1157064,596785.1022,0.0
US0 10_AC|US0 11_AC,US0 10_AC,US0 11_AC,AC,1134.0,141.1713048,240848.8338,0.0
US0 11_AC|US0 13_AC,US0 11_AC,US0 13_AC,AC,187.583,334.0507038,803145.2033999999,0.0
US0 11_AC|US0 15_AC,US0 11_AC,US0 15_AC,AC,1240.0,363.8878674,822733.0026,0.0
US0 11_AC|US0 16_AC,US0 11_AC,US0 16_AC,AC,1195.0,257.76798779999996,596570.2703999999,0.0
US0 11_AC|US0 17_AC,US0 11_AC,US0 17_AC,AC,3418.856,182.338222,538480.0887,0.0
US0 11_AC|US0 21_AC,US0 11_AC,US0 21_AC,AC,504.0,594.9569046,1422540.7559999998,0.0
US0 13_AC|US0 15_AC,US0 13_AC,US0 15_AC,AC,1792.0,353.813399,1042693.3614,0.0
US0 13_AC|US0 20_AC,US0 13_AC,US0 20_AC,AC,157.077,153.0643274,778546.1873999999,0.0
US0 13_AC|US0 21_AC,US0 13_AC,US0 21_AC,AC,81.806,259.8118496,646976.7774,0.0
US0 14_AC|US0 15_AC,US0 14_AC,US0 15_AC,AC,8004.102,235.57518919999998,535219.1619000001,0.0
US0 14_AC|US0 18_AC,US0 14_AC,US0 18_AC,AC,4129.082,213.2053632,731790.1974,0.0
US0 14_AC|US0 19_AC,US0 14_AC,US0 19_AC,AC,4920.015,312.7913224,842774.8071,0.0
US0 14_AC|US0 26_AC,US0 14_AC,US0 26_AC,AC,2833.755,673.6375372,2193531.6684,0.0
US0 15_AC|US0 16_AC,US0 15_AC,US0 16_AC,AC,3191.895,113.82861820000001,271283.69550000003,0.0
US0 15_AC|US0 17_AC,US0 15_AC,US0 17_AC,AC,2240.157,168.70711219999998,401393.08320000005,0.0
US0 15_AC|US0 18_AC,US0 15_AC,US0 18_AC,AC,2642.0,303.53761740000004,912314.4683999999,0.0
US0 15_AC|US0 19_AC,US0 15_AC,US0 19_AC,AC,6474.351,172.87530280000001,485259.354,0.0
US0 15_AC|US0 20_AC,US0 15_AC,US0 20_AC,AC,12743.192,303.682458,790766.1513,0.0
US0 15_AC|US0 21_AC,US0 15_AC,US0 21_AC,AC,4154.085,586.523963,1666310.7659999998,0.0
US0 16_AC|US0 17_AC,US0 16_AC,US0 17_AC,AC,2496.806,85.6812616,237494.7345,0.0
US0 18_AC|US0 19_AC,US0 18_AC,US0 19_AC,AC,9483.676,227.59286279999998,864185.2941,0.0
US0 18_AC|US0 26_AC,US0 18_AC,US0 26_AC,AC,7866.49,497.62402139999995,1633226.2998,0.0
US0 19_AC|US0 20_AC,US0 19_AC,US0 20_AC,AC,4047.0,146.5947806,543517.0371,0.0
US0 19_AC|US0 21_AC,US0 19_AC,US0 21_AC,AC,63.15,411.55651819999997,1493782.1592,0.0
US0 19_AC|US0 24_AC,US0 19_AC,US0 24_AC,AC,91.19,419.8607126,1677509.2763999999,0.0
US0 19_AC|US0 25_AC,US0 19_AC,US0 25_AC,AC,6551.117,436.533475,1692317.3571,0.0
US0 20_AC|US0 21_AC,US0 20_AC,US0 21_AC,AC,4880.533,265.15485839999997,952415.3957999999,0.0
US0 22_AC|US0 26_AC,US0 22_AC,US0 26_AC,AC,972.166,298.9509984,957870.1998,0.0
US0 24_AC|US0 25_AC,US0 24_AC,US0 25_AC,AC,510.342,38.9943082,93181.9341,0.0
US0 24_AC|US0 26_AC,US0 24_AC,US0 26_AC,AC,137.066,247.00150319999997,656979.7524,0.0
US0 25_AC|US0 26_AC,US0 25_AC,US0 26_AC,AC,133.675,260.66479979999997,721830.0264000001,0.0
US0 25_AC|US0 27_AC,US0 25_AC,US0 27_AC,AC,4926.336,119.68661580000001,384623.34929999994,0.0
US0 26_AC|US0 27_AC,US0 26_AC,US0 27_AC,AC,7765.392,251.0087598,796407.1527,0.0
US0 26_AC|US0 29_AC,US0 26_AC,US0 29_AC,AC,1591.344,125.28711899999999,395132.67840000003,0.0
US0 26_AC|US0 30_AC,US0 26_AC,US0 30_AC,AC,11763.077,46.1719646,181341.8274,0.0
US0 26_AC|US0 31_AC,US0 26_AC,US0 31_AC,AC,2489.0,405.48930640000003,1110145.9833,0.0
US0 27_AC|US0 28_AC,US0 27_AC,US0 28_AC,AC,639.811,449.55303559999993,1105844.2059,0.0
US0 27_AC|US0 29_AC,US0 27_AC,US0 29_AC,AC,3489.985,246.08417939999998,703205.3786999999,0.0
US0 29_AC|US0 30_AC,US0 29_AC,US0 30_AC,AC,2701.0,171.4590836,576474.5058,0.0
US0 30_AC|US0 31_AC,US0 30_AC,US0 31_AC,AC,5130.75,373.04501200000004,1012422.2619,0.0
US0 31_AC|US0 32_AC,US0 31_AC,US0 32_AC,AC,1200.18,328.1122392,1194906.7101,0.0
US0 31_AC|US0 33_AC,US0 31_AC,US0 33_AC,AC,1170.868,249.6408208,632185.437,0.0
US0 31_AC|US0 36_AC,US0 31_AC,US0 36_AC,AC,1903.0,263.0949032,1088936.5275,0.0
US0 31_AC|US0 37_AC,US0 31_AC,US0 37_AC,AC,1195.0,218.88633339999998,706046.0636999999,0.0
US0 33_AC|US0 35_AC,US0 33_AC,US0 35_AC,AC,1978.994,270.8358286,1035170.3001,0.0
US0 33_AC|US0 36_AC,US0 33_AC,US0 36_AC,AC,1352.277,360.653094,1356077.2140000002,0.0
US0 35_AC|US0 36_AC,US0 35_AC,US0 36_AC,AC,1760.968,94.790126,348839.94330000004,0.0
US0 35_AC|US0 39_AC,US0 35_AC,US0 39_AC,AC,3105.798,197.2568038,669219.0642,0.0
US0 36_AC|US0 37_AC,US0 36_AC,US0 37_AC,AC,4192.886,275.2937004,999037.2297,0.0
US0 36_AC|US0 38_AC,US0 36_AC,US0 38_AC,AC,1642.164,74.3032278,291266.4354,0.0
US0 37_AC|US0 38_AC,US0 37_AC,US0 38_AC,AC,111.485,192.7345584,777601.7688000001,0.0
US0 1_AC|US0 77_AC-DC,US0 1_AC,US0 77_AC,DC,2780.0,1664.138027,1130568.4851,0.0
US0 1_AC|US0 52_AC-DC,US0 1_AC,US0 52_AC,DC,1920.0,1087.4310380000002,756610.6379999999,0.0
US0 47_AC|US0 61_AC-DC,US0 47_AC,US0 61_AC,DC,200.0,226.14445680000003,113207.08439999999,0.0
US0 51_AC|US0 65_AC-DC,US0 51_AC,US0 65_AC,DC,310.0,132.6739896,70910.5209,0.0
US0 57_AC|US0 74_AC-DC,US0 57_AC,US0 74_AC,DC,200.0,294.106885,168098.50350000002,0.0
US0 57_AC|US0 75_AC-DC,US0 57_AC,US0 75_AC,DC,200.0,493.6811384,247616.3922,0.0
US0 58_AC|US0 64_AC-DC,US0 58_AC,US0 64_AC,DC,200.0,523.2286208,235621.0017,0.0
US0 60_AC|US0 80_AC-DC,US0 60_AC,US0 80_AC,DC,210.0,368.136525,171951.09720000002,0.0
US0 63_AC|US0 70_AC-DC,US0 63_AC,US0 70_AC,DC,1500.0,358.6896992,164760.3204,0.0
US0 78_AC|US0 89_AC-DC,US0 78_AC,US0 89_AC,DC,220.0,672.5753728,302288.7729,0.0
US0 85_AC|US0 92_AC-DC,US0 85_AC,US0 92_AC,DC,600.0,209.7613756,155508.54330000002,0.0
