complete_name,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,projectID,GCPT,GGPT,GEO,GPD,GCPT_len,GCPT_technology,GCPT_coal_type,GCPT_emission_factor,Captive,GPD_len,GPD_source,GPD_url,GEO_len,GEO_technology,GEO_fueltype,TODO
Nagan Raya 620 2058,Nagan Raya,Hard Coal subcritical,subcritical,PP,ID,620.0,,"{'GCPT': {'G107178', 'G107180', 'G107179', 'G107177'}, 'GPD': {'WRI1000956'}}","['G107178', 'G107179', 'G107180', 'G107177']",,[],['WRI1000956'],4,subcritical,unknown,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,
Pangkalan Susu 840 2059,Pangkalan Susu,Hard Coal subcritical,subcritical,PP,ID,840.0,,"{'GCPT': {'G107759', 'G107757', 'G107756', 'G107758'}, 'GPD': {'WRI1000967'}}","['G107756', 'G107759', 'G107757', 'G107758']",,[],['WRI1000967'],4,subcritical,unknown,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,
Pekanbaru Tenayan 220 2061,Pekanbaru Tenayan,Hard Coal subcritical,subcritical,PP,ID,220.0,,"{'GCPT': {'G107916', 'G107915'}, 'GPD': {'WRI1075813'}}","['G107915', 'G107916']",,[],['WRI1075813'],2,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Perawang Mill 755 2045,Perawang Mill,Hard Coal subcritical,subcritical,PP,ID,755.0,,"{'GCPT': {'G107931', 'G107929', 'G107928', 'G107926', 'G107932', 'G107930', 'G107927'}, 'GPD': {'WRI1075814'}}","['G107929', 'G107926', 'G107931', 'G107930', 'G107928', 'G107927', 'G107932']",,[],['WRI1075814'],7,subcritical,unknown,96100.0,pulp & paper,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Purwakarta Indorama 60 2051,Purwakarta Indorama,Hard Coal subcritical,subcritical,PP,ID,60.0,,"{'GCPT': {'G113843', 'G113844'}, 'GPD': {'WRI1075815'}}","['G113843', 'G113844']",,[],['WRI1075815'],2,subcritical,unknown,96100.0,textiles,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Sulawesi Mining 2080 2060,Sulawesi Mining,Hard Coal,unknown,PP,ID,2080.0,,"{'GCPT': {'G114323', 'G109666', 'G109663', 'G109664', 'G115363', 'G109665', 'G114324', 'G109667', 'G113217'}, 'GPD': {'WRI1075816'}}","['G114324', 'G115363', 'G109665', 'G109667', 'G109663', 'G109666', 'G109664', 'G114323', 'G113217']",,[],['WRI1075816'],9,unknown,unknown,96100.0,"nickel, other metals & mining",1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Tanjung Kasam 130 2057,Tanjung Kasam,Hard Coal subcritical,subcritical,PP,ID,130.0,,"{'GCPT': {'G109962', 'G109963'}, 'GPD': {'WRI1000992'}}","['G109962', 'G109963']",,[],['WRI1000992'],2,subcritical,subbituminous,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,
Tarahan 200 2052,Tarahan,Hard Coal subcritical,subcritical,PP,ID,200.0,,"{'GCPT': {'G109971', 'G109972'}, 'GPD': {'WRI1000995', 'WRI1000994'}}","['G109972', 'G109971']",,[],"['WRI1000994', 'WRI1000995']",2,subcritical,unknown,96100.0,,2,Indonesia Power Generation,https://repit.wordpress.com/,0,,,
Teluk Sirih 224 2058,Teluk Sirih,Hard Coal CFB,CFB,PP,ID,224.0,,"{'GCPT': {'G109999', 'G109998'}, 'GPD': {'WRI1000980'}}","['G109998', 'G109999']",,[],['WRI1000980'],2,CFB,unknown,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,
Sihanoukville Cel 250 2059,Sihanoukville Cel,Hard Coal subcritical,subcritical,PP,KH,250.0,,"{'GCPT': {'G109369', 'G109368', 'G113072'}, 'GPD': {'WRI1026840'}}","['G109369', 'G109368', 'G113072']",,[],['WRI1026840'],3,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Glow Energy Cfb Thailand 78 2055,Glow Energy Cfb Thailand,Hard Coal CFB,CFB,CHP,TH,78.36464130786982,,{'GEO': {'GEO-45305'}},[],,['GEO-45305'],[],0,,,,,0,,,1,CHP,Coal Bituminous,
Ppls Coal Malaysia 193 2042,Ppls Coal Malaysia,Hard Coal subcritical,subcritical,PP,MY,193.60676087826656,,"{'GEO': {'GEO-41443', 'GEO-41444'}}",[],,"['GEO-41443', 'GEO-41444']",[],0,,,,,0,,,2,subcritical,Coal,
Toledo Coal Philippines 226 2055,Toledo Coal Philippines,Hard Coal subcritical,subcritical,PP,PH,226.7964913145409,,{'GEO': {'GEO-41688'}},[],,['GEO-41688'],[],0,,,,,0,,,1,subcritical,Coal,
Formosa Dong Nai 310 2056,Formosa Dong Nai,Hard Coal subcritical,subcritical,PP,VN,310.0,,{'GPD': {'WRI1030746'}},[],,[],['WRI1030746'],0,,,,,1,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,Find other sources
Mae Mah 2400 2040,Mae Mah,Hard Coal subcritical,subcritical,PP,TH,2400.0,,{'GPD': {'WRI1000160'}},[],,[],['WRI1000160'],0,,,,,1,EGAT,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=92&Itemid=117,0,,,Find other sources
Malamyine 45 2062,Malamyine,Hard Coal,unknown,PP,MM,45.0,,{'GPD': {'WRI1061380'}},[],,[],['WRI1061380'],0,,,,cement & building,1,Global Cement,http://www.globalcement.com/news/item/6452-mawlamyine-plant-may-not-have-proper-power-plant-permission,0,,,Find other sources
Ninh Binh 100 2056,Ninh Binh,Hard Coal,unknown,PP,VN,100.0,,{'GPD': {'WRI1030760'}},[],,[],['WRI1030760'],0,,,,to_remove,1,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,Find other sources
Pcpc 135 2061,Pcpc,Hard Coal CFB,CFB,PP,PH,135.0,,{'GPD': {'WRI1029966'}},[],,[],['WRI1029966'],0,,,,,1,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,0,,,Check GPD_url
Pltu Bilibili 2 2058,Pltu Bilibili,Hard Coal,unknown,PP,ID,2.0,,{'GPD': {'WRI1000918'}},[],,[],['WRI1000918'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Cilacap 600 2058,Pltu Cilacap,Hard Coal supercritical,supercritical,PP,ID,600.0,,{'GPD': {'WRI1000920'}},[],,[],['WRI1000920'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Gresik 600 2058,Pltu Gresik,Hard Coal subcritical,subcritical,PP,ID,600.0,,{'GPD': {'WRI1000929'}},[],,[],['WRI1000929'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Hendratna 5 2058,Pltu Hendratna,Hard Coal,unknown,PP,ID,5.0,,{'GPD': {'WRI1000932'}},[],,[],['WRI1000932'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Jeneponto 250 2058,Pltu Jeneponto,Hard Coal,unknown,PP,ID,250.0,,{'GPD': {'WRI1000907'}},[],,[],['WRI1000907'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Kaur 234 2058,Pltu Kaur,Hard Coal,unknown,PP,ID,234.0,,"{'GPD': {'WRI1000965', 'WRI1000943'}}",[],,[],"['WRI1000965', 'WRI1000943']",0,,,,,2,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Keramasan 25 2058,Pltu Keramasan,Hard Coal,unknown,PP,ID,25.0,,{'GPD': {'WRI1000945'}},[],,[],['WRI1000945'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Kupang 78 2058,Pltu Kupang,Hard Coal,unknown,PP,ID,78.5,,"{'GPD': {'WRI1000981', 'WRI1000975', 'WRI1000985', 'WRI1000947'}}",[],,[],"['WRI1000985', 'WRI1000981', 'WRI1000947', 'WRI1000975']",0,,,,,4,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Lati 16 2058,Pltu Lati,Hard Coal,unknown,PP,ID,16.5,,"{'GPD': {'WRI1000949', 'WRI1000950'}}",[],,[],"['WRI1000950', 'WRI1000949']",0,,,,,2,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Muara Karang 400 2058,Pltu Muara Karang,Hard Coal,unknown,PP,ID,400.0,,{'GPD': {'WRI1000954'}},[],,[],['WRI1000954'],0,,,,to_remove,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Palu Mpanau Tawaeli 30 2058,Pltu Palu Mpanau Tawaeli,Hard Coal,unknown,PP,ID,30.0,,{'GPD': {'WRI1000906'}},[],,[],['WRI1000906'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Pangkalan Bun 14 2058,Pltu Pangkalan Bun,Hard Coal,unknown,PP,ID,14.0,,{'GPD': {'WRI1000966'}},[],,[],['WRI1000966'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Perak 100 2058,Pltu Perak,Hard Coal,unknown,PP,ID,100.0,,{'GPD': {'WRI1000970'}},[],,[],['WRI1000970'],0,,,,to_remove,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Priok 100 2058,Pltu Priok,Hard Coal,unknown,PP,ID,100.0,,{'GPD': {'WRI1000972'}},[],,[],['WRI1000972'],0,,,,to_remove,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Rancong 30 2058,Pltu Rancong,Hard Coal,unknown,PP,ID,30.0,,{'GPD': {'WRI1000974'}},[],,[],['WRI1000974'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Simpang Belimbing 227 2058,Pltu Simpang Belimbing,Hard Coal,unknown,PP,ID,227.0,,{'GPD': {'WRI1000978'}},[],,[],['WRI1000978'],0,,,,to_remove,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Tabalong 60 2058,Pltu Tabalong,Hard Coal CFB,CFB,PP,ID,60.0,,{'GPD': {'WRI1000983'}},[],,[],['WRI1000983'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Tambak Lorok 300 2058,Pltu Tambak Lorok,Hard Coal,unknown,PP,ID,300.0,,{'GPD': {'WRI1000984'}},[],,[],['WRI1000984'],0,,,,to_remove,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Tello 25 2058,Pltu Tello,Hard Coal,unknown,PP,ID,25.0,,{'GPD': {'WRI1000997'}},[],,[],['WRI1000997'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Pltu Tonasa Boiler Turbine Generator 70 2058,Pltu Tonasa Boiler Turbine Generator,Hard Coal,unknown,PP,ID,70.0,,{'GPD': {'WRI1000999'}},[],,[],['WRI1000999'],0,,,,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,Find other sources
Scpc 300 2062,Scpc,Hard Coal CFB,CFB,PP,PH,300.0,,{'GPD': {'WRI1030470'}},[],,[],['WRI1030470'],0,,,,,1,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,0,,,Check GPD_url
Sec 118 2061,Sec,Hard Coal CFB,CFB,PP,PH,118.0,,{'GPD': {'WRI1023892'}},[],,[],['WRI1023892'],0,,,,,1,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,0,,,Check GPD_url
Slpgc 300 2061,Slpgc,Hard Coal CFB,CFB,PP,PH,300.0,,{'GPD': {'WRI1023890'}},[],,[],['WRI1023890'],0,,,,,1,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,0,,,Check GPD_url
Toledo Corp Sangi Sta 88 2054,Toledo Corp Sangi Sta,Hard Coal CFB,CFB,PP,PH,88.8,,{'GPD': {'WRI1001920'}},[],,[],['WRI1001920'],0,,,,,1,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,0,,,Check GPD_url
Andalas Cement 30 2052,Andalas Cement,Hard Coal,unknown,PP,ID,30.0,,{'GCPT': {'G114216'}},['G114216'],,[],[],1,,,,cement & building,0,,,0,,,Check internet
Bandung Indosyntec 30 2049,Bandung Indosyntec,Hard Coal subcritical,subcritical,PP,ID,30.0,,{'GCPT': {'G100505'}},['G100505'],,[],[],1,subcritical,unknown,96100.0,textiles,0,,,0,,,
Bangka Baru 60 2059,Bangka Baru,Hard Coal subcritical,subcritical,PP,ID,60.0,,"{'GCPT': {'G100509', 'G100508'}}","['G100509', 'G100508']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Bangkok Hsfc 36 2053,Bangkok Hsfc,Hard Coal subcritical,subcritical,PP,TH,36.0,,{'GCPT': {'G100514'}},['G100514'],,[],[],1,subcritical,unknown,96100.0,textiles,0,,,0,,,
Bengkayang 100 2063,Bengkayang,Hard Coal,unknown,PP,ID,100.0,,"{'GCPT': {'G115058', 'G115057'}}","['G115057', 'G115058']",,[],[],2,unknown,unknown,96100.0,,0,,,0,,,Check internet
Bengkulu 200 2064,Bengkulu,Hard Coal subcritical,subcritical,PP,ID,200.0,,"{'GCPT': {'G100757', 'G112736'}}","['G100757', 'G112736']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Cemindo Gemilang 60 2061,Cemindo Gemilang,Hard Coal,unknown,PP,ID,60.0,,{'GCPT': {'G114188'}},['G114188'],,[],[],1,unknown,unknown,96100.0,cement & building,0,,,0,,,
Cilegon Ptip 40 2062,Cilegon Ptip,Hard Coal subcritical,subcritical,PP,ID,40.0,,{'GCPT': {'G113842'}},['G113842'],,[],[],1,subcritical,unknown,96100.0,chemicals,0,,,0,,,
Concepcion 270 2061,Concepcion,Hard Coal CFB,CFB,PP,PH,270.0,,"{'GCPT': {'G101688', 'G101687'}}","['G101688', 'G101687']",,[],[],2,CFB,unknown,96100.0,,0,,,0,,,
Delong Nickel Phase 1840 2065,Delong Nickel Phase,Hard Coal,unknown,PP,ID,1840.0,,"{'GCPT': {'G114337', 'G114332', 'G114338', 'G114339', 'G114334', 'G114336', 'G114335', 'G114340', 'G114331', 'G114333'}}","['G114337', 'G114335', 'G114338', 'G114340', 'G114336', 'G114331', 'G114332', 'G114334', 'G114333', 'G114339']",,[],[],10,unknown,unknown,96100.0,"nickel, other metals & mining",0,,,0,,,
Delong Nickel Phase 530 2063,Delong Nickel Phase,Hard Coal,unknown,PP,ID,530.0,,"{'GCPT': {'G114344', 'G114347', 'G114345', 'G114341', 'G114348', 'G114342', 'G114343', 'G114346'}}","['G114344', 'G114341', 'G114347', 'G114348', 'G114342', 'G114346', 'G114343', 'G114345']",,[],[],8,unknown,unknown,96100.0,"nickel, other metals & mining",0,,,0,,,
Dss Serang 175 2058,Dss Serang,Hard Coal,unknown,PP,ID,175.0,,"{'GCPT': {'G115076', 'G115073', 'G115075', 'G115074'}}","['G115075', 'G115073', 'G115076', 'G115074']",,[],[],4,unknown,unknown,96100.0,pulp & paper,0,,,0,,,
Fajar 55 2062,Fajar,Hard Coal,unknown,PP,ID,55.0,,{'GCPT': {'G115737'}},['G115737'],,[],[],1,unknown,unknown,96100.0,pulp & paper,0,,,0,,,
Hai Duong 1200 2065,Hai Duong,Hard Coal,unknown,PP,VN,1200.0,,"{'GCPT': {'G103541', 'G103540'}}","['G103541', 'G103540']",,[],[],2,unknown,anthracite,98300.0,,0,,,0,,,Check internet
Hau Giang Lee Man 125 2063,Hau Giang Lee Man,Hard Coal,unknown,PP,VN,125.0,,"{'GCPT': {'G114158', 'G114159'}}","['G114159', 'G114158']",,[],[],2,unknown,unknown,96100.0,pulp & paper,0,,,0,,,
Indo Bharat Rayon 36 2053,Indo Bharat Rayon,Hard Coal,unknown,PP,ID,36.6,,{'GCPT': {'G114215'}},['G114215'],,[],[],1,unknown,unknown,96100.0,textiles,0,,,0,,,
Jawa 1982 2064,Jawa,Hard Coal ultra-supercritical,ultra-supercritical,PP,ID,1982.0,,"{'GCPT': {'G104986', 'G104987'}}","['G104986', 'G104987']",,[],[],2,ultra-supercritical,unknown,96100.0,,0,,,0,,,
Jinchuan Group Wp Rka 150 2064,Jinchuan Group Wp Rka,Hard Coal,unknown,PP,ID,150.0,,"{'GCPT': {'G114328', 'G114327', 'G114326'}}","['G114328', 'G114326', 'G114327']",,[],[],3,unknown,unknown,96100.0,"nickel, other metals & mining",0,,,0,,,
Kalbar 200 2065,Kalbar,Hard Coal subcritical,subcritical,PP,ID,200.0,,"{'GCPT': {'G105465', 'G113441'}}","['G105465', 'G113441']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Kalimantan Cement Works 55 2043,Kalimantan Cement Works,Hard Coal subcritical,subcritical,PP,ID,55.0,,{'GCPT': {'G105475'}},['G105475'],,[],[],1,subcritical,unknown,96100.0,cement & building,0,,,0,,,
Kalselteng 200 2065,Kalselteng,Hard Coal CFB,CFB,PP,ID,200.0,,"{'GCPT': {'G105485', 'G105484'}}","['G105485', 'G105484']",,[],[],2,CFB,unknown,96100.0,,0,,,0,,,
Kaltim Ftp 200 2064,Kaltim Ftp,Hard Coal subcritical,subcritical,PP,ID,200.0,,"{'GCPT': {'G105491', 'G105490'}}","['G105491', 'G105490']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Kamanga 210 2061,Kamanga,Hard Coal subcritical,subcritical,PP,PH,210.0,,"{'GCPT': {'G105514', 'G105513'}}","['G105513', 'G105514']",,[],[],2,subcritical,subbituminous,96100.0,,0,,,0,,,
Kendari 100 2064,Kendari,Hard Coal subcritical,subcritical,PP,ID,100.0,,"{'GCPT': {'G105669', 'G105670'}}","['G105669', 'G105670']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Lanao Kauswagan 552 2064,Lanao Kauswagan,Hard Coal subcritical,subcritical,PP,PH,552.0,,"{'GCPT': {'G106142', 'G106141', 'G106143', 'G106144'}}","['G106143', 'G106144', 'G106142', 'G106141']",,[],[],4,subcritical,unknown,96100.0,,0,,,0,,,
Long Phu Centre 1200 2056,Long Phu Centre,Hard Coal supercritical,supercritical,PP,VN,1200.0,,"{'GCPT': {'G106395', 'G106396'}}","['G106396', 'G106395']",,[],[],2,supercritical,bituminous,94600.0,,0,,,0,,,
Mabalacat Mill 52 2051,Mabalacat Mill,Hard Coal subcritical,subcritical,PP,PH,52.0,,{'GCPT': {'G106538'}},['G106538'],,[],[],1,subcritical,unknown,96100.0,pulp & paper,0,,,0,,,
Mawlamyine Cement 40 2062,Mawlamyine Cement,Hard Coal subcritical,subcritical,PP,MM,40.0,,{'GCPT': {'G106759'}},['G106759'],,[],[],1,subcritical,unknown,96100.0,cement & building,0,,,0,,,
Msp Pulau Obi 114 2061,Msp Pulau Obi,Hard Coal,unknown,PP,ID,114.0,,"{'GCPT': {'G114181', 'G114179', 'G114180'}}","['G114179', 'G114180', 'G114181']",,[],[],3,,,,"nickel, other metals & mining",0,,,0,,,Check internet
Myainggalay Cement 30 2063,Myainggalay Cement,Hard Coal,unknown,PP,MM,30.0,,{'GCPT': {'G115063'}},['G115063'],,[],[],1,unknown,unknown,96100.0,cement & building,0,,,0,,,
Nhon Trach Formosa 450 2049,Nhon Trach Formosa,Hard Coal subcritical,subcritical,PP,VN,450.0,,"{'GCPT': {'G113234', 'G107414', 'G113233'}}","['G107414', 'G113234', 'G113233']",,[],[],3,subcritical,bituminous,94600.0,iron & steel,0,,,0,,,
Parit Baru 100 2063,Parit Baru,Hard Coal subcritical,subcritical,PP,ID,100.0,,"{'GCPT': {'G107834', 'G107835'}}","['G107834', 'G107835']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Pindo Deli 50 2052,Pindo Deli,Hard Coal subcritical,subcritical,PP,ID,50.0,,{'GCPT': {'G107980'}},['G107980'],,[],[],1,subcritical,unknown,96100.0,pulp & paper,0,,,0,,,
Pomalaa Nickel 60 2061,Pomalaa Nickel,Hard Coal subcritical,subcritical,PP,ID,60.0,,"{'GCPT': {'G108075', 'G108076'}}","['G108075', 'G108076']",,[],[],2,subcritical,unknown,96100.0,"nickel, other metals & mining",0,,,0,,,
Pt Halmahera Persada Lygend Nickel Smelter 720 2065,Pt Halmahera Persada Lygend Nickel Smelter,Hard Coal,unknown,PP,ID,720.0,,"{'GCPT': {'G115359', 'G115126', 'G115068', 'G115070', 'G115067', 'G115069', 'G115127'}}","['G115127', 'G115069', 'G115126', 'G115068', 'G115067', 'G115359', 'G115070']",,[],[],7,unknown,unknown,96100.0,"nickel, other metals & mining",0,,,0,,,
Pulau Muara Besar 220 2064,Pulau Muara Besar,Hard Coal,unknown,PP,BN,220.0,,"{'GCPT': {'G114115', 'G114118', 'G114116', 'G114117'}}","['G114116', 'G114117', 'G114115', 'G114118']",,[],[],4,unknown,unknown,96100.0,chemicals,0,,,0,,,
Punagaya 520 2056,Punagaya,Hard Coal subcritical,subcritical,PP,ID,520.0,,"{'GCPT': {'G108235', 'G108234', 'G108236', 'G108237'}}","['G108235', 'G108234', 'G108236', 'G108237']",,[],[],4,subcritical,unknown,96100.0,,0,,,0,,,
Sinar Mas Jambi Lontar 211 2039,Sinar Mas Jambi Lontar,Hard Coal subcritical,subcritical,PP,ID,211.0,,"{'GCPT': {'G109401', 'G114325', 'G109399', 'G109400'}}","['G109400', 'G109401', 'G109399', 'G114325']",,[],[],4,subcritical,unknown,96100.0,pulp & paper,0,,,0,,,
Sulawesi Labota 2980 2058,Sulawesi Labota,Hard Coal supercritical,supercritical,PP,ID,2980.0,,"{'GCPT': {'G115124', 'G115259', 'G115361', 'G115261', 'G115260', 'G115123', 'G115125', 'G115360'}}","['G115259', 'G115261', 'G115260', 'G115124', 'G115361', 'G115125', 'G115360', 'G115123']",,[],[],8,supercritical,unknown,96100.0,"nickel, other metals & mining",0,,,0,,,
Sumsel 300 2061,Sumsel,Hard Coal subcritical,subcritical,PP,ID,300.0,,"{'GCPT': {'G109701', 'G109700'}}","['G109700', 'G109701']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Tabalong Wisesa 60 2058,Tabalong Wisesa,Hard Coal CFB,CFB,PP,ID,60.0,,"{'GCPT': {'G109792', 'G109793'}}","['G109793', 'G109792']",,[],[],2,CFB,unknown,96100.0,other metals & mining,0,,,0,,,
Takalar 200 2062,Takalar,Hard Coal subcritical,subcritical,PP,ID,200.0,,"{'GCPT': {'G109864', 'G109863'}}","['G109863', 'G109864']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Than Bauxit 30 2057,Than Bauxit,Hard Coal,unknown,PP,VN,30.0,,{'GCPT': {'G114167'}},['G114167'],,[],[],1,,,,aluminum,0,,,0,,,Check internet
Thang Long 600 2063,Thang Long,Hard Coal CFB,CFB,PP,VN,600.0,,"{'GCPT': {'G110054', 'G110055'}}","['G110054', 'G110055']",,[],[],2,CFB,anthracite,98300.0,,0,,,0,,,
Therma Visayas Energy 340 2064,Therma Visayas Energy,Hard Coal CFB,CFB,PP,PH,340.0,,"{'GCPT': {'G110080', 'G110081'}}","['G110081', 'G110080']",,[],[],2,CFB,subbituminous,96100.0,,0,,,0,,,
Tjiwa Kimia Paper Mill 230 2037,Tjiwa Kimia Paper Mill,Hard Coal subcritical,subcritical,PP,ID,230.0,,"{'GCPT': {'G114983', 'G114981', 'G114980', 'G114982'}}","['G114980', 'G114983', 'G114981', 'G114982']",,[],[],4,subcritical,unknown,96100.0,pulp & paper,0,,,0,,,
Tonasa Cement 70 2058,Tonasa Cement,Hard Coal subcritical,subcritical,PP,ID,70.0,,"{'GCPT': {'G110241', 'G110240'}}","['G110241', 'G110240']",,[],[],2,subcritical,unknown,96100.0,cement & building,0,,,0,,,
Tpt Petrochemical 55 2040,Tpt Petrochemical,Hard Coal,unknown,PP,TH,55.0,,{'GCPT': {'G115159'}},['G115159'],,[],[],1,unknown,unknown,96100.0,oil & refining,0,,,0,,,
Vedan Vietnam Cogeneration 60 2060,Vedan Vietnam Cogeneration,Hard Coal,unknown,PP,VN,60.0,,{'GCPT': {'G110053'}},['G110053'],,[],[],1,unknown,unknown,96100.0,agriculture,0,,,0,,,
Wang Sala Mill 34 2041,Wang Sala Mill,Hard Coal subcritical,subcritical,PP,TH,34.0,,{'GCPT': {'G110714'}},['G110714'],,[],[],1,subcritical,unknown,96100.0,pulp & paper,0,,,0,,,
Weda Bay 3780 2065,Weda Bay,Hard Coal supercritical,supercritical,PP,ID,3780.0,,"{'GCPT': {'G114315', 'G115268', 'G114896', 'G114317', 'G114316', 'G115364', 'G115272', 'G114314', 'G115271', 'G115269', 'G115273', 'G115270'}}","['G114315', 'G114896', 'G114317', 'G115272', 'G115268', 'G115271', 'G115273', 'G115269', 'G115270', 'G114316', 'G114314', 'G115364']",,[],[],12,supercritical,unknown,96100.0,"nickel, other metals & mining",0,,,0,,,
Xinxing Ductile Iron Pipes Co Captive 114 2062,Xinxing Ductile Iron Pipes Co Captive,Hard Coal,unknown,PP,ID,114.0,,"{'GCPT': {'G114318', 'G114320', 'G114319'}}","['G114319', 'G114318', 'G114320']",,[],[],3,unknown,unknown,96100.0,"nickel, other metals & mining",0,,,0,,,
Dinginin 1336 2067,Dinginin,Hard Coal supercritical,supercritical,PP,PH,1336.0,,"{'GCPT': {'G106688', 'G106687'}}","['G106688', 'G106687']",,[],[],2,supercritical,unknown,96100.0,,0,,,0,,,
Song Hau 1200 2066,Song Hau,Hard Coal supercritical,supercritical,PP,VN,1200.0,,"{'GCPT': {'G109514', 'G109515'}}","['G109514', 'G109515']",,[],[],2,supercritical,bituminous,94600.0,,0,,,0,,,
Lombok Ftp 100 2067,Lombok Ftp,Hard Coal subcritical,subcritical,PP,ID,100.0,,"{'GCPT': {'G106388', 'G106389'}}","['G106388', 'G106389']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Sulut 100 2068,Sulut,Hard Coal subcritical,subcritical,PP,ID,100.0,,"{'GCPT': {'G109686', 'G113218'}}","['G113218', 'G109686']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Sulbagut 100 2067,Sulbagut,Hard Coal subcritical,subcritical,PP,ID,100.0,,"{'GCPT': {'G109671', 'G109670'}}","['G109671', 'G109670']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Smc Mariveles 600 2068,Smc Mariveles,Hard Coal,unknown,PP,PH,600.0,,"{'GCPT': {'G114046', 'G114518', 'G114516', 'G114517'}}","['G114518', 'G114517', 'G114046', 'G114516']",,[],[],4,unknown,unknown,96100.0,,0,,,0,,,Check internet
Bangko Tengah 1200 2068,Bangko Tengah,Hard Coal,unknown,PP,ID,1200.0,,"{'GCPT': {'G100511', 'G100510'}}","['G100511', 'G100510']",,[],[],2,unknown,unknown,96100.0,,0,,,0,,,Check internet
Wanxiang Nickel Indonesia 130 2067,Wanxiang Nickel Indonesia,Hard Coal,unknown,PP,ID,130.0,,"{'GCPT': {'G115129', 'G115128'}}","['G115128', 'G115129']",,[],[],2,unknown,unknown,96100.0,"nickel, other metals & mining",0,,,0,,,
Quang Trach Center 1200 2070,Quang Trach Center,Hard Coal supercritical,supercritical,PP,VN,1200.0,,"{'GCPT': {'G108391', 'G108390'}}","['G108391', 'G108390']",,[],[],2,supercritical,bituminous,94600.0,,0,,,0,,,
Sumut 300 2068,Sumut,Hard Coal subcritical,subcritical,PP,ID,300.0,,"{'GCPT': {'G109706', 'G109707'}}","['G109707', 'G109706']",,[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
