complete_name,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,projectID,GCPT,GGPT,GEO,GPD,GCPT_len,GCPT_technology,GCPT_coal_type,GCPT_emission_factor,Captive,GPD_len,GPD_source,GPD_url,GEO_len,GEO_technology,GEO_fueltype,TODO
Jimah 3400 2054,Jimah,Hard Coal subcritical,subcritical,PP,MY,3400.0,,"{'GCPT': {'G105182', 'G105181', 'G105184', 'G105183'}, 'GEO': {'GEO-41439'}, 'GPD': {'WRI1000256'}}","['G105181', 'G105182', 'G105183', 'G105184']",,['GEO-41439'],['WRI1000256'],4,subcritical,bituminous,94600.0,,1,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,1,,Sub-bituminous Coal,
Manjung 4100 2047,Manjung,Hard Coal subcritical,subcritical,PP,MY,4100.0,,"{'GCPT': {'G106632', 'G106633', 'G106630', 'G106631', 'G106629'}, 'GEO': {'GEO-41440'}, 'GPD': {'WRI1000255'}}","['G106630', 'G106632', 'G106633', 'G106629', 'G106631']",,['GEO-41440'],['WRI1000255'],5,subcritical,bituminous,94600.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,1,subcritical,Bituminous and Sub-bituminous Coal,
Mukah Coal 270 2053,Mukah Coal,Hard Coal subcritical,subcritical,PP,MY,270.0,,"{'GCPT': {'G107090', 'G107089'}, 'GEO': {'GEO-41474'}, 'GPD': {'WRI1000277'}}","['G107090', 'G107089']",,['GEO-41474'],['WRI1000277'],2,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,1,subcritical,Coal,
Sultan Aziz 1600 2030,Sultan Aziz,Hard Coal subcritical,subcritical,PP,MY,1600.0,,"{'GCPT': {'G109684', 'G109682', 'G109683', 'G109681'}, 'GEO': {'GEO-41442'}, 'GPD': {'WRI1075863'}}","['G109683', 'G109681', 'G109684', 'G109682']",,['GEO-41442'],['WRI1075863'],4,subcritical,bituminous,94600.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,1,subcritical,Coal,
Tanjung Bin 3100 2051,Tanjung Bin,Hard Coal subcritical,subcritical,PP,MY,3100.0,,"{'GCPT': {'G109949', 'G109948', 'G109951', 'G109950'}, 'GEO': {'GEO-41441'}, 'GPD': {'WRI1000254', 'WRI1000285'}}","['G109950', 'G109951', 'G109949', 'G109948']",,['GEO-41441'],"['WRI1000285', 'WRI1000254']",4,subcritical,bituminous,94600.0,,2,GCPT,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,1,subcritical,Coal,
Cebu Salcon Coal Philippines 98 2026,Cebu Salcon Coal Philippines,Hard Coal subcritical,subcritical,PP,PH,98.462866960947,,"{'GEO': {'GEO-41689'}, 'GPD': {'WRI1001921'}}",[],,['GEO-41689'],['WRI1001921'],0,,,,,1,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,1,subcritical,Coal,
Amamapare Port 195 2043,Amamapare Port,Hard Coal subcritical,subcritical,PP,ID,195.0,,"{'GCPT': {'G100143', 'G100142', 'G100144'}, 'GPD': {'WRI1075798'}}","['G100144', 'G100142', 'G100143']",,[],['WRI1075798'],3,subcritical,unknown,96100.0,other metals & mining,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Bundagul 84 2061,Bundagul,Hard Coal CFB,CFB,PP,PH,84.0,,"{'GCPT': {'G101109'}, 'GPD': {'WRI1029959'}}",['G101109'],,[],['WRI1029959'],1,CFB,unknown,96100.0,,1,Philippines Department of Energy,https://www.doe.gov.ph/list-existing-power-plants,0,,,
Tigyit 120 2049,Tigyit,Hard Coal subcritical,subcritical,PP,MM,120.0,,"{'GCPT': {'G110164', 'G110165'}, 'GPD': {'WRI1061372'}}","['G110164', 'G110165']",,[],['WRI1061372'],2,subcritical,unknown,96100.0,iron & steel,1,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,0,,,
Sejingkat 210 2042,Sejingkat,Hard Coal subcritical,subcritical,PP,MY,210.0,,"{'GCPT': {'G108910', 'G108911', 'G108909', 'G108912'}, 'GPD': {'WRI1000279'}}","['G108909', 'G108910', 'G108912', 'G108911']",,[],['WRI1000279'],4,subcritical,subbituminous,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
