,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
117,Akadyr SPP,Solar,Pv,PP,KZ,50.0,,,0.0,0.0,0.0,2019,,,2169,48.287138,72.909167,,,
118,Makat WPP,Wind,Onshore,PP,KZ,48.0,,,0.0,0.0,0.0,2022,,,2172,47.571336,53.086407,,,
119,Gulshat SPP,Solar,Pv,PP,KZ,40.0,,,0.0,0.0,0.0,2019,,,2169,46.637437,74.323293,,,
120,Kengir SPP,Solar,Pv,PP,KZ,10.0,,,0.0,0.0,0.0,2019,,,2169,47.862317,67.623516,,,
121,Nurgisa SPP,Solar,Pv,PP,KZ,100.0,,,0.0,0.0,0.0,2019,,,2169,43.96689,77.113784,,,
122,Zhanatas WPP,Wind,Onshore,PP,KZ,100.0,,,0.0,0.0,0.0,2021,,,2171,43.512541,69.645164,,,
123,Kaskelen SPP,Solar,Pv,PP,KZ,50.0,,,0.0,0.0,0.0,2020,,,2170,43.621375,76.973217,,,
124,Zhangiz Solar SPP,Solar,Pv,PP,KZ,30.0,,,0.0,0.0,0.0,2019,,,2169,49.225172,81.188053,,,
125,Badamsha WPP,Wind,Onshore,PP,KZ,48.0,,,0.0,0.0,0.0,2018,,,2168,50.490388,58.262043,,,
126,Ybyrai WPP,Wind,Onshore,PP,KZ,50.0,,,0.0,0.0,0.0,2021,,,2171,53.27606,63.81024,,,
127,Kentau SPP,Solar,Pv,PP,KZ,50.0,,,0.0,0.0,0.0,2021,,,2171,43.471951,68.529604,,,
128,Shymkent SPP,Solar,Pv,PP,KZ,20.0,,,0.0,0.0,0.0,2022,,,2172,42.306531,69.355402,,,
129,Zhanakorgan SPP,Solar,Pv,PP,KZ,10.0,,,0.0,0.0,0.0,2021,,,2171,43.875475,67.36086,,,
130,Nomad SPP,Solar,Pv,PP,KZ,28.0,,,0.0,0.0,0.0,2019,,,2169,45.095792,64.690586,,,
131,Shoktas SPP,Solar,Pv,PP,KZ,50.0,,,0.0,0.0,0.0,2021,,,2171,43.440532,68.52558,,,
132,Kushata SPP,Solar,Pv,PP,KZ,10.0,,,0.0,0.0,0.0,2021,,,2171,43.440532,68.52558,,,
133,Baikonur SPP,Solar,Pv,PP,KZ,50.0,,,0.0,0.0,0.0,2019,,,2169,44.726176,65.894033,,,
134,Zhangiztobe WPP,Wind,Onshore,PP,KZ,30.0,,,0.0,0.0,0.0,2022,,,2172,49.225172,81.188053,,,
135,Krasny Yar WPP,Wind,Onshore,PP,KZ,3.5,,,0.0,0.0,0.0,2020,,,2170,53.3075,69.2352,,,
136,Novonikolsk WPP,Wind,Onshore,PP,KZ,1.5,,,0.0,0.0,0.0,2020,,,2170,54.5262,68.6668,,,
137,Nurly WPP,Wind,Onshore,PP,KZ,5.0,,,0.0,0.0,0.0,2020,,,2170,43.6461,78.5329,,,
138,Shevchenko WPP,Wind,Onshore,PP,KZ,43.2,,,0.0,0.0,0.0,2020,,,2170,44.45896,50.31406,,,
139,Arshaly WPP,Wind,Onshore,PP,KZ,45.0,,,0.0,0.0,0.0,2020,,,2170,51.26002,71.861851,,,
140,"Abai WPP 1,2",Wind,Onshore,PP,KZ,150.0,,,0.0,0.0,0.0,2022,,,2172,46.913043,79.753301,,,
141,Zadarya-1,Solar,Pv,PP,KZ,14.0,,,0.0,0.0,0.0,2019,,,2169,42.408201,68.763883,,,
142,Zadarya-2,Solar,Pv,PP,KZ,5.0,,,0.0,0.0,0.0,2022,,,2172,42.408201,68.763883,,,
143,Zhanaozen PP,OCGT,OCGT,PP,KZ,30.4,,,0.0,0.0,0.0,2021,,,2171,43.363643,52.806916,,,
