,project_status,length,build_year,underground,v_nom,tags,x0,y0,x1,y1,num_parallel,type
Nong Khai – Dongphosy,in_planning,26.99,2027,FALSE,115,Nong Khai – Dongphosy,102.4649809,17.9301421,102.7162498,17.8882439,3,N2XS(FL)2Y 1x240 RM/35 64/110 kV
Bueng Kan – Pakxan,in_planning,21.82,2030,FALSE,230,Bueng Kan – Pakxan,103.8267114,18.2329562,103.7301456,18.406456,2,N2XS(FL)2Y 1x240 RM/35 64/110 kV
